,bab,ayat,jawa,indo
0,1 Raja-raja 1,0,Bab nalika Sang Prabu Dawud wus sepuh lan sapa kang nggentosi jumeneng ratu,Hari tua Daud dan soal penggantinya
1,1 Raja-raja 1,1,"Kacarita Sang Prabu Dawud wus sepuh, wus akeh yuswane lan sanadyan disingebi, ewadene sarirane tetep kraos asrep.","Raja Daud telah tua dan lanjut umurnya, dan biarpun ia diselimuti, badannya tetap dingin."
2,1 Raja-raja 1,2,Para abdine tumuli padha munjuk marang panjenengane: “Prayoginipun gusti kawula kaupadosaken lare estri legan ingkang ngladosi tuwin rumeksa dhumateng Sang Prabu lajeng dados anget.”,"Lalu para pegawainya berkata kepadanya: ""Hendaklah dicari bagi tuanku raja seorang perawan yang muda, untuk melayani dan merawat raja; biarlah ia berbaring di pangkuanmu, sehingga badan tuanku raja menjadi panas."""
3,1 Raja-raja 1,3,"Mulane banjur padha ngupaya bocah wadon kang ayu ana ing satlatahe Israel kabeh, wasana kang katemu Abisag, prawan ing Sunem; iku nuli disowanake ing ngarsane Sang Prabu.","Maka di seluruh daerah Israel dicarilah seorang gadis yang cantik, dan didapatlah Abisag, gadis Sunem, lalu dibawa kepada raja."
4,1 Raja-raja 1,4,"Prawan iku luwih dening ayu sarta banjur rumeksa lan ngaladosi Sang Prabu, nanging ora disareni dening panjenengane.","Gadis itu amat cantik, dan ia menjadi perawat raja dan melayani dia, tetapi raja tidak bersetubuh dengan dia."
5,1 Raja-raja 1,5,"Kacarita Sang Pangeran Adhonia, putrane Sang Putri Hagit, marga saka kaduk-wanine banjur ngandika: “Aku arep jumeneng ratu.” Nuli nganakake titihan kreta lan bala jaranan apadene wong seket kang padha lumayu njajari ana ing ngarsane.","Lalu Adonia, anak Hagit, meninggikan diri dengan berkata: ""Aku ini mau menjadi raja."" Ia melengkapi dirinya dengan kereta-kereta dan orang-orang berkuda serta lima puluh orang yang berlari di depannya."
6,1 Raja-raja 1,6,"Ing sajege sugenge Sang Adhonia iku durung tau didukani dening kang rama, kalawan dipangandikani: “Yagene kowe kok tumindak mangkono?” Sang Pangeran iku bagus warnane tur putra panenggak, yaiku sawuse Sang Pangeran Absalom.","Selama hidup Adonia ayahnya belum pernah menegor dia dengan ucapan: ""Mengapa engkau berbuat begitu?"" Iapun sangat elok perawakannya dan dia adalah anak pertama sesudah Absalom."
7,1 Raja-raja 1,7,"Panjenengane nuli pirembagan karo Sang Yoab bin Zeruya lan karo Imam Abyatar, iku banjur padha ngeloni lan mbiyantu Pangeran Adhonia.","Maka berundinglah ia dengan Yoab, anak Zeruya dan dengan imam Abyatar dan mereka menjadi pengikut dan pembantu Adonia."
8,1 Raja-raja 1,8,Nanging imam Zadhok lan Benaya bin Yoyadha sarta Nabi Natan lan Simei tuwin Rei apadene para prawira abdine Sang Prabu Dawud ora padha ngguyubi Pangeran Adhonia.,Tetapi imam Zadok dan Benaya bin Yoyada dan nabi Natan dan Simei dan Rei dan para pahlawan Daud tidak memihak kepada Adonia.
9,1 Raja-raja 1,9,"Sawuse mangkono Pangeran Adhonia banjur ngunjukake wedhus gembel, sapi lan kewan lemon minangka kurban ana ing sacedhake watu Zohelet kang kaprenah ing sandhinge En-Rogel, nuli ngulemi sakehing sadhereke, para putrane Sang Prabu lan sakehing wong Yehuda, punggawane Sang Prabu,","Sesudah itu Adonia mempersembahkan domba, lembu dan ternak gemukan sebagai korban dekat batu Zohelet yang ada di samping En-Rogel, lalu mengundang semua saudaranya, anak-anak raja, dan semua orang Yehuda, pegawai-pegawai raja;"
