,bab,ayat,jawa,indo
0,1 Tawarikh 1,0,Daftar turune Rama Adam tekan Rama Abraham,Daftar keturunan Adam sampai Abraham
1,1 Tawarikh 1,1,"Rama Adam, Set, Enos,","Adam, Set, Enos,"
2,1 Tawarikh 1,2,"Kenan, Mahalaleel, Yared,","Kenan, Mahalaleel, Yared,"
3,1 Tawarikh 1,3,"Henokh, Metusalakh, Lamekh,","Henokh, Metusalah, Lamekh,"
4,1 Tawarikh 1,4,"Nuh, Sem, Kham lan Yafet.","Nuh, Sem, Ham dan Yafet."
5,1 Tawarikh 1,5,"Turune Rama Yafet yaiku Gomer, Magog, Madai, Yawan, Tubal, Masekh lan Tiras.","Keturunan Yafet ialah Gomer, Magog, Madai, Yawan, Tubal, Mesekh dan Tiras."
6,1 Tawarikh 1,6,"Turune Gomer yaiku Askenas, Difat lan Togarma.","Keturunan Gomer ialah Askenas, Difat dan Togarma."
7,1 Tawarikh 1,7,"Turune Yawan yaiku Elisa, Tarsis, wong Kitim lan wong Rodanim.","Keturunan Yawan ialah Elisa, Tarsis, orang Kitim dan orang Rodanim."
8,1 Tawarikh 1,8,"Turune Rama Kham yaiku Kusy, Misraim, Put lan Kanaan.","Keturunan Ham ialah Kush, Misraim, Put dan Kanaan."
9,1 Tawarikh 1,9,"Turune Rama Kusy yaiku Seba, Hawila, Sabta, Raema lan Sabtekha; turune Rama Raema yaiku Syeba lan Dhedan.","Keturunan Kush ialah Seba, Hawila, Sabta, Raema dan Sabtekha; keturunan Raema ialah Syeba dan Dedan."
10,1 Tawarikh 1,10,Rama Kusy peputra Nimrod; iki kang miwiti kwasa ana ing bumi.,Kush memperanakkan Nimrod; dialah orang yang mula-mula sekali berkuasa di bumi.
11,1 Tawarikh 1,11,"Rama Misraim peputra wong Ludim, wong Anamim, wong Lehabim, wong Naftukhim,","Misraim memperanakkan orang Ludim, orang Anamim, orang Lehabim, orang Naftuhim,"
12,1 Tawarikh 1,12,"wong Patrusim, wong Kaslukhim -- iki kang padha nurunake wong Filisti -- lan wong Kaftorim.","orang Patrusim, orang Kasluhim--dari mereka inilah berasal orang Filistin--dan orang Kaftorim."
13,1 Tawarikh 1,13,"Rama Kanaan peputra Sidon, putrane kang pambajeng lan Het,","Kanaan memperanakkan Sidon, anak sulungnya dan Het,"
14,1 Tawarikh 1,14,"sarta wong Yebusi, wong Amori, wong Girgasi,","serta orang Yebusi, orang Amori, orang Girgasi,"
15,1 Tawarikh 1,15,"wong Hewi, wong Arki, wong Sini,","orang Hewi, orang Arki, orang Sini,"
16,1 Tawarikh 1,16,"wong Arwadi, wong Semari lan wong Hamati.","orang Arwadi, orang Semari dan orang Hamati."
17,1 Tawarikh 1,17,"Turune Rama Sem yaiku Elam, Asyur, Arpakhsad, Lud, Aram, Us, Hul, Geter, lan Mesekh.","Keturunan Sem ialah Elam, Asyur, Arpakhsad, Lud, Aram, Us, Hul, Geter dan Mesekh."
18,1 Tawarikh 1,18,"Rama Arpakhsad peputra Selah, lan Rama Selah peputra Eber.","Arpakhsad memperanakkan Selah, dan Selah memperanakkan Eber."
19,1 Tawarikh 1,19,"Rama Eber kagungan putra kakung loro, kang siji asmane Peleg, sabab nalika jaman sugenge, bumi kabagi. Dene kang rayi asmane Yoktan.","Bagi Eber lahir dua anak laki-laki; nama yang seorang ialah Peleg, sebab dalam zamannya penduduk bumi terbagi, dan nama adiknya ialah Yoktan."
20,1 Tawarikh 1,20,"Rama Yoktan peputra Almodad, Selef, Hazarmawet, Yerakh,","Yoktan memperanakkan Almodad, Selef, Hazar-Mawet, Yerah,"
21,1 Tawarikh 1,21,"Hadoram, Uzal, Dikla,","Hadoram, Uzal, Dikla,"
22,1 Tawarikh 1,22,"Ebal, Abimael, Syeba,","Ebal, Abimael, Syeba,"
23,1 Tawarikh 1,23,"Ofir, Hawila lan Yobab; iku kabeh putrane Rama Yoktan.","Ofir, Hawila dan Yobab; itulah semuanya anak-anak Yoktan."
24,1 Tawarikh 1,24,"Rama Sem, Arpakhsad, Selah,","Sem, Arpakhsad, Selah,"
25,1 Tawarikh 1,25,"Eber, Peleg, Rehu,","Eber, Peleg, Rehu,"
26,1 Tawarikh 1,26,"Serug, Nahor, Terakh,","Serug, Nahor, Terah,"
27,1 Tawarikh 1,27,"Abram, yaiku Rama Abraham.","Abram, itulah Abraham."
28,1 Tawarikh 1,0,Tedhak-turune Rama Abraham,Keturunan Abraham
29,1 Tawarikh 1,28,"Para putrane Rama Abraham yaiku Rama Iskak, lan Rama Ismael.",Anak-anak Abraham ialah Ishak dan Ismael.
30,1 Tawarikh 1,29,"Iki para tedhak turune: Putrane pambajeng Rama Ismael yaiku Nebayot, banjur Kedar, Adbeel, Mibsam,","Inilah keturunan mereka: anak sulung Ismael ialah Nebayot, lalu Kedar, Adbeel, Mibsam,"
31,1 Tawarikh 1,30,"Misyma, Duma, Masa, Hadad, Tema,","Misyma, Duma, Masa, Hadad, Tema,"
32,1 Tawarikh 1,31,"Yetur, Nafisy lan Kedma; iku para putrane Rama Ismael.","Yetur, Nafish dan Kedma; mereka itulah anak-anak Ismael."
33,1 Tawarikh 1,32,"Turune ibu Ketura, garwa ampile Rama Abraham: Ibu Ketura iku peputra Zimran, Yoksan, Medan, Midian, Isybak lan Suah. Para putrane Rama Yoksan yaiku Syeba lan Dhedhan.","Keturunan Ketura, gundik Abraham: perempuan itu melahirkan Zimran, Yoksan, Medan, Midian, Isybak dan Suah. Anak-anak Yoksan ialah Syeba dan Dedan."
34,1 Tawarikh 1,33,"Para putrane Midian yaiku: Efa, Efer, Hanokh, Abida lan Eldaa. Iku kabeh padha turune Ibu Ketura.","Anak-anak Midian ialah: Efa, Efer, Hanokh, Abida dan Eldaa. Itulah semuanya keturunan Ketura."
35,1 Tawarikh 1,0,Tedhak-turune Rama Esau,Keturunan Esau
36,1 Tawarikh 1,34,Rama Abraham peputra Rama Iskak. Rama Iskak peputra Rama Esau lan Rama Israel.,Abraham memperanakkan Ishak. Anak-anak Ishak ialah Esau dan Israel.
37,1 Tawarikh 1,35,"Para putrane Rama Esau yaiku Elifas, Rehuel, Yeusy, Yaelam lan Korakh.","Anak-anak Esau ialah Elifas, Rehuel, Yeush, Yaelam dan Korah."
38,1 Tawarikh 1,36,"Para putrane Rama Elifas yaiku Teman, Omar, Zefi, Gaetam, Kenas, Timna lan Amalek.","Anak-anak Elifas ialah Teman, Omar, Zefi, Gaetam, Kenas, Timna dan Amalek."
39,1 Tawarikh 1,37,"Para putrane Rama Rehuel yaiku Nahat, Zerah, Syama lan Miza.","Anak-anak Rehuel ialah Nahat, Zerah, Syama dan Miza."
