,bab,ayat,jawa,indo
0,2 Samuel 1,0,Senapati Dawud tampi pawarta bab sedane Sang Prabu Saul,Daud menerima kabar kematian Saul
1,2 Samuel 1,1,"Sasedane Sang Prabu Saul, nalika Senapati Dawud kondur saka ngasorake wong Amalek, sarta lereb rong dina ana ing Ziklag,","Setelah Saul mati, dan ketika Daud kembali sesudah memukul kalah orang Amalek dan tinggal dua hari di Ziklag,"
2,2 Samuel 1,2,"ing dina katelune ana wong panunggalane balane Sang Prabu Saul, panganggone rowak-rawek, lan sirahe kawur-wuran lemah. Bareng tekan ing ngarsane Sang Senapati Dawud, sujud konjem ing bumi sarta nyembah.","maka datanglah pada hari ketiga seorang dari tentara, dari pihak Saul, dengan pakaian terkoyak-koyak dan tanah di atas kepala. Ketika ia sampai kepada Daud, sujudlah ia ke tanah dan menyembah."
3,2 Samuel 1,3,Sang Dawud ndangu wong mau: “Saka ngendi tekamu?” Atur wangsulane wong mau: “Kawula keplajeng saking pabarisanipun Israel.”,"Bertanyalah Daud kepadanya: ""Dari manakah engkau?"" Jawabnya kepadanya: ""Aku lolos dari tentara Israel."""
4,2 Samuel 1,4,"Pandangune maneh: “Kapriye pawartane? Mara aku caritanana!” Atur wangsulane: “Wadyabala sampun sami keplajeng saking paprangan, boten namung panunggilanipun wadyabala kemawon ingkang ambruk pejah, dalasan Sang Prabu Saul saha Pangeran Yonatan, putranipun, ugi sami seda.”","Bertanyalah pula Daud kepadanya: ""Apakah yang terjadi? Coba ceriterakan kepadaku."" Jawabnya: ""Rakyat telah melarikan diri dari pertempuran; bukan saja banyak dari rakyat yang gugur dan mati, tetapi Saul dan Yonatan, anaknya, juga sudah mati."""
5,2 Samuel 1,5,"Senapati Dawud banjur ngandika marang wong kang nggawa pawarta iku: “Kapriye ngretimu, yen Sang Prabu Saul lan Pangeran Yonatan, putrane wis seda?”","Lalu Daud berkata kepada orang muda yang membawa kabar kepadanya itu: ""Bagaimana kauketahui, bahwa Saul dan Yonatan, anaknya, sudah mati?"""
6,2 Samuel 1,6,"Atur wangsulane kang nggawa pawarta mau: “Kapinujon kawula wonten ing pareden Gilboa; saking ngriku katingal Sang Prabu Saul lendhehan ing waosipun, mangka dipun oyak kreta-kreta tuwin bala kapalan.","Orang muda yang membawa kabar kepadanya itu berkata: ""Kebetulan aku ada di pegunungan Gilboa; maka tampaklah Saul bertelekan pada tombaknya, sedang kereta-kereta dan orang-orang berkuda mengejarnya."
7,2 Samuel 1,7,"Nalika noleh mawingking mirsani kawula, lajeng nimbali kawula, lan kawula matur: Nuwun, Gusti kawula.","Ketika menoleh ke belakang, ia melihat aku, lalu memanggil aku; dan aku berkata: Ya tuanku."
8,2 Samuel 1,8,Sang Prabu ndangu dhateng kawula: Kowe sapa? Wangsulan kawula: Kawula tiyang Amalek.,Ia bertanya kepadaku: Siapakah engkau? Jawabku kepadanya: Aku seorang Amalek.
9,2 Samuel 1,9,"Lajeng pangandikanipun dhateng kawula: Mara mrenea, aku patenana, amarga aku krasa kejeng, nanging nyawaku isih.","Lalu katanya kepadaku: Datanglah ke mari dan bunuhlah aku, sebab kekejangan telah menyerang aku, tetapi aku masih bernyawa."
10,2 Samuel 1,10,"Kawula nyelaki Sang Prabu lajeng kawula sedani, amargi kawula mangretos, bilih panjenenganipun temtu boten lestantun gesang, sasampunipun dhawah. Jamanging mustakanipun saha kelat baunipun sami kawula pendhet lan punika sadaya kawula aturaken wonten ing ngarsanipun gusti kawula.”","Aku datang ke dekatnya dan membunuh dia, sebab aku tahu, ia tidak dapat hidup terus setelah jatuh. Aku mengambil jejamang yang ada di kepalanya, dan gelang yang ada pada lengannya, dan inilah dia kubawa kepada tuanku."""
11,2 Samuel 1,11,Senapati Dawud banjur nyuwek-nyuwek pangagemane lan wong kang padha ngadhep ana ing ngarsane iya padha tumindak mengkono.,Lalu Daud memegang pakaiannya dan mengoyakkannya; dan semua orang yang bersama-sama dengan dia berbuat demikian juga.
12,2 Samuel 1,12,"Karodene padha nangis, anggone padha nangis karo puwasa nganti tumeka suruping srengenge, marga saka Sang Prabu Saul lan Pangeran Yonatan putrane, marga saka umate sang Yehuwah lan bangsa Israel, jalaran padha mati kapupu ing pedhang.","Dan mereka meratap, menangis dan berpuasa sampai matahari terbenam karena Saul, karena Yonatan, anaknya, karena umat TUHAN dan karena kaum Israel, sebab mereka telah gugur oleh pedang."
13,2 Samuel 1,13,"Senapati Dawud banjur ndangu maramg wong kang nggawa pawarta mau: “Pinangkamu saka ngendi?” Atur wangsulane: “Kawula punika tiyang nglembara, tiyang Amalek.”","Kemudian bertanyalah Daud kepada orang muda yang membawa kabar itu kepadanya: ""Asalmu dari mana?"" Jawabnya: ""Aku ini anak perantau, orang Amalek."""
14,2 Samuel 1,14,Sang Dawud banjur ngandika marang wong mau: “Kapriye? Apa kowe ora wedi ngangkat tanganmu nyedani kang jinebadan ing Sang Yehuwah?”,"Kemudian berkatalah Daud kepadanya: ""Bagaimana? Tidakkah engkau segan mengangkat tanganmu memusnahkan orang yang diurapi TUHAN?"""
15,2 Samuel 1,15,"Senapati Dawud banjur nimbali salah sijine prajurit, dhawuhe: “Mara mrenea, wong iku pedhangen!” Prajurit mau banjur medhang wong iku, temah mati.","Lalu Daud memanggil salah seorang dari anak buahnya dan berkata: ""Ke mari, paranglah dia."" Orang itu memarangnya, sehingga mati."
16,2 Samuel 1,16,"Lan Sang Dawud ngandika marang wong iku: “Getihmu nempuhna marang awakmu dhewe, amarga cangkemmu dhewe nekseni nglawan awakmu dhewe, amarga kandha: Kawula ingkang nyedani ingkang jinebadan ing Sang Yehuwah.”","Dan Daud berkata kepadanya: ""Kautanggung sendiri darahmu, sebab mulutmulah yang menjadi saksi menentang engkau, karena berkata: Aku telah membunuh orang yang diurapi TUHAN."""
17,2 Samuel 1,0,Pamuwune Sang Dawud marga saka Sang Prabu Saul lan Pangeran Yonatan,Ratapan Daud karena Saul dan Yonatan
18,2 Samuel 1,17,"Sang Dawud ngulukake kidung panangis iku marga saka Prabu Saul lan Pangeran Yonatan, putrane.","Daud menyanyikan nyanyian ratapan ini karena Saul dan Yonatan, anaknya,"
19,2 Samuel 1,18,Lan panjenengane paring dhawuh marahake kidung iki marang bani Yehuda; iku tinulis ana ing layang bab Wong Temen.,dan ia memberi perintah untuk mengajarkan nyanyian ini kepada bani Yehuda; itu ada tertulis dalam Kitab Orang Jujur.
20,2 Samuel 1,19,"He Israel, pepethinganmu seda kapupu ana ing pagununganmu! Kapriye dene para prawira padha sirna!","Kepermaianmu, hai Israel, mati terbunuh di bukit-bukitmu! Betapa gugur para pahlawan!"
21,2 Samuel 1,20,"Iku aja diwartakake ana ing Gat, lan aja digiyarake ana ing lurung-lurunge Askelon, supaya para wanita ing Filisti aja nganti padha suka pari suka, lan para prawane wong ikutan padha jingklak-jingklak.","Janganlah kabarkan itu di Gat, janganlah beritakan itu di lorong-lorong Askelon, supaya jangan bersukacita anak-anak perempuan orang Filistin, supaya jangan beria-ria anak-anak perempuan orang-orang yang tidak bersunat!"
22,2 Samuel 1,21,"He gunung-gunung ing Gilboa, aja ana ebun utawa udan kang tumurun, nibani kowe, dhuh ara-araning pepati. Amarga ana ing kono tamenge para prawira padha reged, tamenge Prabu Saul kang ora kambon lenga jebad.","Hai gunung-gunung di Gilboa! jangan ada embun, jangan ada hujan di atas kamu, hai padang-padang pembawa kematian! Sebab di sanalah perisai para pahlawan dilumuri, perisai Saul yang tidak diurapi dengan minyak."
23,2 Samuel 1,22,"Wong kang mati kapupu tanpa wutahing getih, lan para prawira tanpa gajih. Jemparinge Sang Yonatan ora tau bali nglaha, pedhange Prabu Saul ora tau bali nglenthung.","Tanpa darah orang-orang yang mati terbunuh dan tanpa lemak para pahlawan panah Yonatan tidak pernah berpaling pulang, dan pedang Saul tidak kembali dengan hampa."
24,2 Samuel 1,23,"Prabu Saul lan Sang Yonatan, wong kang kinasihan lan sumlondhoh, sugenge lan sedane ora pinisah. Kebate ngluwihi abure manuk garudha, rosane ngungkuli singa.","Saul dan Yonatan, orang-orang yang dicintai dan yang ramah, dalam hidup dan matinya tidak terpisah. Mereka lebih cepat dari burung rajawali, mereka lebih kuat dari singa."
