,bab,ayat,jawa,indo
0,Amos 1,0,Bebuka,Judul
1,Amos 1,1,"Iki pangandika kang kawedharake marang Nabi Amos, panunggalane wong kang ngingu wedhus saka ing Tekoa, bab Israel, nalika jamane Sang Prabu Uzia ratu ing Yehuda, lan ing jamane Sang Prabu Yerobeam putrane Sang Prabu Yoas, ratu ing Israel, rong taun sadurunge lindhu.","Perkataan yang dinyatakan kepada Amos, salah seorang peternak domba dari Tekoa, tentang Israel pada zaman Uzia, raja Yehuda, dan dalam zaman Yerobeam, anak Yoas, raja Israel, dua tahun sebelum gempa bumi."
2,Amos 1,0,Paukuman marang bangsa-bangsa liya,Hukuman atas bangsa-bangsa lain
3,Amos 1,2,"Pangandikane mangkene: “Yehuwah nggero saka ing Sion, sarta ngwedalake swarane saka ing Yerusalem, temah pangonan-pangonan padha garing, lan pucake gunung Karmel dadi alum.”","Berkatalah ia: ""TUHAN mengaum dari Sion dan dari Yerusalem Ia memperdengarkan suara-Nya; keringlah padang-padang penggembalaan dan layulah puncak gunung Karmel."""
4,Amos 1,3,"Pangandikane Pangeran Yehuwah mangkene: “Marga saka durakane Damsyik telung prakara, malah patang prakara, mulane Ingsun ora bakal murungake putusaningSun: sarehne wus padha nindhes Gilead, nganggo pleredan panuton wesi,","Beginilah firman TUHAN: ""Karena tiga perbuatan jahat Damsyik, bahkan empat, Aku tidak akan menarik kembali keputusan-Ku: Oleh karena mereka telah mengirik Gilead dengan eretan pengirik dari besi,"
5,Amos 1,4,"Ingsun bakal kintun geni menyang ing sajrone kadhatone Hazael, kang mangsa baluwartine Benhadad nganti entek;","Aku akan melepas api ke dalam istana Hazael, sehingga puri Benhadad dimakan habis;"
6,Amos 1,5,"Ingsun bakal mutung slaraking gapurane Damsyik, sarta numpes wong isine Bikeat-Awen, dalah kang nyekel tekening karajan ing Bet-Eden; apadene bangsa Aram bakal katundhung menyang Kir kaya wong buwangan,” mangkono pangandikane Pangeran Yehuwah.","Aku akan mematahkan palang pintu Damsyik dan melenyapkan penduduk dari Bikeat-Awen serta pemegang tongkat kerajaan dari Bet-Eden; dan rakyat Aram harus pergi sebagai orang buangan ke Kir,"" firman TUHAN."
7,Amos 1,6,"Pangandikane Sang Yehuwah mangkene: “Marga saka durakane Gaza telung prakara, malah patang prakara, mulane Ingsun ora bakal murungake putusaningSun, dene wus ngangkatake wong sabangsa kabeh menyang ing pambuwangan, kang banjur padha diulungake marang Edom,","Beginilah firman TUHAN: ""Karena tiga perbuatan jahat Gaza, bahkan empat, Aku tidak akan menarik kembali keputusan-Ku: Oleh karena mereka telah mengangkut ke dalam pembuangan suatu bangsa seluruhnya, untuk diserahkan kepada Edom,"
8,Amos 1,7,"Ingsun bakal kintun geni menyang ing sajrone baluwartine Gaza, temah kadhatone banjur kamangsa nganti entek.","Aku akan melepas api ke dalam tembok Gaza, sehingga purinya dimakan habis;"
9,Amos 1,8,"Ingsun bakal numpes para kang manggon ing Asdod, sarta kang nyekel tekening karajan ing Askelon, apadene astaningSun bakal nempah marang Ekron, tekan kekarane wong Filisti bakal padha tiwas kabeh,” mangkono pangandikane Pangeran Yehuwah.","Aku akan melenyapkan penduduk dari Asdod dan pemegang tongkat kerajaan dari Askelon; Aku akan mengacungkan tangan-Ku melawan Ekron, sehingga binasalah sisa-sisa orang Filistin,"" firman Tuhan ALLAH."
