,bab,ayat,jawa,indo
0,Amsal 1,0,Tujuane Wulang Bebasan iki,Tujuan Amsal ini
1,Amsal 1,1,"Wulang bebasan anggitane Prabu Suleman putrane Prabu Dawud, ratu ing Israel,","Amsal-amsal Salomo bin Daud, raja Israel,"
2,Amsal 1,2,"kanggo nyumurupi kawicaksanan lan pamerdi, supaya mangreti marang tembung-tembung kang ana maknane,","untuk mengetahui hikmat dan didikan, untuk mengerti kata-kata yang bermakna,"
3,Amsal 1,3,"kanggo nampani pamerdi kang marakake pinter, sarta kabeneran, kaadilan lan kejujuran,","untuk menerima didikan yang menjadikan pandai, serta kebenaran, keadilan dan kejujuran,"
4,Amsal 1,4,"kanggo aweh kalantipun marang wong kang ora duwe pangalaman, sarta kawruh lan kawicaksanan marang wong anom; --","untuk memberikan kecerdasan kepada orang yang tak berpengalaman, dan pengetahuan serta kebijaksanaan kepada orang muda--"
5,Amsal 1,5,"wong kang wicaksana, becik ngrungokna, supaya wuwuh ngelmune, lan wong kang duwe pangreten supaya oleh bab-bab kang kena kanggo tetimbangan --",baiklah orang bijak mendengar dan menambah ilmu dan baiklah orang yang berpengertian memperoleh bahan pertimbangan--
6,Amsal 1,6,"kanggo nyumurupi isine wulang bebasan lan pralambang, apadene tetembungan lan sanepane para wicaksana.","untuk mengerti amsal dan ibarat, perkataan dan teka-teki orang bijak."
7,Amsal 1,7,"Wedi-asih marang Yehuwah iku wiwitaning kawruh, nanging wong bodho padha ngremehake kawicaksanan lan pamerdi.","Takut akan TUHAN adalah permulaan pengetahuan, tetapi orang bodoh menghina hikmat dan didikan."
8,Amsal 1,0,Pitutur lan pepeling,Nasihat dan peringatan
9,Amsal 1,8,"He anakku, ngrungokna marang pamerdine bapakmu, lan aja ninggal piwulange ibumu;","Hai anakku, dengarkanlah didikan ayahmu, dan jangan menyia-nyiakan ajaran ibumu"
10,Amsal 1,9,"marga oncen-oncen kembang kang endah iku kanggo sirahmu, sarta kalung kanggo gulumu.","sebab karangan bunga yang indah itu bagi kepalamu, dan suatu kalung bagi lehermu."
11,Amsal 1,10,"He anakku, manawa kowe dibujuk dening wong dosa, kowe aja nurut;","Hai anakku, jikalau orang berdosa hendak membujuk engkau, janganlah engkau menurut;"
12,Amsal 1,11,"manawa iku padha duwe pangucap: “Marang melua aku, padha ndingkik getih, nginjen marang wong tanpa kaluputan, tanpa sabab;","jikalau mereka berkata: ""Marilah ikut kami, biarlah kita menghadang darah, biarlah kita mengintai orang yang tidak bersalah, dengan tidak semena-mena;"
13,Amsal 1,12,"payo iku padha diuntal urip-uripan, kaya jagade wong mati, diuntal babar pisan kaya kang mudhun marang ing kubur;","biarlah kita menelan mereka hidup-hidup seperti dunia orang mati, bulat-bulat, seperti mereka yang turun ke liang kubur;"
14,Amsal 1,13,"temah kita padha oleh barang rupa-rupa kang akeh ajine, padha bisa ngebaki omah kita kalawan barang rampasan,","kita akan mendapat pelbagai benda yang berharga, kita akan memenuhi rumah kita dengan barang rampasan;"
15,Amsal 1,14,"undhimu buwangen ana ing tengahku, kanthong siji kanggo kita kabeh.”","buanglah undimu ke tengah-tengah kami, satu pundi-pundi bagi kita sekalian."""
16,Amsal 1,15,"He anakku, uripmu aja niru tindak-tanduke wong-wong mau, sikilmu edohna saka ing dalane;","Hai anakku, janganlah engkau hidup menurut tingkah laku mereka, tahanlah kakimu dari pada jalan mereka,"
17,Amsal 1,16,"awit sikile wong iku parane marang ing piala, sarta cukat manawa arep ngwutahake getih.",karena kaki mereka lari menuju kejahatan dan bergegas-gegas untuk menumpahkan darah.
18,Amsal 1,17,Marga tanpa guna masang jaring ana ing ngarepe sadhengah kang duwe suwiwi;,"Sebab percumalah jaring dibentangkan di depan mata segala yang bersayap,"
19,Amsal 1,18,mangka wong iku mau padha ngadhang marang getihe dhewe lan ndingkik marang nyawane dhewe.,padahal mereka menghadang darahnya sendiri dan mengintai nyawanya sendiri.
20,Amsal 1,19,"Kaya mangkono pangalamane saben wong murka ing bab bebathen peteng, kang ngrebut nyawane wong kang ndarbeni.","Demikianlah pengalaman setiap orang yang loba akan keuntungan gelap, yang mengambil nyawa orang yang mempunyainya."
21,Amsal 1,0,Pitutur bab kawicaksanan,Nasihat hikmat
22,Amsal 1,20,"Kawicaksanan nguwuh-uwuh seru ana ing lurung-lurung, sarta nyuwara ana ing ara-ara,","Hikmat berseru nyaring di jalan-jalan, di lapangan-lapangan ia memperdengarkan suaranya,"
23,Amsal 1,21,"anggone nguwuh-uwuh ana ing sadhuwure balowerti, ana ing sangarepe gapuraning kutha anggone nglairake tembung-tembunge.","di atas tembok-tembok ia berseru-seru, di depan pintu-pintu gerbang kota ia mengucapkan kata-katanya."
24,Amsal 1,22,"“He wong kang ora duwe pangalaman, nganti pira lawase, anggonmu isih nresnani kaananmu iku, tukang poyok anggone seneng memoyok lan wong bodho anggone sengit marang kawruh?","""Berapa lama lagi, hai orang yang tak berpengalaman, kamu masih cinta kepada keadaanmu itu, pencemooh masih gemar kepada cemooh, dan orang bebal benci kepada pengetahuan?"
25,Amsal 1,23,"Padha madhepa marang pamelehku, lah aku arep ngesokake isining atiku lan nyumurupake tembungku marang kowe.","Berpalinglah kamu kepada teguranku! Sesungguhnya, aku hendak mencurahkan isi hatiku kepadamu dan memberitahukan perkataanku kepadamu."
26,Amsal 1,24,"Sarehne kowe mopo nalika dakundang, lan ora ana wong kang ngrewes nalika aku ngulurake tanganku,","Oleh karena kamu menolak ketika aku memanggil, dan tidak ada orang yang menghiraukan ketika aku mengulurkan tanganku,"
27,Amsal 1,25,"malah kowe padha nyepelekake pituturku lan ora gelem nampani pepelingku,","bahkan, kamu mengabaikan nasihatku, dan tidak mau menerima teguranku,"
28,Amsal 1,26,"mulane aku iya bakal nggeguyu bilaimu, lan nyokurake samangsa kowe ketekan pagiris,","maka aku juga akan menertawakan celakamu; aku akan berolok-olok, apabila kedahsyatan datang ke atasmu,"
29,Amsal 1,27,"samangsa kowe ketekan ing pagiris kang kaya prahara, lan katempuh ing bilai kang kaya lesus, sarta kataman ing karupekan lan kasusahan.","apabila kedahsyatan datang ke atasmu seperti badai, dan celaka melanda kamu seperti angin puyuh, apabila kesukaran dan kecemasan datang menimpa kamu."
30,Amsal 1,28,"Ing kono bakal padha sambat-sambat marang aku, nanging ora bakal dakwangsuli, kanthi temen-temen anggone padha ngupaya aku, nanging ora bisa katemu.","Pada waktu itu mereka akan berseru kepadaku, tetapi tidak akan kujawab, mereka akan bertekun mencari aku, tetapi tidak akan menemukan aku."
31,Amsal 1,29,"Sarehne padha sengit marang kawruh lan ora milih ngabekti marang Pangeran Yehuwah,","Oleh karena mereka benci kepada pengetahuan dan tidak memilih takut akan TUHAN,"
32,Amsal 1,30,"padha emoh nampani pituturku, nanging padha nampik marang sakehe pamelehku,","tidak mau menerima nasihatku, tetapi menolak segala teguranku,"
33,Amsal 1,31,"mulane bakal padha mangan wohing panggawene, sarta padha wareg dening rancangane dhewe.","maka mereka akan memakan buah perbuatan mereka, dan menjadi kenyang oleh rencana mereka."
