,bab,ayat,jawa,indo
0,Ayub 1,0,Kamursidane Ayub kacoba,Kesalehan Ayub dicoba
1,Ayub 1,1,Ing tanah Us ana sawijining wong jenenge Ayub; Ayub iku jujur lan mursid tuwin ngabekti marang Gusti Allah sarta nyingkiri piala.,Ada seorang laki-laki di tanah Us bernama Ayub; orang itu saleh dan jujur; ia takut akan Allah dan menjauhi kejahatan.
2,Ayub 1,2,"Anake lanang pitu, kang wadon telu;",Ia mendapat tujuh anak laki-laki dan tiga anak perempuan.
3,Ayub 1,3,"raja kayane kang awujud wedhus pitung ewu, unta telung ewu, sapi limang atus rakit, kuldi wadon limang atus; bature akeh banget, mulane kasugihane ngungkuli wong satanah wetan kabeh.","Ia memiliki tujuh ribu ekor kambing domba, tiga ribu ekor unta, lima ratus pasang lembu, lima ratus keledai betina dan budak-budak dalam jumlah yang sangat besar, sehingga orang itu adalah yang terkaya dari semua orang di sebelah timur."
4,Ayub 1,4,"Anake kang lanang iku saben-saben padha nganakake pista giliran ana ing omahe dhewe-dhewe, dene sadulure wadon telu-telune padha diundang diajak mangan lan ngombe bebarengan.",Anak-anaknya yang lelaki biasa mengadakan pesta di rumah mereka masing-masing menurut giliran dan ketiga saudara perempuan mereka diundang untuk makan dan minum bersama-sama mereka.
5,Ayub 1,5,"Anadene saben dinaning pista wus kapungkur, Ayub banjur nglumpukake anak-anake prelu padha disucekake; esuke, isih umun-umun, Ayub wus tangi, banjur nyaosake kurban obaran, cacahe miturut sapira kehing anake iku, awit ujare mangkene: “Bokmanawa anakku padha kena ing dosa lan nyupatani Gusti Allah ing sajroning atine.” Kaya mangkono iku ajeg katindakake dening Ayub.","Setiap kali, apabila hari-hari pesta telah berlalu, Ayub memanggil mereka, dan menguduskan mereka; keesokan harinya, pagi-pagi, bangunlah Ayub, lalu mempersembahkan korban bakaran sebanyak jumlah mereka sekalian, sebab pikirnya: ""Mungkin anak-anakku sudah berbuat dosa dan telah mengutuki Allah di dalam hati."" Demikianlah dilakukan Ayub senantiasa."
6,Ayub 1,6,Nuju ing sawijining dina para putraning Allah padha seba marang ing ngarsane Pangeran Yehuwah; nuli Iblis iya seba bebarengan.,Pada suatu hari datanglah anak-anak Allah menghadap TUHAN dan di antara mereka datanglah juga Iblis.
7,Ayub 1,7,Ing kono Sang Yehuwah ngandika marang Iblis: “Sira saka ing ngendi?” Unjuk wangsulane Iblis marang Sang Yehuwah: “Saweg saking mider ndlajahi bumi.”,"Maka bertanyalah TUHAN kepada Iblis: ""Dari mana engkau?"" Lalu jawab Iblis kepada TUHAN: ""Dari perjalanan mengelilingi dan menjelajah bumi."""
8,Ayub 1,8,"Pangeran Yehuwah banjur ndangu marang Iblis: “Apa sira nggatekake abdiningSun Ayub? Awitdene ig salumahing bumi ora ana wong kang madhani bab anggone jujur lan mursid tuwin ngabekti ing Allah, apadene anggone nyingkiri piala.”","Lalu bertanyalah TUHAN kepada Iblis: ""Apakah engkau memperhatikan hamba-Ku Ayub? Sebab tiada seorangpun di bumi seperti dia, yang demikian saleh dan jujur, yang takut akan Allah dan menjauhi kejahatan."""
9,Ayub 1,9,Unjuk wangsulane Iblis marang Pangeran Yehuwah: “Punapa tanpa pituwas Ayub anggenipun ngabekti dhumateng Gusti Allah?,"Lalu jawab Iblis kepada TUHAN: ""Apakah dengan tidak mendapat apa-apa Ayub takut akan Allah?"
10,Ayub 1,10,"Piyambakipun tuwin griya dalasan sadaya barang darbekipun, punapa boten Paduka pageri kemput? Punapa ingkang katindakaken sampun Paduka berkahi saha barang darbekipun saya wewah wonten ing nagari ngriku.",Bukankah Engkau yang membuat pagar sekeliling dia dan rumahnya serta segala yang dimilikinya? Apa yang dikerjakannya telah Kauberkati dan apa yang dimilikinya makin bertambah di negeri itu.
11,Ayub 1,11,"Nanging saupami Paduka ngagagaken asta nempuh dhateng sadaya barang darbekipun, temtu badhe nyupaosi Paduka wonten ing ngarsa Paduka.”","Tetapi ulurkanlah tangan-Mu dan jamahlah segala yang dipunyainya, ia pasti mengutuki Engkau di hadapan-Mu."""
12,Ayub 1,12,"Dhawuhe Sang Yehuwah marang Iblis: “Lah apa sadarbeke wus ana ing tanganira, mung bae aja nggepok marang awake!” Iblis banjur mundur saka ing ngarsane Sang Yehuwah.","Maka firman TUHAN kepada Iblis: ""Nah, segala yang dipunyainya ada dalam kuasamu; hanya janganlah engkau mengulurkan tanganmu terhadap dirinya."" Kemudian pergilah Iblis dari hadapan TUHAN."
13,Ayub 1,13,"Kacarita nuju ing sawijining dina, nalika anake Ayub lanang lan wadon padha mangan lan ngombe anggur ana ing omahe kang pambarep,","Pada suatu hari, ketika anak-anaknya yang lelaki dan yang perempuan makan-makan dan minum anggur di rumah saudara mereka yang sulung,"
14,Ayub 1,14,"nuli ana kongkonan kan teka ing ngarepe Ayub sarta nggawa pawarta mangkene: “Kala wau nalika lembu saweg kadamel mluku, sarta kuldi-kuldi estri sami nyenggut ing sakiwa tengenipun,","datanglah seorang pesuruh kepada Ayub dan berkata: ""Sedang lembu sapi membajak dan keledai-keledai betina makan rumput di sebelahnya,"
15,Ayub 1,15,"lajeng wonten tiyang Syeba dhateng sami nempuh, lembu kaliyan kuldi sami karebat saha para rencang sami dipun pejahi kaliyan landheping pedhang, namung kula piyambak ingkang saged oncat ngaturi uninga dhumateng panjenengan.”","datanglah orang-orang Syeba menyerang dan merampasnya serta memukul penjaganya dengan mata pedang. Hanya aku sendiri yang luput, sehingga dapat memberitahukan hal itu kepada tuan."""
16,Ayub 1,16,"Sajrone wong iku isih matur, ana wong teka maneh sarta matur: “Latunipun Gusti Allah dhawah saking langit lajeng nyamber dhateng menda dalah rencang-rencang, sadaya telas sami kamangsa ing latu, namung kula piyambak ingkang saged oncat, ngaturi uninga dhumateng panjenengan.”","Sementara orang itu berbicara, datanglah orang lain dan berkata: ""Api telah menyambar dari langit dan membakar serta memakan habis kambing domba dan penjaga-penjaga. Hanya aku sendiri yang luput, sehingga dapat memberitahukan hal itu kepada tuan."""
17,Ayub 1,17,"Sajrone wong iku isih matur, ana wong teka maneh lan matur: “Tiyang Kasdim sami dhateng, wonten tigang bregada, lajeng nempuh dhateng unta sami karebat, saha rencang-rencang dipun pejahi kaliyan landheping pedhang, namung kula piyambak ingkang saged oncat, ngaturi uninga dhumateng panjenengan.”","Sementara orang itu berbicara, datanglah orang lain dan berkata: ""Orang-orang Kasdim membentuk tiga pasukan, lalu menyerbu unta-unta dan merampasnya serta memukul penjaganya dengan mata pedang. Hanya aku sendiri yang luput, sehingga dapat memberitahukan hal itu kepada tuan."""
18,Ayub 1,18,"Sajrone wong iku isih matur, ana wong teka maneh lan matur: “Putra panjenengan jaler estri saweg sami dhaharan saha ngunjuk wonten ing griyaning sadherekipun pambajeng,","Sementara orang itu berbicara, datanglah orang lain dan berkata: ""Anak-anak tuan yang lelaki dan yang perempuan sedang makan-makan dan minum anggur di rumah saudara mereka yang sulung,"
19,Ayub 1,19,"dumadakan wonten angin prahara dhateng saking pasamunan ingkang lajeng nempuh griya wau ing pojok-pojokipun sekawan; griyanipun rebah njugrugi para tiyang anem wau, temah sami pejah sadaya, namung kula piyambak ingkang saged oncat ngaturi uninga dhumateng panjenengan.”","maka tiba-tiba angin ribut bertiup dari seberang padang gurun; rumah itu dilandanya pada empat penjurunya dan roboh menimpa orang-orang muda itu, sehingga mereka mati. Hanya aku sendiri yang luput, sehingga dapat memberitahukan hal itu kepada tuan."""
20,Ayub 1,20,"Ing kono Ayub banjur nyuwek-nyuwek jubahe, cukur rambut sarta sumungkem sujud ing bumi,","Maka berdirilah Ayub, lalu mengoyak jubahnya, dan mencukur kepalanya, kemudian sujudlah ia dan menyembah,"
21,Ayub 1,21,"pangucape: “Wuda anggonku metu saka ing guwagarbane embokku, iya wuda anggonku bali mrana. Pangeran Yehuwah kang paring, Pangeran Yehuwah kang mundhut; pinujia asmane Sang Yehuwah!”","katanya: ""Dengan telanjang aku keluar dari kandungan ibuku, dengan telanjang juga aku akan kembali ke dalamnya. TUHAN yang memberi, TUHAN yang mengambil, terpujilah nama TUHAN!"""
22,Ayub 1,22,"Sajrone iku mau kabeh Ayub ora nganti gawe dosa, sarta ora nacad pisan-pisan marang Gusti Allah.",Dalam kesemuanya itu Ayub tidak berbuat dosa dan tidak menuduh Allah berbuat yang kurang patut.
23,Ayub 2,1,"Nuju ing sawijining dina, para putraning Allah padha seba marang ngarsane Pangeran Yehuwah, Iblis nuli iya seba uga ana ing satengahe para putra mau.",Pada suatu hari datanglah anak-anak Allah menghadap TUHAN dan di antara mereka datang juga Iblis untuk menghadap TUHAN.
24,Ayub 2,2,Pandangune Sang Yehuwah marang Iblis: “Sira saka ing ngendi?” Atur wangsulane Iblis marang Sang Yehuwah: “Saweg saking mider ndlajahi bumi.”,"Maka bertanyalah TUHAN kepada Iblis: ""Dari mana engkau?"" Lalu jawab Iblis kepada TUHAN: ""Dari perjalanan mengelilingi dan menjelajah bumi."""
25,Ayub 2,3,"Pangandikane Pangeran Yehuwah marang Iblis: “Sira apa iya nggatekake marang abdiningSun Ayub? Awit ing salumahing bumi ora ana wong kang madhani bab anggone jujur lan mursid tuwin ngabekti ing Allah, apadene anggone nyingkiri piala, sarta tetep anggone ngantepi ing katemenane, sanadyan sira wus ngojok-ojoki Ingsun supaya Ayub Suntumpes tanpa sabab.”","Firman TUHAN kepada Iblis: ""Apakah engkau memperhatikan hamba-Ku Ayub? Sebab tiada seorangpun di bumi seperti dia, yang demikian saleh dan jujur, yang takut akan Allah dan menjauhi kejahatan. Ia tetap tekun dalam kesalehannya, meskipun engkau telah membujuk Aku melawan dia untuk mencelakakannya tanpa alasan."""
26,Ayub 2,4,Iblis banjur ngunjuki wangsulan marang Sang Yehuwah: “Kulit gegentosing kulit; punapa sadarbekipun tiyang mesthi dipun tombokaken supados kapitulungan gesang.,"Lalu jawab Iblis kepada TUHAN: ""Kulit ganti kulit! Orang akan memberikan segala yang dipunyainya ganti nyawanya."
27,Ayub 2,5,"Nanging saupami Paduka ngagagaken asta saha nggepok balung sarta dagingipun, temtu badhe nyupaosi Paduka wonten ing ngarsa paduka.”","Tetapi ulurkanlah tangan-Mu dan jamahlah tulang dan dagingnya, ia pasti mengutuki Engkau di hadapan-Mu."""
28,Ayub 2,6,"Dhawuhe Pangeran Yehuwah marang Iblis: “Lah Ayub iku wus ana ing tanganira, nanging owelen uripe!”","Maka firman TUHAN kepada Iblis: ""Nah, ia dalam kuasamu; hanya sayangkan nyawanya."""
29,Ayub 2,7,"Samundure Iblis saka ing ngarsane Sang Yehuwah, Ayub tumuli diebyuki ing memala barang wiwit ing tlapakane nganti tekan ing embun-embunane.","Kemudian Iblis pergi dari hadapan TUHAN, lalu ditimpanya Ayub dengan barah yang busuk dari telapak kakinya sampai ke batu kepalanya."
30,Ayub 2,8,"Ayub banjur njupuk wingka kagawe ngeroki awake, sarta nglosod ana ing pawuhan.","Lalu Ayub mengambil sekeping beling untuk menggaruk-garuk badannya, sambil duduk di tengah-tengah abu."
31,Ayub 2,9,"Ing kono ature bojone: “Punapa panjenengan taksih ngantepi ing katemenan? Sumangga kula aturi nyupaosi Gusti Allah, lajeng kula aturi seda kemawon!”","Maka berkatalah isterinya kepadanya: ""Masih bertekunkah engkau dalam kesalehanmu? Kutukilah Allahmu dan matilah!"""
32,Ayub 2,10,"Ewadene wangsulane Ayub: “Calathumu iku kaya wong gemblung, sabarang peparinge Gusti Allah kang becik padha daktampani, kang ala apa ora kudu daktampani uga?” Sajrone iku kabeh Ayub ora nganti gawe dosa kalawan lambene.","Tetapi jawab Ayub kepadanya: ""Engkau berbicara seperti perempuan gila! Apakah kita mau menerima yang baik dari Allah, tetapi tidak mau menerima yang buruk?"" Dalam kesemuanya itu Ayub tidak berbuat dosa dengan bibirnya."
33,Ayub 2,11,"Kacarita mitrane Ayub telu bareng krungu bab sakehe bilai kang tumama marang dheweke, banjur padha teka saka ing panggonane dhewe-dhewe, yaiku: Elifas wong Teman, Bildad wong Suah lan Zofar wong Naamah; iku wus padha sarujuk arep tilik Ayub prelu mratelakake bela-sungkawa lang nglipur.","Ketika ketiga sahabat Ayub mendengar kabar tentang segala malapetaka yang menimpa dia, maka datanglah mereka dari tempatnya masing-masing, yakni: Elifas, orang Teman, dan Bildad, orang Suah, serta Zofar, orang Naama. Mereka bersepakat untuk mengucapkan belasungkawa kepadanya dan menghibur dia."
34,Ayub 2,12,"Kocapa, nalika ndeleng saka ing kadohan, padha pangling marang Ayub, sarta seru anggone padha nangis; apamaneh padha nyuwek-nyuwek jubahe, tuwin nyawurake lebu mandhuwur, nglarabi sirahe.","Ketika mereka memandang dari jauh, mereka tidak mengenalnya lagi. Lalu menangislah mereka dengan suara nyaring. Mereka mengoyak jubahnya, dan menaburkan debu di kepala terhadap langit."
35,Ayub 2,13,"Banjur padha lungguh nglosod ing lemah ana ing ngarepe Ayub, lawase pitung dina pitung bengi, ora ana kang muni sakecap bae, marga padha weruh ing sangsarane Ayub kang luwih dening banget iku.","Lalu mereka duduk bersama-sama dia di tanah selama tujuh hari tujuh malam. Seorangpun tidak mengucapkan sepatah kata kepadanya, karena mereka melihat, bahwa sangat berat penderitaannya."
36,Ayub 3,0,Pangadhuhe Ayub,Keluh kesah Ayub
37,Ayub 3,1,"Sawuse mangkono Ayub banjur calathu, nyupatani dina kalahirane;",Sesudah itu Ayub membuka mulutnya dan mengutuki hari kelahirannya.
38,Ayub 3,2,pangucape mangkene:,Maka berbicaralah Ayub:
39,Ayub 3,3,"“Sirnaa dina kalahiranku, mangkonoa uga wengi kang muni: Wus dadi wetengan lanang.","""Biarlah hilang lenyap hari kelahiranku dan malam yang mengatakan: Seorang anak laki-laki telah ada dalam kandungan."
40,Ayub 3,4,"Dina iku dadia peteng, aja digalih dening Gusti Allah kang ana ing luhur, aja kasorotan ing pepadhang pisan.","Biarlah hari itu menjadi kegelapan, janganlah kiranya Allah yang di atas menghiraukannya, dan janganlah cahaya terang menyinarinya."
41,Ayub 3,5,"Muga kalimputana ing pepeteng, lan palimenganing pati, kasasabana ing mendhung, kinagetna ing grahana srengenge.","Biarlah kegelapan dan kekelaman menuntut hari itu, awan-gemawan menudunginya, dan gerhana matahari mengejutkannya."
42,Ayub 3,6,"Wengi iku -- rinayuda ing peteng ndhedhet; aja nganti abungah-bungah, ing dina-dina sajroning setahun, aja kaetung awor cacahing sasi-sasi.",Malam itu--biarlah dia dicekam oleh kegelapan; janganlah ia bersukaria pada hari-hari dalam setahun; janganlah ia termasuk bilangan bulan-bulan.
43,Ayub 3,7,"Lah wengi iku lestaria gabug, lan aja karungu swaraning kabungahan.","Ya, biarlah pada malam itu tidak ada yang melahirkan, dan tidak terdengar suara kegirangan."
44,Ayub 3,8,"Kasupatanana dening para kang ngipat-ipati dina, kang pinter nangekake kanepsone Lewiatan.","Biarlah ia disumpahi oleh para pengutuk hari, oleh mereka yang pandai membangkitkan marah Lewiatan."
45,Ayub 3,9,"Lintang-lintang esuk padha lestaria peteng; tanpa gawe anggone ngenteni tekane pepadhang, aja nganti nyumurupi katone bangbang wetan,","Biarlah bintang-bintang senja menjadi gelap; biarlah ia menantikan terang yang tak kunjung datang, janganlah ia melihat merekahnya fajar,"
46,Ayub 3,10,"awit ora mbuntoni lawange guwa-garbaning ibuku, sarta ora ngaling-alingi kasusahan ana ing ngarepe mripatku.","karena tidak ditutupnya pintu kandungan ibuku, dan tidak disembunyikannya kesusahan dari mataku."
47,Ayub 3,11,"Yagene aku ora mati nalika lair, lan ora pecat nyawaku nalika metu saka ing guwa-garba?","Mengapa aku tidak mati waktu aku lahir, atau binasa waktu aku keluar dari kandungan?"
48,Ayub 3,12,Yagene ana dhengkul kang nadhahi awakku; lan ana susu kang nusoni aku?,"Mengapa pangkuan menerima aku; mengapa ada buah dada, sehingga aku dapat menyusu?"
49,Ayub 3,13,"Saupama ora mangkono, aku rak bisa leyeh-leyeh kalawan tentrem; bisa turu lan ngaso","Jikalau tidak, aku sekarang berbaring dan tenang; aku tertidur dan mendapat istirahat"
50,Ayub 3,14,"awor karo raja lan para nayaka ing jagad, kang wus padha mbangun gegempurane,","bersama-sama raja-raja dan penasihat-penasihat di bumi, yang mendirikan kembali reruntuhan bagi dirinya,"
51,Ayub 3,15,"sarta awor para panggedhe kang duwe emas, lan omahe dikebaki salaka,","atau bersama-sama pembesar-pembesar yang mempunyai emas, yang memenuhi rumahnya dengan perak."
52,Ayub 3,16,"utawa yagene aku ora kaya bayi keluron kang kadhelikake, kaya bayi kang ora nganti ndeleng pepadhang?","Atau mengapa aku tidak seperti anak gugur yang disembunyikan, seperti bayi yang tidak melihat terang?"
53,Ayub 3,17,"Ana ing kono para wong dursila mari anggone gawe rerubed, sarta para wong kang nglentroh padha aso.","Di sanalah orang fasik berhenti menimbulkan huru-hara, di sanalah mereka yang kehabisan tenaga mendapat istirahat."
54,Ayub 3,18,"Ana ing kono para wong tawanan padha oleh katentreman, wus ora krungu swarane kang ngereh.","Dan para tawanan bersama-sama menjadi tenang, mereka tidak lagi mendengar suara pengerah."
55,Ayub 3,19,"Wong cilik lan wong gedhe kaanggep padha ana ing kono, tuwin batur wus luwar saka lurahe.","Di sana orang kecil dan orang besar sama, dan budak bebas dari pada tuannya."
56,Ayub 3,20,"Yagene wong papa diparingi pepadhang, lan kang prihatin kaparingan urip?","Mengapa terang diberikan kepada yang bersusah-susah, dan hidup kepada yang pedih hati;"
57,Ayub 3,21,"Kang banget kapengine mati, nanging ora mati-mati, kang anggone ngupaya ngluwihi wong kang ndhudhuk raja-brana kang kapendhem;","yang menantikan maut, yang tak kunjung tiba, yang mengejarnya lebih dari pada menggali harta terpendam;"
58,Ayub 3,22,"samangsa mrangguli kubure, bungahe luwih banget nganti surak-surak;","yang bersukaria dan bersorak-sorai dan senang, bila mereka menemukan kubur;"
59,Ayub 3,23,"wong lanang kang dalane kaling-kalingan, kang rinupek dening Gusti Allah.","kepada orang laki-laki yang jalannya tersembunyi, yang dikepung Allah?"
60,Ayub 3,24,"Awit pangesahku wus kaya dadi rejekiku, sarta panggluruhku ingesok prasasat banyu.","Karena ganti rotiku adalah keluh kesahku, dan keluhanku tercurah seperti air."
61,Ayub 3,25,"Dhasar apa kang daksumelangake, banjur tumama uga, lan apa kang dakwedeni, iya banjur nempuh.","Karena yang kutakutkan, itulah yang menimpa aku, dan yang kucemaskan, itulah yang mendatangi aku."
62,Ayub 3,26,"Aku ora bisa ayem lan ora oleh aso utawa tentrem, mung karubedan kang nekani aku.”","Aku tidak mendapat ketenangan dan ketenteraman; aku tidak mendapat istirahat, tetapi kegelisahanlah yang timbul."""
63,Ayub 4,0,Elifas nutuh Ayub,Elifas menegur Ayub
64,Ayub 4,1,"Ing kono Elifas wong Teman mangsuli, pangucape:","Maka berbicaralah Elifas, orang Teman:"
65,Ayub 4,2,"“Manawa ana wong nyoba guneman karo kowe, apa ndadekake gelaning atimu? Nanging sapa kang bisa ngampet pitutur?","""Kesalkah engkau, bila orang mencoba berbicara kepadamu? Tetapi siapakah dapat tetap menutup mulutnya?"
66,Ayub 4,3,"Lan wus akeh wong kang padha kokwulang, tangan kang jimpe wus kokkuwatake,","Sesungguhnya, engkau telah mengajar banyak orang, dan tangan yang lemah telah engkau kuatkan;"
67,Ayub 4,4,"wong kang kajengklok wus kokjejegake sarana pituturmu, dhengkul kang nyleyor wus kokkukuhake,","orang yang jatuh telah dibangunkan oleh kata-katamu, dan lutut yang lemas telah kaukokohkan;"
68,Ayub 4,5,"mangka bareng kowe dhewe wiwit ginepok, kowe banjur ngenes, bareng ketaman, ruhara atimu.","tetapi sekarang, dirimu yang tertimpa, dan engkau kesal, dirimu terkena, dan engkau terkejut."
69,Ayub 4,6,"Rak pangabektimu marang Gusti Allah kang minangka andel-andelmu, lan katemenane lakumu kang dadi pangarep-arepmu?","Bukankah takutmu akan Allah yang menjadi sandaranmu, dan kesalehan hidupmu menjadi pengharapanmu?"
70,Ayub 4,7,"Rasakna ta: Ngendi ana wong resik kang nemu karusakan, utawa wong temen kang tinumpes?",Camkanlah ini: siapa binasa dengan tidak bersalah dan di manakah orang yang jujur dipunahkan?
71,Ayub 4,8,"Sasumurupku wong kang mluku cilaka lan nyebar rubeda, iya iku uga kang diundhuh.","Yang telah kulihat ialah bahwa orang yang membajak kejahatan dan menabur kesusahan, ia menuainya juga."
72,Ayub 4,9,"Padha tumpes dening napasing Allah, lebur dening bantering bebendune.","Mereka binasa oleh nafas Allah, dan lenyap oleh hembusan hidung-Nya."
