,bab,ayat,jawa,indo
0,Bilangan 1,0,Bala Israel kacacahake,Laskar Israel dihitung
1,Bilangan 1,1,"Nalika taun kang kapindho ing sasi kapindho ing tanggal sapisan sawuse padha metu saka ing tanah Mesir, Pangeran Yehuwah ngandika marang Nabi Musa ana ing pasamunan ing gunung Sinai ing sajrone Tarub Pasewakan:","TUHAN berfirman kepada Musa di padang gurun Sinai, dalam Kemah Pertemuan, pada tanggal satu bulan yang kedua dalam tahun yang kedua sesudah mereka keluar dari tanah Mesir:"
2,Bilangan 1,2,"“Sira nacahna umat Israel kabeh miturut kulawangsane ing sajrone suku-sukune, sakehe wong lanang ing Israel tulisana jenenge siji-sijine,","""Hitunglah jumlah segenap umat Israel menurut kaum-kaum yang ada dalam setiap suku mereka, dan catatlah nama semua laki-laki di Israel"
3,Bilangan 1,3,"kang umure rong puluh taun munggah, kang sembada ing perang, iku sira cacahna karo Harun miturut golongane dhewe-dhewe.","yang berumur dua puluh tahun ke atas dan yang sanggup berperang, orang demi orang. Engkau ini beserta Harun harus mencatat mereka menurut pasukannya masing-masing."
4,Bilangan 1,4,"Dene kang dadi kanthinira tumrap saben taler wong siji, minangka pemimpine kulawangsane.","Dari tiap-tiap suku harus ada satu orang yang mendampingi kamu, yakni orang yang menjadi kepala dari suku yang diwakilinya itu."
5,Bilangan 1,5,Iki jenenge wong-wong kang padha dadi kanthinira: Saka taler Ruben: Elizur bin Syedeur;,Dan inilah nama semua orang yang harus mendampingi kamu. Dari suku Ruben: Elizur bin Syedeur;
6,Bilangan 1,6,saka taler Simeon: Selumiel bin Zurisyadai;,dari suku Simeon: Selumiel bin Zurisyadai;
7,Bilangan 1,7,saka taler Yehuda: Nahason bin Aminadhab;,dari suku Yehuda: Nahason bin Aminadab;
8,Bilangan 1,8,saka taler Isakhar: Netaneel bin Zuar;,dari suku Isakhar: Netaneel bin Zuar;
9,Bilangan 1,9,saka taler Zebulon; Eliab bin Helon;,dari suku Zebulon: Eliab bin Helon;
10,Bilangan 1,10,"tumrap turune Yusuf, saka taler Efraim: Elisama bin Amihud; lan saka taler Manasye: Gamaliel bin Pedazur;","dari keturunan Yusuf: Elisama bin Amihud dari suku Efraim, dan Gamaliel bin Pedazur dari suku Manasye;"
11,Bilangan 1,11,saka taler Benyamin: Abidan bin Gidheoni;,dari suku Benyamin: Abidan bin Gideoni;
12,Bilangan 1,12,saka taler Dhan: Ahiezer bin Amisyadai;,dari suku Dan: Ahiezer bin Amisyadai;
13,Bilangan 1,13,saka taler Asyer: Pagiel bin Okhran;,dari suku Asyer: Pagiel bin Okhran;
14,Bilangan 1,14,saka taler Gad: Elyasaf bin Rehuel;,dari suku Gad: Elyasaf bin Rehuel;
15,Bilangan 1,15,saka taler Naftali: Ahira bin Enan.”,"dari suku Naftali: Ahira bin Enan."""
16,Bilangan 1,16,"Iku para wong kang pinilih saka antarane para umat iku, siji-sijine dadi pemimpining talere para leluhure, iku padha dadi panggedhene bala Israel.","Itulah orang-orang yang dipilih dari umat itu, masing-masing sebagai pemimpin dari suku bapa leluhurnya; mereka inilah kepala-kepala pasukan Israel."
17,Bilangan 1,17,Nabi Musa lan Rama Harun tumuli nimbali wong-wong kang wus padha kasebut jenenge mau.,"Lalu Musa dan Harun memanggil orang-orang yang tertunjuk namanya itu,"
18,Bilangan 1,18,"Bareng tanggal sapisan sasi kapindho banjur padha nglempakake sapepake pasamuwan. Sawuse mangkono nuli ndhapuk sarasilahe para wong Israel miturut gotrahe kang tinemu ing saben taler. Wong-wong kang umure rong puluh taun sapandhuwur ditulisi jenenge siji-sijine,","dan pada tanggal satu bulan yang kedua mereka menyuruh segenap umat berkumpul. Kemudian silsilah orang-orang Israel disusun menurut kaum-kaum yang ada dalam setiap suku mereka, sedang nama-nama mereka yang berumur dua puluh tahun ke atas dicatat orang demi orang,"
19,Bilangan 1,19,kaya kang kadhawuhake dening Pangeran Yehuwah marang Nabi Musa. Mangkono Nabi Musa anggone nacahake umat ana ing pasamunan Sinai.,seperti yang diperintahkan TUHAN kepada Musa. Demikianlah Musa mencatat mereka di padang gurun Sinai.
20,Bilangan 1,20,"Mungguh sarasilahe turune Ruben pembarepe Israel iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang, padha ditulisi jenenge dhewe-dhewe.","Ketika silsilah bani Ruben, yaitu keturunan anak sulung Israel, disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama semua laki-laki yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang, orang demi orang."
21,Bilangan 1,21,Gunggunge saka taler Ruben kang kacathet iku ana patang puluh nem ewu limang atus.,Jumlah yang dicatat dari suku Ruben ada empat puluh enam ribu lima ratus orang.
22,Bilangan 1,22,"Mungguh sarasilahe turune Simeon iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur roh puluh taun sapandhuwur, kang sembada ing perang, padha ditulisi jenenge dhewe-dhewe.","Ketika silsilah bani Simeon disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama semua laki-laki yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang, orang demi orang."
23,Bilangan 1,23,Gunggunge kang kacathetan saka taler Simeon ana seket sanga ewu telung atus.,Jumlah yang dicatat dari suku Simeon ada lima puluh sembilan ribu tiga ratus orang.
24,Bilangan 1,24,"Mungguh sarasilahe turune Gad iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang padha ditulisi jenenge.","Ketika silsilah bani Gad disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
25,Bilangan 1,25,Gunggunge kang kacathetan saka taler Gad iku ana patang puluh papat ewu nem atus seket.,Jumlah yang dicatat dari suku Gad ada empat puluh lima ribu enam ratus lima puluh orang.
26,Bilangan 1,26,"Mungguh sarasilahe turune Yehuda iku kadhapuk miturut gotrah-gotrahe, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang padha ditulisi jenenge.","Ketika silsilah bani Yehuda disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
27,Bilangan 1,27,Gunggunge kang kacathetan saka taler Yehuda iku ana pitung puluh papat ewu nem atus.,Jumlah yang dicatat dari suku Yehuda ada tujuh puluh empat ribu enam ratus orang.
28,Bilangan 1,28,"Mungguh sarasilahe turune Isakhar iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang padha ditulisi jenenge.","Ketika silsilah bani Isakhar disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
29,Bilangan 1,29,Gunggunge kang kacathetan saka taler Isakhar iku ana seket papat ewu patang atus.,Jumlah yang dicatat dari suku Isakhar ada lima puluh empat ribu empat ratus orang.
30,Bilangan 1,30,"Mungguh sarasilahe turune Zebulon iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang padha ditulisi jenenge.","Ketika silsilah bani Zebulon disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
31,Bilangan 1,31,Gunggunge saka taler Zebulon kang kacathetan iku ana seket pitu ewu patang atus.,Jumlah yang dicatat dari suku Zebulon ada lima puluh tujuh ribu empat ratus orang.
32,Bilangan 1,32,"Mungguh sarasilahe turune Yusuf, kang kalebu darah Efraim iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang padha ditulisi jenenge.","Mengenai keturunan Yusuf: Ketika silsilah bani Efraim disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
33,Bilangan 1,33,Gunggunge saka taler Efraim kang kacathetan iku ana patang puluh ewu limang atus.,Jumlah yang dicatat dari suku Efraim ada empat puluh ribu lima ratus orang.
34,Bilangan 1,34,"Kang kalebu darahe Manasye, miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang padha ditulisi jenenge.","Dan ketika silsilah bani Manasye disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
35,Bilangan 1,35,Gunggunge saka taler Manasye kang kacathetan iku ana telung puluh loro ewu rong atus.,Jumlah yang dicatat dari suku Manasye ada tiga puluh dua ribu dua ratus orang.
36,Bilangan 1,36,"Mungguh sarasilahe turune Benyamin iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang, padha ditulisi jenenge.","Ketika silsilah bani Benyamin disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
37,Bilangan 1,37,Gunggunge saka taler Benyamin kang kacathetan iku ana telung puluh lima ewu patang atus.,Jumlah yang dicatat dari suku Benyamin ada tiga puluh lima ribu empat ratus orang.
38,Bilangan 1,38,"Mungguh sarasilahe turune Dhan iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang padha ditulisi jenenge.","Ketika silsilah bani Dan disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
39,Bilangan 1,39,Gunggunge saka taler Dhan kang kacathetan iku ana suwidak loro ewu patang atus.,Jumlah yang dicatat dari suku Dan ada enam puluh dua ribu tujuh ratus orang.
40,Bilangan 1,40,"Mungguh sarasilahe turune Asyer iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang padha ditulisi jenenge.","Ketika silsilah bani Asyer disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
41,Bilangan 1,41,Gunggunge saka taler Asyer kang kacathetan iku ana patang puluh siji ewu limang atus.,Jumlah yang dicatat dari suku Asyer ada empat puluh satu ribu lima ratus orang.
42,Bilangan 1,42,"Mungguh sarasilahe turune Naftali iku kadhapuk miturut gotrah-gotrahe ing talere, cacahe wong lanang kang umur rong puluh taun sapandhuwur, kang sembada ing perang, padha ditulisi jenenge.","Ketika silsilah bani Naftali disusun menurut kaum-kaum yang ada dalam suku mereka, maka dicatatlah nama orang-orang yang berumur dua puluh tahun ke atas, semua orang yang sanggup berperang."
43,Bilangan 1,43,Gunggunge saka taler Naftali kang kacathetan iku ana seket telu ewu patang atus.,Jumlah yang dicatat dari suku Naftali ada lima puluh tiga ribu empat ratus orang.
44,Bilangan 1,44,"Samono mau kang padha kacacahake dening Nabi Musa lan Rama Harun lan para panggedhene para wong Israel rolas, kang siji-sijine makili talere.",Itulah jumlah orang-orang yang dicatat oleh Musa dengan Harun dan dengan kedua belas pemimpin Israel yang masing-masing mewakili sukunya.
45,Bilangan 1,45,"Dadi sakehe wong Israel kang kacacahake miturut taler-talere kang umur rong puluh taun sapandhuwur, kang sembada ing perang ana ing satengahe wong Israel,","Jadi semua orang Israel yang dicatat menurut suku-suku mereka, yaitu orang-orang yang berumur dua puluh tahun ke atas dan yang sanggup berperang di antara orang Israel,"
46,Bilangan 1,46,gunggunge nem atus telu ewu limang atus seket.,berjumlah enam ratus tiga ribu lima ratus lima puluh orang.
