,bab,ayat,jawa,indo
0,Daniel 1,0,Ana ing kraton Babil,Di istana Babel
1,Daniel 1,1,"Ing taun kang katelune paprentahane Sang Prabu Yoyakim, ratu ing Yehuda, Sang Prabu Nebukadnezar, ratu ing nagara Babil, rawuh ing kutha Yerusalem lan ngepang kutha iku.","Pada tahun yang ketiga pemerintahan Yoyakim, raja Yehuda, datanglah Nebukadnezar, raja Babel, ke Yerusalem, lalu mengepung kota itu."
2,Daniel 1,2,"Sang Prabu Yoyakim, ratu ing Yehuda mau banjur kaulungake dening Pangeran Yehuwah marang ing astane dalasan saperanganing prabote padalemaning Allah. Kabeh iku dibekta menyang ing tanah Sinear, menyang ing kabuyutaning dewane.","Tuhan menyerahkan Yoyakim, raja Yehuda, dan sebagian dari perkakas-perkakas di rumah Allah ke dalam tangannya. Semuanya itu dibawanya ke tanah Sinear, ke dalam rumah dewanya; perkakas-perkakas itu dibawanya ke dalam perbendaharaan dewanya."
3,Daniel 1,3,"Sang Prabu banjur dhawuh marang Aspenas, kepalaning punggawa kraton, supaya nyowanake wong Israel sawatara, kang kagolong turuning ratu lan tedhaking ngaluhur,","Lalu raja bertitah kepada Aspenas, kepala istananya, untuk membawa beberapa orang Israel, yang berasal dari keturunan raja dan dari kaum bangsawan,"
4,Daniel 1,4,"yaiku para nonoman kang tanpa cacad, kang bagus rupane, kang kadunungan kawicaksanan mawarna-warna, kang sugih kabisan sarta kang kadunungan pangreten bab kawruh, apadene kang padha sembada ngabdi ana ing kadhatone Sang Prabu, banjur padha kawulanga nulis tuwin basane wong Kasdim.","yakni orang-orang muda yang tidak ada sesuatu cela, yang berperawakan baik, yang memahami berbagai-bagai hikmat, berpengetahuan banyak dan yang mempunyai pengertian tentang ilmu, yakni orang-orang yang cakap untuk bekerja dalam istana raja, supaya mereka diajarkan tulisan dan bahasa orang Kasdim."
5,Daniel 1,5,"Sabanjure Sang Prabu netepake cadhonge dinan wong-wong mau kajupukake saka dhaharane Sang Prabu lan saka anggur, kang adate kaunjuk, kaya mangkono wong-wong mau anggone padha kagulawenthah sajrone telung taun, lan sawise iku kudu nyambut gawe kagem Sang Prabu.","Dan raja menetapkan bagi mereka pelabur setiap hari dari santapan raja dan dari anggur yang biasa diminumnya. Mereka harus dididik selama tiga tahun, dan sesudah itu mereka harus bekerja pada raja."
6,Daniel 1,6,"Panunggalane wong mau ana kang kalebu wong Yehuda sawatara, yaiku Dhaniel, Hananya, Misael lan Azarya.","Di antara mereka itu ada juga beberapa orang Yehuda, yakni Daniel, Hananya, Misael dan Azarya."
7,Daniel 1,7,"Kepala punggawa kraton mau menehi jeneng liya. Dhaniel diwenehi jeneng Beltsazar, Hananya Sadrakh, Misael Mesakh lan Azarya Abednego.","Pemimpin pegawai istana itu memberi nama lain kepada mereka: Daniel dinamainya Beltsazar, Hananya dinamainya Sadrakh, Misael dinamainya Mesakh dan Azarya dinamainya Abednego."
8,Daniel 1,8,"Anadene Dhaniel mutus ora bakal najisake awak kalawan dhaharane Sang Prabu sarta anggur kang adate diunjuk dening Sang Prabu, mulane nyuwun marang kepalaning punggawa kraton mau, supaya ora usah najisake awake.","Daniel berketetapan untuk tidak menajiskan dirinya dengan santapan raja dan dengan anggur yang biasa diminum raja; dimintanyalah kepada pemimpin pegawai istana itu, supaya ia tak usah menajiskan dirinya."
9,Daniel 1,9,Gusti Allah tumuli ngolehake sih-piwelas ana ing ngarepe kepala punggawa kraton iku;,Maka Allah mengaruniakan kepada Daniel kasih dan sayang dari pemimpin pegawai istana itu;
10,Daniel 1,10,"nanging kepala punggawa kraton iku banjur celathu marang Dhaniel: “Aku sumelang, manawa gustiku Sang Prabu, kang wus nemtokake pangan lan ngombemu, nggalih, yen kowe katon kurang seger manawa katandhing karo para nonoman liyane barakanmu, satemah marga saka kowe, aku kagalih luput dening Sang Prabu.”","tetapi berkatalah pemimpin pegawai istana itu kepada Daniel: ""Aku takut, kalau-kalau tuanku raja, yang telah menetapkan makanan dan minumanmu, berpendapat bahwa kamu kelihatan kurang sehat dari pada orang-orang muda lain yang sebaya dengan kamu, sehingga karena kamu aku dianggap bersalah oleh raja."""
11,Daniel 1,11,"Dhaniel tumuli matur marang abdi dalem kang wus kaangkat dening panggedhene punggawa kraton mau dadi pangawase Dhaniel, Hananya, Misael lan Azarya:","Kemudian berkatalah Daniel kepada penjenang yang telah diangkat oleh pemimpin pegawai istana untuk mengawasi Daniel, Hananya, Misael dan Azarya:"
12,Daniel 1,12,"“Panjenengan kula aturi nyobi ingkang abdi sadaya sadasa dinten laminipun, kula sami kaparingana tedha jejanganan saha ngombe toya kemawon;","""Adakanlah percobaan dengan hamba-hambamu ini selama sepuluh hari dan biarlah kami diberikan sayur untuk dimakan dan air untuk diminum;"
13,Daniel 1,13,"sasampunipun punika kula aturi nandhing kawontenan kula sadaya kaliyan para neneman ingkang sami nedha dhaharanipun Sang Prabu, manawi sampun lajeng sami kadamela kadosdene ingkang panjenengan karsakaken.”","sesudah itu bandingkanlah perawakan kami dengan perawakan orang-orang muda yang makan dari santapan raja, kemudian perlakukanlah hamba-hambamu ini sesuai dengan pendapatmu."""
14,Daniel 1,14,"Panyuwune mau dijurungi, nuli padha dicoba suwene sapuluh dina.","Didengarkannyalah permintaan mereka itu, lalu diadakanlah percobaan dengan mereka selama sepuluh hari."
15,Daniel 1,15,"Bareng wus kliwat sapuluh dina, kaanane nyata luwih becik sarta luwih lemu yen katimbang karo wong nonoman kang wus padha mangan dhaharane Sang Prabu.","Setelah lewat sepuluh hari, ternyata perawakan mereka lebih baik dan mereka kelihatan lebih gemuk dari pada semua orang muda yang telah makan dari santapan raja."
16,Daniel 1,16,"Sabanjure abdi dalem mau saben-saben njupuk pangane lan omben-omben kang mesthine padha diombe wong-wong mau, nuli padha diwenehi jejanganan.","Kemudian penjenang itu selalu mengambil makanan mereka dan anggur yang harus mereka minum, lalu memberikan sayur kepada mereka."
17,Daniel 1,17,"Nonoman papat mau padha diparingi dening Gusti Allah kawruh lan kapinteran bab tulisan lan kawicaksanan warna-warna, dene Dhaniel uga kadunungan pangreten bab wahyu lan impen rupa-rupa.","Kepada keempat orang muda itu Allah memberikan pengetahuan dan kepandaian tentang berbagai-bagai tulisan dan hikmat, sedang Daniel juga mempunyai pengertian tentang berbagai-bagai penglihatan dan mimpi."
18,Daniel 1,18,"Bareng wektu kang katetepake dening Sang Prabu wus kliwat, yaiku anggone wong-wong mau kudu banjur disowanake, nuli padha diajak dening kepalaning punggawa kraton sowan marang ing ngarsane Sang Prabu Nebukadnezar.","Setelah lewat waktu yang ditetapkan raja, bahwa mereka sekalian harus dibawa menghadap, maka dibawalah mereka oleh pemimpin pegawai istana itu ke hadapan Nebukadnezar."
19,Daniel 1,19,"Tumuli padha diajak ngandikan dening Sang Prabu sarta panunggalane wong-wong mau ora ana kang madhani Dhaniel, Hananya, Misael lan Azarya; kabeh padha suwita marang Sang Prabu.","Raja bercakap-cakap dengan mereka; dan di antara mereka sekalian itu tidak didapati yang setara dengan Daniel, Hananya, Misael dan Azarya; maka bekerjalah mereka itu pada raja."
20,Daniel 1,20,"Saben bab kang mbutuhake kawicaksanan lan pangreten, kang didangokake dening Sang Prabu marang wong-wong mau, tinemune wong-wong mau tikel sapuluh anggone ngluwihi kapinterane para sarjana lan para juru gendam ing saindenging karajan.","Dalam tiap-tiap hal yang memerlukan kebijaksanaan dan pengertian, yang ditanyakan raja kepada mereka, didapatinya bahwa mereka sepuluh kali lebih cerdas dari pada semua orang berilmu dan semua ahli jampi di seluruh kerajaannya."
21,Daniel 1,21,Dhaniel anggone ana ing kono nganti ing taun kapisane paprentahane Sang Prabu Koresy.,Daniel ada di sana sampai tahun pertama pemerintahan Koresh.
22,Daniel 2,0,Supenane Sang Prabu Nebukadnezar,Mimpi Nebukadnezar
23,Daniel 2,1,"Ing taun kang kapindhone paprentahane Sang Prabu Nebukadnezar, Sang Prabu Nebukadnezar supena; marga saka iku panggalihe banjur ora jenjem lan ora bisa sare.",Pada tahun yang kedua pemerintahan Nebukadnezar bermimpilah Nebukadnezar; karena itu hatinya gelisah dan ia tidak dapat tidur.
24,Daniel 2,2,"Sang Prabu nuli utusan nimbali para sarjana, para juru-gendam, juru sihir lan para wong Kasdim, kadhawuhan nerangake supena mau marang panjenengane; banjur padha sowan lan ngadeg ana ing ngarsane Sang Prabu.","Lalu raja menyuruh memanggil orang-orang berilmu, ahli jampi, ahli sihir dan para Kasdim, untuk menerangkan kepadanya tentang mimpinya itu; maka datanglah mereka dan berdiri di hadapan raja."
25,Daniel 2,3,"Sang Prabu ngandika marang wong-wong mau: “Ingsun supena, lan marga saka supena iku panggalihingsun kuwur marga kepengin nguningani supena iku.”","Kata raja kepada mereka: ""Aku bermimpi, dan hatiku gelisah, karena ingin mengetahui mimpi itu."""
26,Daniel 2,4,"Para wong Kasdim iku banjur padha munjuk marang Sang Prabu (ing basa Aram): “Dhuh Sang Prabu! Mugi langgenga kasugengan dalem! Mugi karsaa paring sumerep bab supena punika dhateng para abdi dalem, mangke kawula badhe ngunjukaken maknanipun.”","Lalu berkatalah para Kasdim itu kepada raja (dalam bahasa Aram): ""Ya raja, kekallah hidupmu! Ceriterakanlah kepada hamba-hambamu mimpi itu, maka kami akan memberitahukan maknanya."""
27,Daniel 2,5,"Nanging paring wangsulane Sang Prabu marang wong Kasdim mau: “Ingsun wus damel putusan, yaiku manawa sira ora padha ngunjuki uninga marang ingsun bab supena iku lan maknane, sira mesthi bakal padha katengkel-tengkel sarta omahira bakal padha karubuhake kadadekake tumpukan uwuh,","Tetapi raja menjawab para Kasdim itu: ""Aku telah mengambil keputusan, yakni jika kamu tidak memberitahukan kepadaku mimpi itu dengan maknanya, maka kamu akan dipenggal-penggal dan rumah-rumahmu akan dirobohkan menjadi timbunan puing;"
28,Daniel 2,6,"nanging manawa sira padha bisa ngunjuki uninga bab supena lan maknane, sira bakal padha tampa ganjaran, peparing lan kaurmatan kang gedhe saka ingsun. Mulane padha ngunjukana uninga marang ingsun bab supena iku lan maknane!”","tetapi jika kamu dapat memberitahukan mimpi itu dengan maknanya, maka kamu akan menerima hadiah, pemberian-pemberian dan kehormatan yang besar dari padaku. Oleh sebab itu beritahukanlah kepadaku mimpi itu dengan maknanya!"""
