,bab,ayat,jawa,indo
0,Ester 1,0,Sang Prameswari Wasti katundhung,Ratu Wasti dibuang
1,Ester 1,1,"Nalika jamane Sang Prabu Ahasyweros -- yaiku Sang Prabu Ahasyweros kang ngratoni tlatah satus pitulikur, wiwit saka ing Indhia tutug ing Etiopia --","Pada zaman Ahasyweros--dialah Ahasyweros yang merajai seratus dua puluh tujuh daerah mulai dari India sampai ke Etiopia--,"
2,Ester 1,2,"ing jaman samana nalika Sang Prabu Ahasyweros lenggah ing dhamparing kaprabone ana ing beteng kadhatone ing Susan,","pada zaman itu, ketika raja Ahasyweros bersemayam di atas takhta kerajaannya di dalam benteng Susan,"
3,Ester 1,3,"nalika ing taun kang kaping telune paprentahane, Sang Prabu mangun bujana kalawan nimbali sakehing para panggedhe lan punggawa kabeh; wadya-bala ing tanah Persia lan Media, para priyagung lan panggedhening dhaerah padha pepak andher ana ing ngarsane.","pada tahun yang ketiga dalam pemerintahannya, diadakanlah oleh baginda perjamuan bagi semua pembesar dan pegawainya; tentara Persia dan Media, kaum bangsawan dan pembesar daerah hadir di hadapan baginda."
4,Ester 1,4,"Ing kono Sang Prabu mamerake kasugihaning karajane kang mulya, kaendahaning kaluhurane kang sumunar, pirang-pirang dina suwene, nganti satus wolung puluh dina.","Di samping itu baginda memamerkan kekayaan kemuliaan kerajaannya dan keindahan kebesarannya yang bersemarak, berhari-hari lamanya, sampai seratus delapan puluh hari."
5,Ester 1,5,"Bareng wus tekan samono mau Sang Prabu tumuli ngawontenake bujana maneh kanggo sakehing para kawula kang ana ing beteng kadhaton ing Susan, para priyagung dalah para wong cilik, suwene pitung dina, ana ing plataraning patamanan kadhaton.","Setelah genap hari-hari itu, maka raja mengadakan perjamuan lagi tujuh hari lamanya bagi seluruh rakyatnya yang terdapat di dalam benteng Susan, dari pada orang besar sampai kepada orang kecil, bertempat di pelataran yang ada di taman istana kerajaan."
6,Ester 1,6,"Langsene lena, mori alus lan kain wungu tuwa, kang tinalenan lena alus lan kain wungu enom, cumanthel ing gelangan salaka ing saka-saka marmer putih, sarta kanthil kancana lan salaka kaprenahake ing jrambah marmer, marmer putih, giwang lan marmer mancawarna.","Di situ tirai-mirai dari pada kain lenan, mori halus dan kain ungu tua, yang terikat dengan tali lenan halus dan ungu muda bergantung pada tombol-tombol perak di tiang-tiang marmar putih, sedang katil emas dan perak ditempatkan di atas lantai pualam, marmar putih, gewang dan pelinggam."
7,Ester 1,7,"Pangunjukan kaladekake ana ing tuwung kancana kang mawarna-warna, lan anggure anggur pangunjukane Sang Prabu, nganti turah-turah, kang pantes tumrap ing ratu.","Minuman dihidangkan dalam piala emas yang beraneka warna, dan anggurnya ialah anggur minuman raja yang berlimpah-limpah, sebagaimana layak bagi raja."
8,Ester 1,8,"Dene carane ngombe iku: ora peksan, awit dhawuhe Sang Prabu sakehing para abdi dalem ing kadhaton kakarsakake manut sakarepe sawiji-wijining wong.","Adapun aturan minum ialah: tiada dengan paksa; karena beginilah disyaratkan raja kepada semua bentara dalam, supaya mereka berbuat menurut keinginan tiap-tiap orang."
9,Ester 1,9,Sang Prameswari Wasti uga mangun bujana kanggo para wanita kabeh kang ana ing kadhatone Sang Prabu Ahasyweros.,"Juga Wasti, sang ratu, mengadakan perjamuan bagi semua perempuan di dalam istana raja Ahasyweros."
10,Ester 1,10,"Nalika ing dina kang kaping pitune nalika Sang Prabu karenan ing galih marga saka sumuking anggur, Sang Nata banjur dhawuh marang priyagung kadhaton pitu kang caos ana ing ngarsane, asmane: Mehuman, Bizta, Kharbona, Bigta, Abagta, Zetar lan Karkas,","Pada hari yang ketujuh, ketika raja riang gembira hatinya karena minum anggur, bertitahlah baginda kepada Mehuman, Bizta, Harbona, Bigta, Abagta, Zetar dan Karkas, yakni ketujuh sida-sida yang bertugas di hadapan raja Ahasyweros,"
11,Ester 1,11,"padha kadhawuhan nyowanake Sang Prameswari Wasti mau marang ing ngarsa dalem kalawan ngagem makuthaning kaprabon, supaya mamerna kaendahaning warnane marang para kawula lan para panggedhe, amarga Sang Prameswari iku endah banget warnane.","supaya mereka membawa Wasti, sang ratu, dengan memakai mahkota kerajaan, menghadap raja untuk memperlihatkan kecantikannya kepada sekalian rakyat dan pembesar-pembesar, karena sang ratu sangat elok rupanya."
12,Ester 1,12,"Nanging Sang Prameswari mopo sowan ngestokake timbalan dalem kang kaaturake dening priyayi kadhaton mau, temah Sang Prabu duka banget nganti mangar-mangar pasuryane.","Tetapi ratu Wasti menolak untuk menghadap menurut titah raja yang disampaikan oleh sida-sida itu, sehingga sangat geramlah raja dan berapi-apilah murkanya."
13,Ester 1,13,"Sang Prabu tumuli ndangu marang para wicaksana, kang ngreti adat-tata-cara ing jaman samana, -- ujer kaya kaya mangkono iku lumrahe, sabarang prakara kang magepokan karo Sang Nata iku karembug dening sakehing para ahli angger-angger lan pangadilan;","Maka bertanyalah raja kepada orang-orang arif bijaksana, orang-orang yang mengetahui kebiasaan zaman--karena demikianlah biasanya masalah-masalah raja dikemukakan kepada para ahli undang-undang dan hukum;"
14,Ester 1,14,"dene kang cedhak dhewe karo Sang Prabu, yaiku: Sang Karsena, Setar, Admata, Tarsis, Meres, Marsena sarta Sang Memukan, priyagung pitu, panggedhene nagara Persia lan Media, kang diparengake mirsani pasuryane Sang Prabu lan kang kaparingan kalungguhan kang dhuwur ana ing sajroning karajan -- pandangune Sang Prabu:","adapun yang terdekat kepada baginda ialah Karsena, Setar, Admata, Tarsis, Meres, Marsena dan Memukan, ketujuh pembesar Persia dan Media, yang boleh memandang wajah raja dan yang mempunyai kedudukan yang tinggi di dalam kerajaan--,tanya raja:"
15,Ester 1,15,"“Awewaton undhang-undhang Sang Prameswari wajib kapatrapan apa, amarga ora ngestokake marang timbalane Sang Prabu Ahasyweros, kang kaaturake dening para priyayi kadhaton.”","""Apakah yang harus diperbuat atas ratu Wasti menurut undang-undang, karena tidak dilakukannya titah raja Ahasyweros yang disampaikan oleh sida-sida?"""
16,Ester 1,16,"Sang Memukan banjur matur ana ing ngarsane Sang Prabu lan para panggedhe: “Sang Prameswari Wasti anggenipun kagungan kalepatan punika boten namung dhumateng Sang Prabu kemawon, nanging ugi dhateng sakathahipun para pangageng sarta dhateng sakathahipun para bangsa, ingkang wonten ing tlatah wewengkonipun Sang Prabu Ahasyweros sadaya.","Maka sembah Memukan di hadapan raja dan para pembesar itu: ""Wasti, sang ratu, bukan bersalah kepada raja saja, melainkan juga kepada semua pembesar dan segala bangsa yang di dalam segala daerah raja Ahasyweros."
17,Ester 1,17,"Amargi tindak-tandukipun Sang Prameswari punika badhe sumebar nular dhateng sakathahipun para wanita, temahan sami nyamah dhateng kakungipun, manawi kepireng makaten: Sang Prabu Ahasyweros dhawuh supaya Sang Prameswari kasowanake ing ngarsane, nanging Sang Prameswari ora karsa sowan.","Karena kelakuan sang ratu itu akan merata kepada semua perempuan, sehingga mereka tidak menghiraukan suaminya, apabila diceritakan orang: Raja Ahasyweros menitahkan, supaya Wasti, sang ratu, dibawa menghadap kepadanya, tetapi ia tidak mau datang."
18,Ester 1,18,"Ing dinten punika semahipun para pangageng ing Persia kaliyan ing Media ingkang sami mireng bab tindak-tandukipun Sang Prameswari punika wau, mesthi sami reraosan bab punika kaliyan semahipun, temahan badhe nuwuhaken raos ngremehaken saha kanepson ingkang boten wonten telas-telasipun.","Pada hari ini juga isteri para pembesar raja di Persia dan Media yang mendengar tentang kelakuan sang ratu akan berbicara tentang hal itu kepada suaminya, sehingga berlarut-larutlah penghinaan dan kegusaran."
