,bab,ayat,jawa,indo
0,Ezra 1,0,Prabu Koresy maringi palilah marang para wong buwangan mulih menyang ing nagarane,Koresh mengizinkan orang-orang buangan pulang ke negerinya
1,Ezra 1,1,"Nalika taun kapisan jumenenge Prabu Koresy, ratu ing nagara Persia, supaya katetepana pangandika kang kalairake dening Nabi Yeremia, Sang Yehuwah ngosikake panggalihe Sang Prabu Koresy, ratu ing Persia mau, temahan panjenengane nuli ngundhangake ing saindenging karajane Prabu Koresy kalawan lesan lan katulis:","Pada tahun pertama zaman Koresh, raja negeri Persia, TUHAN menggerakkan hati Koresh, raja Persia itu untuk menggenapkan firman yang diucapkan oleh Yeremia, sehingga disiarkan di seluruh kerajaan Koresh secara lisan dan tulisan pengumuman ini:"
2,Ezra 1,2,"“Mangkene dhawuhe Sang Prabu Koresy, ratu ing Persia: Pangeran Yehuwah, Gusti Allahe sakurebe langit wus maringake sakehing karajan ing bumi marang ingsun; Panjenengane wus dhawuh marang ingsun ngyasakake padaleman kagem Panjenengane ana ing Yerusalem ing tanah Yehuda.","""Beginilah perintah Koresh, raja Persia: Segala kerajaan di bumi telah dikaruniakan kepadaku oleh TUHAN, Allah semesta langit. Ia menugaskan aku untuk mendirikan rumah bagi-Nya di Yerusalem, yang terletak di Yehuda."
3,Ezra 1,3,"Sapa wong panunggalanira kang kagolong umate, iku ditunggalake dening Allahe! Iku mangkata mulih menyang ing Yerusalem kang ana ing tanah Yehuda, lan yasaa padalemane Sang Yehuwah, Gusti Allahe Israel, yaiku Gusti Allah kang akedhaton ana ing Yerusalem.","Siapa di antara kamu termasuk umat-Nya, Allahnya menyertainya! Biarlah ia berangkat pulang ke Yerusalem, yang terletak di Yehuda, dan mendirikan rumah TUHAN. Allah Israel, yakni Allah yang diam di Yerusalem."
4,Ezra 1,4,"Dene sapa-sapaa kang isih kari, ana ing ngendi-endia bae anggone neneka, iku dibiyantonana dening wong kang manggon tunggal sapanggonan selaka lan emas tuwin dandanan apadene kewan, karo maneh kang rupa pisungsung manasuka kanggo padalemane Gusti Allah kang akedhaton ana ing Yerusalem.”","Dan setiap orang yang tertinggal, di manapun ia ada sebagai pendatang, harus disokong oleh penduduk setempat dengan perak dan emas, harta benda dan ternak, di samping persembahan sukarela bagi rumah Allah yang ada di Yerusalem."""
5,Ezra 1,5,"Ing kono para panggedhene darah yehuda lan Benyamin sarta para imam lan para wong Lewi, yaiku saben wong kang katetangi krekating atine dening Gusti Allah, supaya mangkat, banjur padha budhalan, arep mbangun padalemane Sang Yehuwah kang akedhaton ana ing Yerusalem.","Maka berkemaslah kepala-kepala kaum keluarga orang Yehuda dan orang Benyamin, serta para imam dan orang-orang Lewi, yakni setiap orang yang hatinya digerakkan Allah untuk berangkat pulang dan mendirikan rumah TUHAN yang ada di Yerusalem."
6,Ezra 1,6,"Dene sakehing tangga teparone padha mbiyantu piranti selaka tuwin emas lan rajabrana sarta kewan, apadene kang peni-peni, iku kejaba apa kang kapisungsungake kalawan manasuka.","Dan segala orang di sekeliling mereka membantu mereka dengan barang-barang perak, dengan emas, harta benda dan ternak dan dengan pemberian yang indah-indah, selain dari segala sesuatu yang dipersembahkan dengan sukarela."
7,Ezra 1,7,Sang Prabu Koresy uga dhawuh ngwedalake pirantine padalemane Sang Yehuwah kang wus dijarah dening Sang Prabu Nebukadnezar saka ing Yerusalem lan diselehake ana ing kabuyutane allahe.,Pula raja Koresh menyuruh mengeluarkan perlengkapan rumah TUHAN yang telah diangkut Nebukadnezar dari Yerusalem dan yang ditaruhnya di dalam kuil allahnya.
8,Ezra 1,8,"Prabu Koresy ratu ing Persia mau anggone ngwedalake iku dipanggedheni dening Sang Mitredat, wedana gedhong kraton, kang nacahake iku kabeh ana ing ngarsane Sang Sesbazar, panggedhene bangsa Yehuda.","Koresh, raja Persia itu, menyuruh mengeluarkan semuanya itu di bawah pengawasan Mitredat, bendahara raja, yang menghitung seluruhnya bagi Sesbazar, pembesar di Yehuda."
9,Ezra 1,9,"Iki pratelane: bokor mas telung puluh, bokor selaka sewu, lading sangalikur,","Inilah daftarnya: tiga puluh bokor emas, seribu bokor perak, dua puluh sembilan pisau,"
10,Ezra 1,10,"tuwung mas telung puluh, tuwung selaka patang atus sepuluh, piranti liya-liyane sewu.","tiga puluh piala emas, pula empat ratus sepuluh piala perak, seribu buah barang-barang lain."
11,Ezra 1,11,"Sakehing piranti mas lan selaka iku gunggunge limang ewu patang atus. Iku kabeh digawa Sesbazar, nalika para wong buwangan mau padha kairid mulih saka ing tanah Babil menyang ing Yerusalem.",Barang-barang emas dan perak itu seluruhnya berjumlah lima ribu empat ratus. Semuanya itu dibawa oleh Sesbazar sewaktu orang-orang buangan itu dibawa pulang dari negeri Babel ke Yerusalem.
12,Ezra 2,0,Pratelane bab wong-wong kang mulih saka ing pambuwangan,Daftar orang-orang yang kembali dari pembuangan
13,Ezra 2,1,"Iki pratelane bab wong ing propinsi Yehuda kang padha budhal mulih saka ing pambuwangan, yaiku para tawanan kang biyen padha diboyongi menyang ing tanah Babil dening Sang Prabu Nebukadnezar, ratu ing Babil, kang padha bali mulih menyang ing Yerusalem lan tanah Yehuda menyang ing kuthane dhewe-dhewe.","Inilah orang-orang propinsi Yehuda yang berangkat pulang dari pembuangan, yakni para tawanan, yang dahulu diangkut ke Babel oleh Nebukadnezar, raja Babel, dan yang kembali ke Yerusalem dan ke Yehuda, masing-masing ke kotanya."
14,Ezra 2,2,"Tekane padha kairid dening Sang Zerubabel, Yesua, Nehemya, Seraya, Reelaya, Mordekhai, Bilsan, Mispar, Bigwai, Rehum lan Baana. Iki dhaftare wong-wong bangsa Israel:","Mereka datang bersama-sama Zerubabel, Yesua, Nehemia, Seraya, Reelaya, Mordekhai, Bilsan, Mispar, Bigwai, Rehum dan Baana. Inilah daftar orang-orang bangsa Israel:"
15,Ezra 2,3,bani Paros: rong ewu satus pitung puluh loro;,bani Paros: dua ribu seratus tujuh puluh dua orang;
16,Ezra 2,4,bani Sefaca: telung atus pitung puluh loro;,bani Sefaca: tiga ratus tujuh puluh dua orang;
17,Ezra 2,5,bani Arakh: pitung atus pitung puluh lima;,bani Arah: tujuh ratus tujuh puluh lima orang;
18,Ezra 2,6,"bani Pahat-Moab, iya iku anak-anake Yesua lan Yoab: rong ewu wolung atus rolas;","bani Pahat-Moab, yakni anak-anak Yesua dan Yoab: dua ribu delapan ratus dua belas orang;"
19,Ezra 2,7,bani Elam: sewu rong atus seket papat;,bani Elam: seribu dua ratus lima puluh empat orang;
20,Ezra 2,8,bani Zatu: sangang atus patang puluh lima;,bani Zatu: sembilan ratus empat puluh lima orang;
21,Ezra 2,9,bani Zakai: pitung atus sewidak;,bani Zakai: tujuh ratus enam puluh orang;
22,Ezra 2,10,bani Bani: nem atus patang puluh loro;,bani Bani: enam ratus empat puluh dua orang;
23,Ezra 2,11,bani Bebai: nem atus telulikur;,bani Bebai: enam ratus dua puluh tiga orang;
24,Ezra 2,12,bani Azgad: sewu rong atus rolikur;,bani Azgad: seribu dua ratus dua puluh dua orang;
25,Ezra 2,13,bani Adhonikam: nem atus sewidak nenem;,bani Adonikam: enam ratus enam puluh enam orang;
26,Ezra 2,14,bani Bigwai: rong ewu seket nenem;,bani Bigwai: dua ribu lima puluh enam orang;
27,Ezra 2,15,bani Adin: patang atus seket papat;,bani Adin: empat ratus lima puluh empat orang;
28,Ezra 2,16,"bani Ater, yaiku bani Hizkia: sangang puluh wolu;","bani Ater, yakni bani Hizkia: sembilan puluh delapan orang;"
29,Ezra 2,17,bani Bezai: telung atus telulikur;,bani Bezai: tiga ratus dua puluh tiga orang;
30,Ezra 2,18,bani Yora: satus rolas;,bani Yora: seratus dua belas orang;
31,Ezra 2,19,bani Hasum: rong atus telulikur;,bani Hasum: dua ratus dua puluh tiga orang;
32,Ezra 2,20,bani Gibar: sangang puluh lima;,bani Gibar: sembilan puluh lima orang;
33,Ezra 2,21,saka Betlehem: satus telulikur;,dari Betlehem: seratus dua puluh tiga orang;
34,Ezra 2,22,para wong Netofa: seket nenem;,orang-orang Netofa: lima puluh enam orang;
35,Ezra 2,23,saka Anatot: satus wolulikur;,orang-orang Anatot: seratus dua puluh delapan orang;
36,Ezra 2,24,saka Asmawet: patang puluh loro;,dari Asmawet: empat puluh dua orang;
37,Ezra 2,25,"saka ing Kiryat-Arim, Kefira lan Beerot: pitung atus patang puluh telu;","dari Kiryat-Arim, Kefira dan Beerot: tujuh ratus empat puluh tiga orang;"
38,Ezra 2,26,saka ing Rama lan Gaba: nem atus selikur;,dari Rama dan Gaba: enam ratus dua puluh satu orang;
39,Ezra 2,27,saka ing Mikhmas: satus rolikur;,orang-orang Mikhmas: seratus dua puluh dua orang;
40,Ezra 2,28,saka ing Betel lan Ai: rong atus telulikur;,orang-orang Betel dan Ai: dua ratus dua puluh tiga orang;
41,Ezra 2,29,saka ing Nebo: seket loro;,dari Nebo: lima puluh dua orang;
42,Ezra 2,30,bani Magbis: satus seket nenem;,bani Magbis: seratus lima puluh enam orang;
43,Ezra 2,31,"bani Elam, yaiku Elam liyane: sewu rong atus seket papat;","bani Elam, yakni Elam yang lain: seribu dua ratus lima puluh empat orang;"
44,Ezra 2,32,bani harim: telung atus rong puluh;,bani Harim: tiga ratus dua puluh orang;
45,Ezra 2,33,"para wong saka ing Lod, ing Hadid lan ing Ono: pitung atus selawe;","orang-orang dari Lod, Hadid dan Ono: tujuh ratus dua puluh lima orang;"
46,Ezra 2,34,saka Yerikho: telung atus patang puluh lima;,dari Yerikho: tiga ratus empat puluh lima orang;
47,Ezra 2,35,bani Senaa: telung ewu nem atus telung puluh.,bani Senaa: tiga ribu enam ratus tiga puluh orang.
48,Ezra 2,36,"Iki pratelane para imam: bani Yedaya, iya iku kulawangsane Yesua: sangang atus pitung puluh telu;","Inilah para imam: bani Yedaya, yakni kaum keluarga Yesua: sembilan ratus tujuh puluh tiga orang;"
49,Ezra 2,37,bani Imer: sewu seket loro;,bani Imer: seribu lima puluh dua orang;
50,Ezra 2,38,bani Pasyhur: sewu rong atus patang puluh pitu;,bani Pasyhur: seribu dua ratus empat puluh tujuh orang;
51,Ezra 2,39,bani Harim: sewu pitulas.,bani Harim: seribu tujuh belas orang.
52,Ezra 2,40,"Iki para wong Lewi: bani Yesua lan Kadmiel, yaiku tedhake Hodawya: pitung puluh papat.","Inilah orang-orang Lewi: bani Yesua dan Kadmiel, yakni bani Hodawya: tujuh puluh empat orang."
53,Ezra 2,41,Iki para pasindhen: bani Asaf: satus wolulikur.,Inilah para penyanyi: bani Asaf: seratus dua puluh delapan orang.
54,Ezra 2,42,"Iki turune para jaga-gapura: bani Salum, bani Ater, bani Talmon, bani Akub, bani Hatita, bani Sobai, iku kabeh gunggunge satus telung puluh sanga.","Inilah kaum penunggu pintu gerbang: bani Salum, bani Ater, bani Talmon, bani Akub, bani Hatita, bani Sobai, semuanya seratus tiga puluh sembilan orang."
55,Ezra 2,43,"Iki para abdi ing padalemane Gusti Allah: bani Ziha, bani Hasufa, bani Tabaot;","Inilah para budak di bait Allah: bani Ziha, bani Hasufa, bani Tabaot;"
56,Ezra 2,44,"bani Keros, bani Siaha, bani Padon;","bani Keros, bani Siaha, bani Padon;"
57,Ezra 2,45,"bani Lebana, bani Hagaba, bani Akub,","bani Lebana, bani Hagaba, bani Akub;"
58,Ezra 2,46,"bani Hagab, bani Samlai, bani Hanan;","bani Hagab, bani Samlai, bani Hanan;"
59,Ezra 2,47,"bani Gidel, bani Gahar, bani Reaya;","bani Gidel, bani Gahar, bani Reaya;"
60,Ezra 2,48,"bani Rezin, bani Nekoda, bani Gazam;","bani Rezin, bani Nekoda, bani Gazam;"
61,Ezra 2,49,"bani Uza, bani Paseah, bani Besai;","bani Uza, bani Paseah, bani Besai;"
62,Ezra 2,50,"bani Asna, bani Meunim, bani Nefusim;","bani Asna, bani Meunim, bani Nefusim;"
63,Ezra 2,51,"bani Bakbuk, bani Hakufa, bani Harhur;","bani Bakbuk, bani Hakufa, bani Harhur;"
64,Ezra 2,52,"bani Bazlut, bani Mehida, bani Harsa;","bani Bazlut, bani Mehida, bani Harsa;"
65,Ezra 2,53,"bani Barkos, bani Sisera, bani Temah;","bani Barkos, bani Sisera, bani Temah;"
66,Ezra 2,54,"bani Neziah, bani Hatifa.","bani Neziah, bani Hatifa."
67,Ezra 2,55,"Iki turune para abdine Prabu Suleman: bani Sotai, bani Soferet, bani Peruda;","Inilah keturunan para hamba Salomo: bani Sotai, bani Soferet, bani Peruda;"
68,Ezra 2,56,"bani Yaala, bani Darkon, bani Gidel;","bani Yaala, bani Darkon, bani Gidel;"
69,Ezra 2,57,"bani Sefaca, bani Hatil, bani Pokheret-Hazebaim, bani Ami.","bani Sefaca, bani Hatil, bani Pokheret-Hazebaim, bani Ami."
70,Ezra 2,58,Sakehe para abdi ing padalemaning Allah lan turune para abdine Prabu Suleman iku gunggunge ana telung atus sangang puluh loro.,Seluruh budak di bait Allah dan keturunan para hamba Salomo ada tiga ratus sembilan puluh dua orang.
71,Ezra 2,59,"Iki wong-wong kang bali saka Tel-Melah, Tel-Harsa, Kerub, Adan lan Imer, nanging padha ora bisa nelakake kulawangsane lan sara-silahe, apa iya kagolong bangsa Israel apa dudu:","Inilah orang-orang yang berangkat pulang dari Tel-Melah, Tel-Harsa, Kerub, Adan dan Imer, tetapi mereka tidak dapat menyatakan apakah kaum keluarga dan asal usul mereka termasuk bangsa Israel:"
72,Ezra 2,60,"bani Delaya, bani Tobiya, bani Nekoda, gunggung nem atus seket loro;","bani Delaya, bani Tobia, bani Nekoda, enam ratus lima puluh dua orang;"
73,Ezra 2,61,"lan saka antarane para imam: bani Habaya, bani Hakos, bani Barzilai. Barzilai iku ngalap somah saka Barzilai, wong Gilead, lan wiwit nalika samana disebut manut jenenge kulawarga iku.","dan dari antara kaum imam: bani Habaya, bani Hakos, bani Barzilai. Barzilai itu memperisteri seorang anak perempuan Barzilai, orang Gilead itu, dan sejak itu ia dinamai menurut nama keluarga itu."
74,Ezra 2,62,"Iku padha nitipriksa apa jenenge padha kasebut ing sara-silah, nanging ora tinemu, temah padha dianggep ora suci, lan ora diparengake nglenggahi kaimaman.","Mereka itu menyelidiki apakah nama mereka tercatat dalam silsilah, tetapi karena itu tidak didapati, maka mereka dinyatakan tidak tahir untuk jabatan imam."
