,bab,ayat,jawa,indo
0,Habakuk 1,0,Bebuka,Judul
1,Habakuk 1,1,Wangsit kang katingalan dening Nabi Habakuk.,Ucapan ilahi dalam penglihatan nabi Habakuk.
2,Habakuk 1,0,Pasambate Nabi Habakuk marga saka anggone wong-wong ora padha setya,Keluhan nabi karena ketidaksetiaan
3,Habakuk 1,2,"Dhuh Yehuwah, taksih pinten dangunipun malih anggen kawula sambat-sambat, nanging Paduka boten midhangetaken; kawula nguwuh-uwuh dhumateng Paduka: “Wonten panganiaya!”, nanging Paduka boten mitulungi?","Berapa lama lagi, TUHAN, aku berteriak, tetapi tidak Kaudengar, aku berseru kepada-Mu: ""Penindasan!"" tetapi tidak Kautolong?"
4,Habakuk 1,3,"Punapaa dene Paduka nedahaken piawon dhateng kawula, satemah kawula ningali tindak ambeksiya? Panganiaya saha pangroda-peksa wonten ing ngajenging mripat kawula; paben saha pasulayan ingkang tumuwuh.","Mengapa Engkau memperlihatkan kepadaku kejahatan, sehingga aku memandang kelaliman? Ya, aniaya dan kekerasan ada di depan mataku; perbantahan dan pertikaian terjadi."
5,Habakuk 1,4,"Pramila angger-angger lajeng ical kakiyatanipun, saha kaadilan boten nate jumedhul, margi tiyang mursid kinepang dening tiyang duraka, njalari medalipun kaadilan kwalik.","Itulah sebabnya hukum kehilangan kekuatannya dan tidak pernah muncul keadilan, sebab orang fasik mengepung orang benar; itulah sebabnya keadilan muncul terbalik."
6,Habakuk 1,0,Paukuman kang katibakake dening wong Kasdim,Penghukuman yang dijalankan oleh orang Kasdim
7,Habakuk 1,5,"Padha mawasa lan nggatekna ana ing antarane para bangsa, gumuna lan padha njengera, dene Ingsun nindakake sawijining pakaryan ing jamanira kang manawa kawartakake marang sira, sira mesthi ora ngandel.","Lihatlah di antara bangsa-bangsa dan perhatikanlah, jadilah heran dan tercengang-cengang, sebab Aku melakukan suatu pekerjaan dalam zamanmu yang tidak akan kamu percayai, jika diceriterakan."
8,Habakuk 1,6,"Dene lah Ingsun kang nenangi wong Kasdim, bangsa kang ambek-siya lan cukat tandange, kang ndlajahi garis-garising lintang bumi, arep ngejegi papan padunungan kang dudu duweke.","Sebab, sesungguhnya, Akulah yang membangkitkan orang Kasdim, bangsa yang garang dan tangkas itu, yang melintasi lintang bujur bumi untuk menduduki tempat kediaman, yang bukan kepunyaan mereka."
9,Habakuk 1,7,"Bangsa iku medeni lan nggegirisi, pangadilan lan kaluhurane iku asale saka awake dhewe.",Bangsa itu dahsyat dan menakutkan; keadilannya dan keluhurannya berasal dari padanya sendiri.
10,Habakuk 1,8,"Jarane cukate ngungkuli macan tutul, lan girase ngungkuli asu ajag ing wayah bengi; wadya-balane jaranan teka sesanderan saka ing panggonan adoh, nganti kaya mabur memper manuk garudha kang nyamber memangsan.","Kudanya lebih cepat dari pada macan tutul, dan lebih ganas dari pada serigala pada waktu malam; pasukan berkudanya datang menderap, dari jauh mereka datang, terbang seperti rajawali yang menyambar mangsa."
11,Habakuk 1,9,"Bangsa iku kabeh padha nglurug arep nandukake panganiaya, panempuhing cucuking barisane kaya angin saka ing wetan, sarta padha nglumpukake tawanan kang kehe kaya wedhi.","Seluruh bangsa itu datang untuk melakukan kekerasan, serbuan pasukan depannya seperti angin timur, dan mereka mengumpulkan tawanan seperti banyaknya pasir."
12,Habakuk 1,10,"Para raja padha dipoyoki lan para panggedhe padha digeguyu; saben beteng digeguyu, diurugi lemah lan banjur karayud.","Raja-raja dicemoohkannya dan penguasa-penguasa menjadi tertawaannya. Ditertawakannya tiap tempat berkubu, ditimbunkannya tanah dan direbutnya tempat itu."
13,Habakuk 1,11,"Banjur padha mlayu-mlayu rikate kaya sumiyuding angin, terus bablas; kaya mangkono anggone padha nindakake panggawe kang luput kalawan ndewa-dewa marang kakuwatane.","Maka berlarilah mereka, seperti angin dan bergerak terus; demikianlah mereka bersalah dengan mendewakan kekuatannya."
14,Habakuk 1,0,Kaadilaning Yehuwah iku ana ing ngendi?,Di manakah keadilan TUHAN?
15,Habakuk 1,12,"Dhuh Yehuwah, Paduka punika sampun wiwit rumiyin mila rak Gusti Allah kawula, Ingkang Mahasuci? Kawula boten badhe sami pejah. Dhuh Yehuwah, bangsa punika Paduka patah supados ndhawahaken paukuman. Dhuh, Sang Redi Parang, bangsa punika sampun Paduka tamtokaken supados niksa.","Bukankah Engkau, ya TUHAN, dari dahulu Allahku, Yang Mahakudus? Tidak akan mati kami. Ya TUHAN, telah Kautetapkan dia untuk menghukumkan; ya Gunung Batu, telah Kautentukan dia untuk menyiksa."
16,Habakuk 1,13,"Paduka, ingkang paningal Paduka margi saking sangeting sucinipun lajeng boten karsa mirsani piawon saha ingkang boten mentala mirsani panganiaya, kenging punapa dene Paduka ngudaneni dhateng tiyang ingkang sami lampah cidra, saha lajeng kendel kemawon, samangsa tiyang duraka nguntal dhateng sesaminipun ingkang ngungkuli kautamenipun?","Mata-Mu terlalu suci untuk melihat kejahatan dan Engkau tidak dapat memandang kelaliman. Mengapa Engkau memandangi orang-orang yang berbuat khianat itu dan Engkau berdiam diri, apabila orang fasik menelan orang yang lebih benar dari dia?"
17,Habakuk 1,14,"Punapa dene Paduka karya manungsa punika kok kados ulam ing saganten, utawi kados kewan gumremet ingkang tanpa paprentahan?","Engkau menjadikan manusia itu seperti ikan di laut, seperti binatang-binatang melata yang tidak ada pemerintahnya?"
