,bab,ayat,jawa,indo
0,Hagai 1,0,Pangajak mbangun Padaleman Sucia,Ajakan untuk membangun kembali Bait Suci
1,Hagai 1,1,"Ing taun kang kapindhone jamane Sang Prabu Dharius, ing sasi kang kaping nem tanggal sapisan, ana pangandikane Pangeran Yehuwah lumantar Nabi Hagai, kadhawuhake marang Sang Zerubabel bin Sealtiel, bupati ing Yehuda, lan marang Imam Agung Yusak bin Yozadak, surasane:","Pada tahun yang kedua zaman raja Darius, dalam bulan yang keenam, pada hari pertama bulan itu, datanglah firman TUHAN dengan perantaraan nabi Hagai kepada Zerubabel bin Sealtiel, bupati Yehuda, dan kepada Yosua bin Yozadak, imam besar, bunyinya:"
2,Hagai 1,2,“Pangandikane Sang Yehuwah Gustine sarwa dumadi mangkene: Bangsa iku padha ngucap: Saiki durung mangsane mbangun padalemane Pangeran Yehuwah!”,"""Beginilah firman TUHAN semesta alam: Bangsa ini berkata: Sekarang belum tiba waktunya untuk membangun kembali rumah TUHAN!"""
3,Hagai 1,3,Nuli ana pangandikane Pangeran Yehuwah lumantar Nabi Hagai Mangkene:,"Maka datanglah firman TUHAN dengan perantaraan nabi Hagai, bunyinya:"
4,Hagai 1,4,"“Apa iya wus tekan titi-mangsane sira padha manggon ana ing omahira dhewe kang linapis gebyog apik, mangka Padaleman iki tetep dadi jugrugan?","""Apakah sudah tiba waktunya bagi kamu untuk mendiami rumah-rumahmu yang dipapani dengan baik, sedang Rumah ini tetap menjadi reruntuhan?"
5,Hagai 1,5,"Mulane, -- mangkene pangandikane Sang Yehuwah Gustine sarwa dumadi --: Rasakna kaananira!","Oleh sebab itu, beginilah firman TUHAN semesta alam: Perhatikanlah keadaanmu!"
6,Hagai 1,6,"Sira iku nyebar akeh, nanging sathithik oleh-olehane kang sira gawa mulih; sira mangan, nanging ora nganti wareg; anggonira ngombe ora nganti marem; anggonira nyandhang, ora nganti anget awakira; apadene wong kang buruh, sawuse nyambutgawe anggone nyimpen buruhane ana ing kanthong kang bolong!","Kamu menabur banyak, tetapi membawa pulang hasil sedikit; kamu makan, tetapi tidak sampai kenyang; kamu minum, tetapi tidak sampai puas; kamu berpakaian, tetapi badanmu tidak sampai panas; dan orang yang bekerja untuk upah, ia bekerja untuk upah yang ditaruh dalam pundi-pundi yang berlobang!"
7,Hagai 1,7,Pangandikane Pangeran Yehuwah Gustine sarwa dumadi mangkene: Rasakna kaananira!,Beginilah firman TUHAN semesta alam: Perhatikanlah keadaanmu!
8,Hagai 1,8,"Padha munggaha ing gunung, njupuka kayu, Padaleman iki kabanguna, temah bakal ndadekake keparenging panggalihingSun, sarta Ingsun bakal ngatingalake kaluhuraningSun ana ing kono, -- mangkono pangandikane Sang Yehuwah --.","Jadi naiklah ke gunung, bawalah kayu dan bangunlah Rumah itu; maka Aku akan berkenan kepadanya dan akan menyatakan kemuliaan-Ku di situ, firman TUHAN."
9,Hagai 1,9,"Sira padha ngarep-arep akeh, nanging oleh-olehane mung sathithik, lan bareng sira lebokake ing omahira, banjur Sunsebul, sabab apa? -- Mangkono pangandikane Sang Yehuwah Gustine sarwa dumadi --. Jalaran PadalemaningSun isih tetep dadi jugrugan, mangka sira padha ribut ngopeni omahira dhewe.","Kamu mengharapkan banyak, tetapi hasilnya sedikit, dan ketika kamu membawanya ke rumah, Aku menghembuskannya. Oleh karena apa? demikianlah firman TUHAN semesta alam. Oleh karena rumah-Ku yang tetap menjadi reruntuhan, sedang kamu masing-masing sibuk dengan urusan rumahnya sendiri."
