,bab,ayat,jawa,indo
0,Hakim-hakim 1,0,Kaanane wong Israel sasedane Senapati Yusak,Keadaan orang Israel setelah Yosua mati
1,Hakim-hakim 1,1,Sasedane Rama Yusak wong Israel tumuli padha neges marang Sang Yehuwah: “Panunggilan kawula sinten ingkang kedah ngrumiyini nglurug perang nglawan bangsa Kanaan?”,"Sesudah Yosua mati, orang Israel bertanya kepada TUHAN: ""Siapakah dari pada kami yang harus lebih dahulu maju menghadapi orang Kanaan untuk berperang melawan mereka?"""
2,Hakim-hakim 1,2,"Pangandikane Sang Yehuwah: “Taler Yehuda kang kudu nglurug, satemene nagara iku wus Sunulungake ing tangane.”","Firman TUHAN: ""Suku Yehudalah yang harus maju; sesungguhnya telah Kuserahkan negeri itu ke dalam tangannya."""
3,Hakim-hakim 1,3,"Yehuda banjur ngajak Simeon sadulure: “Payo padha bebarengan nglurug menyang ing pandumaning undhianku, padha nglawan perang marang wong Kanaan, dene aku besuk bakal uga genti mbiyantu kowe nglurug menyang ing pandumaning undhianmu.” Simeon banjur maju perang bebarengan karo Yehuda.","Lalu berkatalah Yehuda kepada Simeon, saudaranya itu: ""Majulah bersama-sama dengan aku ke bagian yang telah diundikan kepadaku dan baiklah kita berperang melawan orang Kanaan, maka akupun akan maju bersama-sama dengan engkau ke bagian yang telah diundikan kepadamu."" Lalu Simeon maju bersama-sama dengan dia."
4,Hakim-hakim 1,4,"Taler Yehuda banjur mangkat, Sang Yehuwah nuli ngulungake wong Kanaan lan wong Feris ing tangane, temah padha kagecak ana ing Bezek, sepuluh ewu kehe.","Maka majulah suku Yehuda, lalu TUHAN menyerahkan orang Kanaan dan orang Feris ke dalam tangan mereka, dan mereka memukul kalah orang-orang itu dekat Bezek, sepuluh ribu orang banyaknya."
5,Hakim-hakim 1,5,"Sang Prabu Adhoni-Bezek kepranggul ana ing Bezek, tumuli ditempuh perang, tuwin wong-wong Kanaan lan wong Feris padha disorake.","Di Bezek mereka menjumpai Adoni-Bezek dan berperang melawan dia, dan mereka memukul kalah orang Kanaan dan orang Feris."
6,Hakim-hakim 1,6,"Nanging Sang Prabu Adhoni-Bezek keplajeng, banjur dioyak temah kecekel, sarta jempolaning asta lan sampeyane padha diprotholi.","Tetapi Adoni-Bezek melarikan diri, lalu mereka mengejarnya, menangkapnya dan memotong ibu jari dari tangannya dan dari kakinya."
7,Hakim-hakim 1,7,"Pangandikane Sang Prabu Adhoni-Bezek: “Suwaunipun wonten ratu pitung dasa sami ndlosor wonten ing sangandhaping meja kula, ngukupi sisaning tedha, sadaya sami kaprotholan jempolaning tangan lan sukunipun; kadosdene ingkang sampun kula tindakaken, inggih makaten pamalesipun Gusti Allah dhateng kula.” Prabu Adhoni-Bezek mau tumuli digawa menyang ing Yerusalem lan seda ana ing kono.","Kata Adoni-Bezek: ""Ada tujuh puluh raja dengan terpotong ibu jari tangan dan kakinya memungut sisa-sisa makanan di bawah mejaku; sesuai dengan yang kulakukan itu, demikianlah dibalaskan Allah kepadaku."" Kemudian ia dibawa ke Yerusalem dan mati di sana."
8,Hakim-hakim 1,8,"Sawuse iku bani Yehuda banjur perang nglawan Yerusalem, nganti bedhah, kutha iku banjur ditumpes klawan landheping pedhang lan dilebur klawan geni.","Sesudah itu bani Yehuda berperang melawan Yerusalem, merebutnya lalu memukulnya dengan mata pedang dan memusnahkan kota itu dengan api."
9,Hakim-hakim 1,9,"Sawuse mangkono bani Yehuda banjur nglurug perang nglawan wong Kanaan, kang manggon ana ing pegunungan, ing Tanah Negeb lan ing Dhaerah Pagunungan.","Kemudian bani Yehuda maju berperang melawan orang Kanaan, yang diam di pegunungan, di Tanah Negeb dan di Daerah Bukit."
10,Hakim-hakim 1,10,"Yehuda tumuli nglurugi wong Kanaan kang manggon ana ing Hebron -- jenenge Hebron biyen Kiryat-Arba -- sarta ngesorake Sesai, Ahiman lan Talmai.","Lalu suku Yehuda bergerak menyerang orang Kanaan yang diam di Hebron--nama Hebron dahulu adalah Kiryat-Arba--dan memukul kalah Sesai, Ahiman dan Talmai."
11,Hakim-hakim 1,11,"Saka ing kono banjur nempuh pendhudhuk ing kutha Dhebir, Dhebir iku maune aran Kiryat-Sefer.",Dari sana mereka bergerak menyerang penduduk Debir. Nama Debir dahulu adalah Kiryat-Sefer.
12,Hakim-hakim 1,12,"Ana pangandikane Rama Kaleb mangkene: “Sing sapa bisa ngalahake Kiryat-Sefer, nganti bisa bedhah, bakal daktrimani anakku wadon Akhsa dadi bojone.”","Berkatalah Kaleb: ""Siapa yang mengalahkan dan merebut Kiryat-Sefer, kepadanya akan kuberikan Akhsa, anakku, menjadi isterinya."""
13,Hakim-hakim 1,13,"Lan kutha mau tumuli dibedhah dening Sang Otniel, putrane Sang Kenas, rayine Rama Kaleb, banjur iya ditrimani Ibu Akhsa, putrine mau, dadi garwane.","Dan Otniel, anak Kenas adik Kaleb, merebut kota itu; lalu Kaleb memberikan Akhsa, anaknya, kepadanya menjadi isterinya."
14,Hakim-hakim 1,14,Nalika Ibu Akhsa mau kapanggihake tumuli ngojok-ojoki kang kakung supaya nyuwun pategalan marang kang rama. Ibu Akhsa banjur mandhap saka ing kuldine. Pandangune Rama Kaleb: “Ana apa?”,"Ketika perempuan itu tiba, dibujuknya suaminya untuk meminta sebidang ladang kepada ayahnya. Maka turunlah perempuan itu dari keledainya, lalu berkatalah Kaleb kepadanya: ""Ada apa?"""
15,Hakim-hakim 1,15,"Atur wangsulane ibu Akhsa: “Kula mugi panjenengan paringi ganjaran, sarehning kula panjenengan paringi siti cengkar, mugi ugi kaparingana sumber.” Tumuli diparingi sumber dening Rama Kaleb kang ana ing tenggeran lan kang ana ing ledhokan.","Jawabnya kepadanya: ""Berikanlah kepadaku suatu hadiah; telah kauberikan kepadaku tanah yang gersang, berikanlah juga kepadaku mata air."" Lalu Kaleb memberikan kepadanya mata air yang di hulu dan mata air yang di hilir."
16,Hakim-hakim 1,16,"Turune Hobab, ipene Nabi Musa, wong Keni, uga padha melu nglurug saka ing kutha Wit Kurma mbiyantu perange bani Yehuda menyang ing ara-ara samun ing tanah Yehuda ing Tanah Negeb sacedhake Arad; banjur padha manggon ana ing antarane wong kono.","Keturunan Hobab, ipar Musa, orang Keni itu, maju bersama-sama dengan bani Yehuda dari kota pohon korma ke padang gurun Yehuda di Tanah Negeb dekat Arad; lalu mereka menetap di antara penduduk di sana."
17,Hakim-hakim 1,17,"Yehuda banjur mbiyantu pangluruge Simeon, sadulure, sarta padha ngesorake wong Kanaan, pendhudhuk ing Zefat, kutha iku katumpes. Mulane kutha mau banjur dielih arane: Horma.","Yehuda maju bersama-sama dengan Simeon, saudaranya itu, lalu mereka memukul kalah orang Kanaan, penduduk Zefat; mereka menumpas kota itu. Sebab itu kota itu dinamai Horma."
18,Hakim-hakim 1,18,"Sabanjure taler Yehuda ngrebut kutha Gaza sawewengkone lan Askelon sawewengkone, apadene Ekron sawewengkone.","Selanjutnya suku Yehuda merebut Gaza dengan daerahnya, Askelon dengan daerahnya dan Ekron dengan daerahnya."
19,Hakim-hakim 1,19,"Lan Pangeran Yehuwah nunggil karo taler Yehuda, temah banjur ngejegi pagunungan iku; nanging ora bisa nundhungi wong ing Lebak, amarga iku padha duwe kreta-perang wesi.","Dan TUHAN menyertai suku Yehuda, sehingga mereka menduduki pegunungan itu; tetapi mereka tidak dapat menghalau penduduk yang di lembah, sebab orang-orang ini mempunyai kereta-kereta besi."
20,Hakim-hakim 1,20,Hebron iku wus kaparingke marang Rama Kaleb kayadene kang biyen wus kadhawuhake Nabi Musa. Rama kaleb banjur nundhungi turune Enak tetelu saka ing kono.,"Kepada Kaleb telah diberikan Hebron, seperti yang dikatakan Musa dahulu, dan dari sana telah dihalaukannya anak Enak yang tiga itu."
21,Hakim-hakim 1,21,"Nanging wong Yebus, kang manggon ana ing Yerusalem ora ditundhung dening bani Benyamin, dadine wong Yebus iku isih padha manggon awor karo bani Benyamin ana ing Yerusalem nganti saprene.","Tetapi orang Yebus, penduduk kota Yerusalem, tidak dihalau oleh bani Benyamin, jadi orang Yebus itu masih diam bersama-sama dengan bani Benyamin di Yerusalem sampai sekarang."
22,Hakim-hakim 1,22,Turune Sang Adipati Yusup iya padha mangsah nempuh Betel lan Sang Yehuwah nunggil karo wong-wong iku.,"Keturunan Yusuf juga maju menyerang Betel, dan TUHAN menyertai mereka."
23,Hakim-hakim 1,23,Turune Sang Adipati Yusup padha nglakokake telik menyang ing Betel -- kutha iku maune aran Lus --.,Keturunan Yusuf menyuruh orang mengintai Betel itu--nama kota itu dahulu adalah Lus.
24,Hakim-hakim 1,24,"Bareng telik mau padha ndeleng wong siji kang metu saka ing kutha, banjur celathu: “Aku tulungana, tuduhna dalane lumebu menyang kutha, nuli kowe bakal dakanggep kaya mitra!”","Ketika pengintai-pengintai itu melihat seorang keluar dari kota itu, maka berkatalah mereka kepadanya: ""Tolong tunjukkan bagaimana kami dapat memasuki kota ini, maka kami akan memperlakukan engkau sebagai sahabat."""
25,Hakim-hakim 1,25,"Sawuse dituduhake dalane lumebu menyang kutha, saisining kutha tumuli ditumpes klawan landheping pedhang, nanging wong siji mau dililani lunga sakulawargane.","Lalu ditunjukkannyalah kepada mereka bagaimana mereka dapat memasuki kota itu, dan mereka memukul kota itu dengan mata pedang, tetapi orang itu dengan seluruh kaumnya dibiarkan mereka pergi."
26,Hakim-hakim 1,26,"Wong iku banjur menyang ing tanahe bangsa Het, ana ing kono yasa kutha, kang diarani Lus. Mangkono arane kutha iku tetep nganti saprene.",Orang itu pergi ke negeri orang Het dan mendirikan di sana sebuah kota yang dinamainya Lus. Demikianlah nama kota itu sampai sekarang.
27,Hakim-hakim 1,27,"Taler Manasye ora nundhungi wong ing Bet-Sean sawewengkone, wong ing Taanakh sawewengkone, wong ing Dhor sawewengkone, wong ing Yibleam sawewengkone tuwin wong ing Megidho sawewengkone, amarga wong Kanaan meksa padha nekad manggon ana ing tanah kono.","Suku Manasye tidak menghalau penduduk Bet-Sean dan penduduk segala anak kotanya, penduduk Taanakh dengan segala anak kotanya, penduduk Dor dengan segala anak kotanya, penduduk Yibleam dengan segala anak kotanya, dan penduduk Megido dengan segala anak kotanya, sebab orang Kanaan itu berkeras untuk tetap diam di negeri itu."
28,Hakim-hakim 1,28,"Bareng wong Israel wiwit kuwasa, wong Kanaan mau padha didadekake wong nyangga karya, nanging ora padha ditundhungi babar pisan.","Setelah orang Israel menjadi kuat, mereka membuat orang Kanaan itu menjadi orang rodi dan tidak menghalau mereka sama sekali."
29,Hakim-hakim 1,29,"Taler Efraim uga ora nundhungi wong Kanaan kang manggon ana ing Gezer, dadine wong Kanaan mau padha lestari manggon ana ing satengahe ana ing Gezer.","Suku Efraimpun tidak menghalau orang Kanaan yang diam di Gezer, sehingga orang Kanaan itu tetap diam di tengah-tengah mereka di Gezer."
30,Hakim-hakim 1,30,"Taler Zebulon ora nundhungi wong ing Kitron lan ing Nahalol, dadine wong Kanaan mau padha lestari manggon ana ing satengahe, sanajan padha didadekake wong nyangga karya.","Suku Zebulon tidak menghalau penduduk Kitron dan penduduk Nahalol, sehingga orang Kanaan itu tetap diam di tengah-tengah mereka, walaupun sebagai orang rodi."
31,Hakim-hakim 1,31,"Taler Asyer ora nundhungi wong ing Ako, mangkono uga wong ing Sidon, ing Ahlab, ing Akhzib, Khelba, Afik, lan ing Rehob.","Suku Asyer tidak menghalau penduduk Ako, penduduk Sidon serta Ahlab, Akhzib, Helba, Afek dan Rehob,"
32,Hakim-hakim 1,32,"Dadine wong Asyer iku padha manggon ing satengahe wong Kanaan, pendhudhuk asli ing nagara kono, amarga padha ora ditundhungi.","sehingga orang Asyer itu diam di tengah-tengah orang Kanaan, penduduk asli di negeri itu, sebab orang-orang itu tidak dihalaunya."
