,bab,ayat,jawa,indo
0,Hosea 1,0,Bebuka,Judul
1,Hosea 1,1,"Iki pangandikane Pangeran Yehuwah kang kadhawuhake marang Nabi Hosea bin Beeri, nalika jamane Sang Prabu Uzia, Yotam, Akhas lan Hizkia, para ratu ing Yehuda, sarta nalika jamane Sang Prabu Yerobeam bin Yoas, ratu ing Israel.","Firman TUHAN yang datang kepada Hosea bin Beeri pada zaman Uzia, Yotam, Ahas dan Hizkia, raja-raja Yehuda, dan pada zaman Yerobeam bin Yoas, raja Israel."
2,Hosea 1,0,Brayate Nabi Hosea minangka gegambaran tumrap Israel kang ora setya,Keluarga Hosea sebagai gambaran Israel yang tidak setia
3,Hosea 1,2,"Iki wiwitaning pangandikane Pangeran Yehuwah lumantar Nabi Hosea; dhawuhe Sang Yehuwah marang Nabi Hosea: “Sira lungaa, rabia karo sawijining wong wadon tuna-susila, sarta darbea anak-anak turune wong wadon tuna-susila, awitdene tanah iki banget anggone laku bedhang sarta nyingkur marang Pangeran Yehuwah.”","Ketika TUHAN mulai berbicara dengan perantaraan Hosea, berfirmanlah Ia kepada Hosea: ""Pergilah, kawinilah seorang perempuan sundal dan peranakkanlah anak-anak sundal, karena negeri ini bersundal hebat dengan membelakangi TUHAN."""
4,Hosea 1,3,Nabi Hosea banjur tindak ngalap garwa Gomer anake Diblaim; wong wadon mau tumuli ngandheg lan banjur duwe anak lanang karo Nabi Hosea.,"Maka pergilah ia dan mengawini Gomer binti Diblaim, lalu mengandunglah perempuan itu dan melahirkan baginya seorang anak laki-laki."
5,Hosea 1,4,"Sawuse mangkono Pangeran Yehuwah ngandika marang Nabi Hosea: “Bayine jenengna Yizreel, awit sadhela engkas Ingsun bakal ngukum kulawargane Yehu, marga utang getih ing Yizreel lan Ingsun bakal mungkasi karajan Israel.","Kemudian berfirmanlah TUHAN kepada Hosea: ""Berilah nama Yizreel kepada anak itu, sebab sedikit waktu lagi maka Aku akan menghukum keluarga Yehu karena hutang darah Yizreel dan Aku akan mengakhiri pemerintahan kaum Israel."
6,Hosea 1,5,Ing wektu iku gandhewane Israel bakal Ingsun putung ana ing lebak Yizreel.”,"Maka pada waktu itu Aku akan mematahkan busur panah Israel di lembah Yizreel."""
7,Hosea 1,6,"Wong wadon mau nuli ngandheg maneh sarta banjur duwe anak wadon; Pangeran Yehuwah tumuli ngandika marang Nabi Hosea: “Bayine jenengna Lo-Rukhama, awit turune Israel bakal ora Sunwelasi maneh, lan babar pisan ora bakal Sunapura.","Lalu perempuan itu mengandung lagi dan melahirkan seorang anak perempuan. Berfirmanlah TUHAN kepada Hosea: ""Berilah nama Lo-Ruhama kepada anak itu, sebab Aku tidak akan menyayangi lagi kaum Israel, dan sama sekali tidak akan mengampuni mereka."
8,Hosea 1,7,"Nanging turune Yehuda kang bakal Sunwelasi lan Sunpitulungi demi Sang Yehuwah Allahe. AnggoningSun mitulungi iku ora srana panah utawa pedhang, ora srana gegamaning perang utawa srana jaran apadene prajurit jaranan.”","Tetapi Aku akan menyayangi kaum Yehuda dan menyelamatkan mereka demi TUHAN, Allah mereka. Aku akan menyelamatkan mereka bukan dengan panah atau pedang, dengan alat perang atau dengan kuda dan orang-orang berkuda."""
9,Hosea 1,8,"Lo-Rukhama mau bareng wus disapih, wong wadon mau banjur ngandheg maneh lan duwe anak lanang.","Sesudah menyapih Lo-Ruhama, mengandunglah perempuan itu lagi dan melahirkan seorang anak laki-laki."
10,Hosea 1,9,"Gusti Allah banjur ngandika: “Iku jenengna: Lo-Ami, awitdene sira kabeh iku dudu umatingSun, lan Ingsun dudu Allahira.”","Lalu berfirmanlah Ia: ""Berilah nama Lo-Ami kepada anak itu, sebab kamu ini bukanlah umat-Ku dan Aku ini bukanlah Allahmu."""
11,Hosea 1,0,Janji bab kaslametan,Janji tentang keselamatan
12,Hosea 1,10,"Nanging ing tembe cacahe tutune Israel iku bakal kaya wedhi ing sagara, kang ora kena ditaker utawa diwilang, minangka gentine wong kang padha kadhawuhan: “Sira iku dudu umatingSun,” bakal kapratelakake marang wong-wong mau: “Para putrane Gusti Allah kang gesang.”","Tetapi kelak, jumlah orang Israel akan seperti pasir laut, yang tidak dapat ditakar dan tidak dapat dihitung. Dan di tempat di mana dikatakan kepada mereka: ""Kamu ini bukanlah umat-Ku,"" akan dikatakan kepada mereka: ""Anak-anak Allah yang hidup."""
13,Hosea 1,11,"Karodene turune Yehuda lan turune Israel bakal padha nglumpuk nunggal sagolongan, sarta bakal ngangkat wong siji kadadekake pemimpine, banjur bakal ngejegi nagara iki, marga dinane Yizreel iku bakal elok kaanane.","Orang Yehuda dan orang Israel akan berkumpul bersama-sama dan akan mengangkat bagi mereka satu pemimpin, lalu mereka akan menduduki negeri ini, sebab besar hari Yizreel itu."
14,Hosea 2,1,"(1-12) Para sadulurira lanang padha sira kandhanana: “Ami!”, lan marang sadulurira wadon: “Rukhama!”","(1-12) Katakanlah kepada saudara-saudaramu laki-laki: ""Ami!"" dan kepada saudara-saudaramu perempuan: ""Ruhama!"""
15,Hosea 2,0,Israel ditampik sarta kabangun maneh,Israel ditolak dan dipulihkan
16,Hosea 2,2,"(2-1) “Biyungira lapurna, iya lapurna, awitdene iku dudu garwaningSun, lan Ingsun iki dudu kakunge; konen mbuwang panyundele saka ing raine, lan anggone laku jina saka ing selaning susune,","(2-1) ""Adukanlah ibumu, adukanlah, sebab dia bukan isteri-Ku, dan Aku ini bukan suaminya; biarlah dijauhkannya sundalnya dari mukanya, dan zinahnya dari antara buah dadanya,"
17,Hosea 2,3,"(2-2) supaya aja nganti Sundhedheli sandhangane kongsi wuda, Sundadekake padha kaya ing nalika laire, Sundamel kaya pasamunan, Sundadekake kaya tanah mati, banjur Suntegakake nganti mati kasatan.","(2-2) supaya jangan Aku menanggalkan pakaiannya sampai dia telanjang, dan membiarkan dia seperti pada hari dia dilahirkan, membuat dia seperti padang gurun, dan membuat dia seperti tanah kering, lalu membiarkan dia mati kehausan."
18,Hosea 2,4,"(2-3) Anadene anak-anake padha ora Sunwelasi, awitdene iku padha anak sundel.","(2-3) Tentang anak-anaknya, Aku tidak menyayangi mereka, sebab mereka adalah anak-anak sundal."
19,Hosea 2,5,"(2-4) Marga biyunge dadi sundel; kang ngetengake wus nindakake kanisthan, awit pangucape: Aku arep ngetutake para bedhanganku, kang aweh roti lan banyu pangombenku kain wol lan lenaku, lengan lan omben-ombenku.","(2-4) Sebab ibu mereka telah menjadi sundal; dia yang mengandung mereka telah berlaku tidak senonoh. Sebab dia berkata: Aku mau mengikuti para kekasihku, yang memberi roti dan air minumku, bulu domba dan kain lenanku, minyak dan minumanku."
20,Hosea 2,6,"(2-5) Mulane lah dalane bakal Sunpasangi sangkrah eri, sarta wong iku bakal Sunpageri tembok mubeng, satemah ora bisa nemu dalan-dalane.","(2-5) Sebab itu, sesungguhnya, Aku akan menyekat jalannya dengan duri-duri, dan mendirikan pagar tembok mengurung dia, sehingga dia tidak dapat menemui jalannya."
21,Hosea 2,7,"(2-6) Banjur arep ngoyak-oyak para bedhangane, nanging ora bakal kecandhak, sarta arep nggoleki para bedhangane iku, nanging ora ketemu. Temah banjur bakal ngucap: Dakbali ngulihi bojoku jaka-lara, marga kaananku nalika samana luwih kapenak tinimbang karo saiki.","(2-6) Dia akan mengejar para kekasihnya, tetapi tidak akan mencapai mereka; dia akan mencari mereka, tetapi tidak bertemu dengan mereka. Maka dia akan berkata: Aku akan pulang kembali kepada suamiku yang pertama, sebab waktu itu aku lebih berbahagia dari pada sekarang."
22,Hosea 2,8,"(2-7) Nanging dheweke iku ora ngrumangsani yen Ingsun kang maringi gandum, anggur lan lenga, sarta kang ngakehake salakane lan mase kang dianggo gawe reca Baal.","(2-7) Tetapi dia tidak insaf bahwa Akulah yang memberi kepadanya gandum, anggur dan minyak, dan yang memperbanyak bagi dia perak dan emas yang dibuat mereka menjadi patung Baal."
23,Hosea 2,9,"(2-8) Mulane Ingsun bakal mundhut baline gandumingSun ing kala mangsane, lan angguringSun ing saben wektune, apadene ngrampas wol lan lenaningSun kang kanggo nutupi kawirangane.","(2-8) Sebab itu Aku akan mengambil kembali gandum-Ku pada masanya dan anggur-Ku pada musimnya, dan akan merampas kain bulu domba dan kain lenan-Ku yang harus menutupi auratnya."
24,Hosea 2,10,"(2-9) Sarta saiki bakal Suneler kawirangane, ana ing ngarepe para bedhangane, lan ora ana wong kang bakal ngluwari dheweke saka ing astaningSun.","(2-9) Dan sekarang, Aku akan menyingkapkan kemaluannya, di depan mata para kekasihnya, dan seorangpun tidak akan melepaskan dia dari tangan-Ku."
25,Hosea 2,11,"(2-10) Sakehe kabungahane bakal Sunuwisi riyayane, lan sasine anyar apadene dina Sabate lan sakehe dinane gedhe.","(2-10) Aku akan menghentikan segala kegirangannya, hari rayanya, bulan barunya dan hari Sabatnya dan segala perayaannya."
26,Hosea 2,12,"(2-11) Ingsun bakal nyirnakake wite anggur lan wite anjir, kang wus padha diucapake: Iki kabeh paweweh marang aku, kang diwenehake marang aku dening kekasihku. Iku bakal Sundadekake alas, lan kewan ing ara-ara bakal mangani iku nganti entek.","(2-11) Aku akan memusnahkan pohon anggurnya dan pohon aranya, yang tentangnya dikatakannya: Ini semuanya pemberian kepadaku, yang dihadiahkan kepadaku oleh para kekasihku! Aku akan membuatnya menjadi hutan, dan binatang-binatang di padang akan memakannya habis."
27,Hosea 2,13,"(2-12) Karomaneh dheweke bakal Sunukum marga saka dina-dina nalika nyaosake kurban marang para Baal, sarta nganggo anting-antinge lan kalunge, tuwin banjur ngetutake para bedhangane nanging lali marang Ingsun,” mangkono pangandikane Pangeran Yehuwah.","(2-12) Dan Aku akan menghukum dia karena hari-hari ketika dia membakar korban untuk para Baal, berhias dengan anting-antingnya dan kalungnya, dan mengikuti para kekasihnya dan melupakan Aku,"" demikianlah firman TUHAN."
28,Hosea 2,14,"(2-13) “Kang iku, dheweke bakal Sunarih-arih, sarta Sunajak menyang ing pasamunan, lan Sunpangandikani kang gawe leganing atine.","(2-13) ""Sebab itu, sesungguhnya, Aku ini akan membujuk dia, dan membawa dia ke padang gurun, dan berbicara menenangkan hatinya."
29,Hosea 2,15,"(2-14) Ingsun bakal maringake kebone anggur ana ing kana, apadene Sunparingi lebak Akhor minangka gapuraning pangarep-arep. Ana ing kono dheweke bakal ngidung-ngidung kaya nalika isih enom, kaya nalika mangkat metu saka ing tanah Mesir.","(2-14) Aku akan memberikan kepadanya kebun anggurnya dari sana, dan membuat lembah Akhor menjadi pintu pengharapan. Maka dia akan merelakan diri di sana seperti pada masa mudanya, seperti pada waktu dia berangkat keluar dari tanah Mesir."
30,Hosea 2,16,"(2-15) Ing dina iku -- mangkono pangandikaning Sang Yehuwah --, Ingsun bakal sira sebut: Kakung kawula, lan Ingsun ora sira sebut maneh: Baal kawula!","(2-15) Maka pada waktu itu, demikianlah firman TUHAN, engkau akan memanggil Aku: Suamiku, dan tidak lagi memanggil Aku: Baalku!"
31,Hosea 2,17,"(2-16) Karomaneh jenenge sakehe Baal bakal Sunbirat saka ing cangkemira, banjur ora disebut-sebut maneh.","(2-16) Lalu Aku menjauhkan nama para Baal dari mulutmu, maka nama mereka tidak lagi disebut."
32,Hosea 2,18,"(2-17) Sarta ing dina iku sira bakal Sundamelake prajanjian karo sato-kewan ing ara-ara lan manuk-manuk ing awang-awang, apadene karo sakabehe kewan kang gumremet ana ing bumi. Gandhewa, pedhang sarta pirantining perang bakal padha Sunsirnakake saka ing bumi, tuwin sira bakal Sundamel bisa nglegeyeh kalawan tentrem.","(2-17) Aku akan mengikat perjanjian bagimu pada waktu itu dengan binatang-binatang di padang dan dengan burung-burung di udara, dan binatang-binatang melata di muka bumi; Aku akan meniadakan busur panah, pedang dan alat perang dari negeri, dan akan membuat engkau berbaring dengan tenteram."
33,Hosea 2,19,"(2-18) Sira bakal Sunpundhut garwa kanggo ing salawas-lawase, lan anggoningSun mundhut garwa sira iku kalawan kaadilan lan kabeneran, sarta kalawan sih-susetya lan sih-katresnan.","(2-18) Aku akan menjadikan engkau isteri-Ku untuk selama-lamanya dan Aku akan menjadikan engkau isteri-Ku dalam keadilan dan kebenaran, dalam kasih setia dan kasih sayang."
34,Hosea 2,20,"(2-19) Sira bakal Sunpundhut garwa kalawan setya-tuhu, satemah sira bakal wanuh marang Pangeran Yehuwah.","(2-19) Aku akan menjadikan engkau isteri-Ku dalam kesetiaan, sehingga engkau akan mengenal TUHAN."
35,Hosea 2,21,"(2-20) Ing nalika iku -- mangkono pangandikaning Sang Yehuwah -- Ingsun bakal midhangetake marang langit, lan langit bakal ngrungokake marang bumi.","(2-20) Maka pada waktu itu, demikianlah firman TUHAN, Aku akan mendengarkan langit, dan langit akan mendengarkan bumi."
36,Hosea 2,22,"(2-21) Bumi bakal ngrungokake marang gandum, anggur lan lenga, sarta iku bakal padha ngrungokake marang Yizreel.","(2-21) Bumi akan mendengarkan gandum, anggur dan minyak, dan mereka ini akan mendengarkan Yizreel."
37,Hosea 2,23,"(2-22) Tumuli iku bakal Sunsebar ana ing bumi lan dadi kagunganingSun, lan Ingsun bakal paring piwelas marang Lo-Rukhama, tuwin Ingsun bakal ngandika marang Lo-Ami, iku: Sira iku umatingSun! Dene iku bakal munjuk: Dhuh Allah kawula!”","(2-22) Aku akan menaburkan dia bagi-Ku di bumi, dan akan menyayangi Lo-Ruhama, dan Aku berkata kepada Lo-Ami: Umat-Ku engkau! dan ia akan berkata: Allahku!"""
38,Hosea 3,0,"Ditampani maneh, nanging ora dianggep","Diterima kembali, tetapi dianggap sepi"
