,bab,ayat,jawa,indo
0,Imamat 1,0,Pranatan bab kurban obaran,Korban bakaran
1,Imamat 1,1,"Pangeran Yehuwah nimbali Nabi Musa sarta ngandika marang panjenengane saka ing Tarub Pasewakan, dhawuhe:",TUHAN memanggil Musa dan berfirman kepadanya dari dalam Kemah Pertemuan:
2,Imamat 1,2,"“Sira ndhawuhana wong Israel lan sira tutura: manawa ana wong panunggalanmu kang arep nyaosake kurban marang Pangeran Yehuwah, kurbanira iku kudu raja-kaya, yaiku sapi utawa wedhus.","""Berbicaralah kepada orang Israel dan katakan kepada mereka: Apabila seseorang di antaramu hendak mempersembahkan persembahan kepada TUHAN, haruslah persembahanmu yang kamu persembahkan itu dari ternak, yakni dari lembu sapi atau dari kambing domba."
3,Imamat 1,3,"Manawa sesaosane iku kurban obaran arupa sapi, kudu lanang kang tanpa cacad. Anggone nyaosake iku ana ing ngarep lawang Tarub Pasewakan, supaya ndadekna keparenging panggalihe Pangeran Yehuwah.","Jikalau persembahannya merupakan korban bakaran dari lembu, haruslah ia mempersembahkan seekor jantan yang tidak bercela. Ia harus membawanya ke pintu Kemah Pertemuan, supaya TUHAN berkenan akan dia."
4,Imamat 1,4,"Nuli tangane ditumpangna ana ing endhase kurban obaran mau, temah kurbane mau katrimah lan ngolehake pangruwating dosane.","Lalu ia harus meletakkan tangannya ke atas kepala korban bakaran itu, sehingga baginya persembahan itu diperkenan untuk mengadakan pendamaian baginya."
5,Imamat 1,5,"Sawuse mangkono banjur nyembeleha sapine ana ing ngarsaning Yehuwah; para anake Harun, imam-imam mau nyaosna getihe sapi mau lan disiramna ing sakubenge misbyah ana ing ngarepe lawangane Tarub Pasewakan.","Kemudian haruslah ia menyembelih lembu itu di hadapan TUHAN, dan anak-anak Harun, imam-imam itu, harus mempersembahkan darah lembu itu dan menyiramkannya pada sekeliling mezbah yang di depan pintu Kemah Pertemuan."
6,Imamat 1,6,Nuli kurbane mau dikeleti lan ditengkel-tengkel miturut perangan-perangan kang wus katemtokake.,Kemudian haruslah ia menguliti korban bakaran itu dan memotong-motongnya menurut bagian-bagian tertentu.
7,Imamat 1,7,"Para anake Imam Harun banjur dadekna geni ana ing misbyah sarta nataa kayu tumumpang ing geni mau,",Anak-anak imam Harun haruslah menaruh api di atas mezbah dan menyusun kayu di atas api itu.
8,Imamat 1,8,"sarta banjur nataa tengkel-tengkelane kurbane iku, endhase lan gajihe katumpangna ing kayu kang murub ana ing misbyah mau.",Dan mereka harus mengatur potongan-potongan korban itu dan kepala serta lemaknya di atas kayu yang sedang menyala di atas mezbah.
9,Imamat 1,9,"Nanging jeroane lan pupune kudu dikumbah, banjur diobonga kabeh dening imam ana ing misbyah minangka kurban obaran, minangka kurban genenan kang gandane damel renane Pangeran Yehuwah.","Tetapi isi perutnya dan betisnya haruslah dibasuh dengan air dan seluruhnya itu harus dibakar oleh imam di atas mezbah sebagai korban bakaran, sebagai korban api-apian yang baunya menyenangkan bagi TUHAN."
10,Imamat 1,10,"Manawa sesaosane kanggo kurban obaran mau arupa wedhus, wedhus gembel apa wedhus berok, kang disaosake iku kudu lanang kang tanpa cacad.","Jikalau persembahannya untuk korban bakaran adalah dari kambing domba, baik dari domba, maupun dari kambing, haruslah ia mempersembahkan seekor jantan yang tidak bercela."
11,Imamat 1,11,"Panyembelehe ana ing iringane misbyah sisih lor ana ing ngarsaning Sang Yehuwah, para imam anake Harun, banjur nyiramna getihe ana ing sakubenge misbyah.","Haruslah ia menyembelihnya pada sisi mezbah sebelah utara di hadapan TUHAN, lalu haruslah anak-anak Harun, imam-imam itu, menyiramkan darahnya pada mezbah sekelilingnya."
12,Imamat 1,12,"Sawuse mangkono banjur ditengkel-tengkela miturut perang-perangane kaya kang wus katemtokake, tengkel-tengkelane, endhase lan gajihe ditataa dening imam ana ing kayu kang murub ana ing misbyah mau.","Kemudian haruslah ia memotong-motongnya menurut bagian-bagian tertentu, dan bersama-sama kepalanya dan lemaknya diaturlah semuanya itu oleh imam di atas kayu yang sedang menyala di atas mezbah."
13,Imamat 1,13,"Jeroan lan pupune kudu dikumbah, banjur kabeh disaosna lan diobonga dening imam ana ing misbyah: iku kurban obaran, kurban genenan kang gandane damel renane panggalihe Sang Yehuwah.","Isi perut dan betisnya haruslah dibasuhnya dengan air, dan seluruhnya itu haruslah dipersembahkan oleh imam dan dibakar di atas mezbah: itulah korban bakaran, suatu korban api-apian yang baunya menyenangkan bagi TUHAN."
14,Imamat 1,14,"Manawa kurban kang disaosake marang Pangeran Yehuwah minangka kurban obaran iku arupa manuk, kurbane iku kudu manuk deruk utawa piyik dara.","Jikalau persembahannya kepada TUHAN merupakan korban bakaran dari burung, haruslah ia mempersembahkan korbannya itu dari burung tekukur atau dari anak burung merpati."
15,Imamat 1,15,"Manuke mau diajokna menyang misbyah dening imam, endhase manuk banjur dipuntir lan diobonga ana ing misbyah, dene getihe diepuha ana ing lambunge misbyah.","Imam harus membawanya ke mezbah, lalu memulas kepalanya dan membakarnya di atas mezbah. Darahnya harus ditekan ke luar pada dinding mezbah."
16,Imamat 1,16,"Telihe sarta wulune kudu disisihake lan dibuwang sawetane misbyah, ing panggonan awu.","Temboloknya serta dengan bulunya haruslah disisihkan dan dibuang ke samping mezbah sebelah timur, ke tempat abu."
17,Imamat 1,17,"Nuli manuke disuweka ing poking swiwine, nanging ora nganti pisah; banjur diobonga dening imam ana ing misbyah, ing kayu kang murub; iku dadi kurban obaran, iya kurban genenan, kang gandane damel renane Pangeran Yehuwah.”","Dan ia harus mencabik burung itu pada pangkal sayapnya, tetapi tidak sampai terpisah; lalu imam harus membakarnya di atas mezbah, di atas kayu yang sedang terbakar; itulah korban bakaran, suatu korban api-apian yang baunya menyenangkan bagi TUHAN."""
18,Imamat 2,0,Bab kurban dhaharan,Korban sajian
19,Imamat 2,1,"“Manawa ana wong kang arep nyaosake kurban arupa kurban dhaharan marang Pangeran Yehuwah, kurbane iku kudu rupa glepung pilihan nganggo diesoki lenga sarta ditumpangi menyan,","""Apabila seseorang hendak mempersembahkan persembahan berupa korban sajian kepada TUHAN, hendaklah persembahannya itu tepung yang terbaik dan ia harus menuangkan minyak serta membubuhkan kemenyan ke atasnya."
20,Imamat 2,2,"kurban mau banjur digawaa menyang ngarepane para imam anake Harun. Iku nuli njupuka glepung sagegem karo lengane lan menyane kabeh, banjur diobonga dening imam mau ana ing misbyah, minangka pisungsung pangenget-enget, dadi kurban genenan, kang gandane damel renane Pangeran Yehuwah,","Lalu korban itu harus dibawanya kepada anak-anak Harun, imam-imam itu. Setelah diambil dari korban itu tepung segenggam dengan minyak beserta seluruh kemenyannya, maka imam haruslah membakar semuanya itu di atas mezbah sebagai bagian ingat-ingatan korban itu, sebagai korban api-apian yang baunya menyenangkan bagi TUHAN."
21,Imamat 2,3,"turahane kurban dhaharan iku dadia pandumane Harun lan para anake, dadi sengkeran suci pinunjul saka kurban genenan, sumaos marang Pangeran Yehuwah.","Korban sajian selebihnya adalah teruntuk bagi Harun dan anak-anaknya, yakni bagian maha kudus dari segala korban api-apian TUHAN."
22,Imamat 2,4,"Manawa kurban kang arep sira saosake iku kurban dhaharan kang kaolah ana ing panggangan roti, iku kang digawe kudu glepung pilihan, arupa roti bunder tanpa ragi kang diolah diwori lenga, utawa roti tipis tanpa ragi, kang dioser-oseri lenga.","Apabila engkau hendak mempersembahkan persembahan berupa korban sajian dari apa yang dibakar di dalam pembakaran roti, haruslah itu dari tepung yang terbaik, berupa roti bundar yang tidak beragi, yang diolah dengan minyak, atau roti tipis yang tidak beragi, yang diolesi dengan minyak."
23,Imamat 2,5,"Manawa sesaosanira arupa kurban dhaharan kang dipanggang ing panggangan, iku kang digawe kudu glepung kang becik dhewe diwori lenga, tanpa ragi,","Jikalau persembahanmu merupakan korban sajian dari yang dipanggang di atas panggangan, haruslah itu dari tepung yang terbaik, diolah dengan minyak, berupa roti yang tidak beragi."
24,Imamat 2,6,banjur diiris-iris lan sira esokana lenga; iku dadi kurban dhaharan.,"Korban itu harus dipotong-potong, lalu kautuangkanlah minyak ke atasnya; itulah korban sajian."
25,Imamat 2,7,"Menawa sesaosanira arupa kurban dhaharan kang diolah ing wajan, iku kudu glepung pilihan diwori lenga.","Jikalau persembahanmu merupakan korban sajian dari yang dimasak di dalam wajan, haruslah itu diolah dari tepung yang terbaik bersama-sama minyak."
26,Imamat 2,8,"Kurban dhaharan kang patrap pangolahe kaya mangkono mau, iku sira saosna marang Pangeran Yehuwah, diladekna marang imam, iku kang ngajokake menyang ing misbyah.","Maka korban sajian yang diolah menurut salah satu cara itu haruslah kaupersembahkan kepada TUHAN, yakni harus disampaikan kepada imam, yang membawanya ke mezbah."
27,Imamat 2,9,"Kurban dhaharan iku banjur kajupuka sawatara dening imam minangka pisungsung pangenget-enget, kaobonga ana ing misbyah, dadi kurban genenan, kang gandane damel renane Pangeran Yehuwah.",Kemudian imam harus mengkhususkan dari korban sajian itu bagian ingat-ingatannya lalu membakarnya di atas mezbah sebagai korban api-apian yang baunya menyenangkan bagi TUHAN.
28,Imamat 2,10,"Turahane kurban dhaharan iku dadia pandumane Harun lan para anake, dadi sengkeran suci pinunjul saka kurban genenan sumaos marang Pangeran Yehuwah.","Korban sajian selebihnya adalah bagian Harun dan anak-anaknya, yakni bagian maha kudus dari segala korban api-apian TUHAN!"
29,Imamat 2,11,"Sarupane kurban dhaharan kang sira saosake marang Pangeran Yehuwah iku pangolahe aja nganggo ragi, awitdene kang mawa ragi utawa madu iku ora kena sira obong dadi kurban genenan marang Pangeran Yehuwah.","Suatu korban sajian yang kamu persembahkan kepada TUHAN janganlah diolah beragi, karena dari ragi atau dari madu tidak boleh kamu membakar sesuatupun sebagai korban api-apian bagi TUHAN."
30,Imamat 2,12,"Sira kepareng ngunjukake marang Pangeran Yehuwah saka wiwitaning undhuh-undhuhan minangka sesaosan, mung bae aja diladekake ana ing misbyah minangka ganda kang damel renane.","Tetapi sebagai persembahan dari hasil pertama boleh kamu mempersembahkannya kepada TUHAN, hanya janganlah dibawa ke atas mezbah menjadi bau yang menyenangkan."
31,Imamat 2,13,Sarupane sesaosanira kurban dhaharan iku sira bumbonana uyah; kurbanira dhaharan aja nganti sepi uyahing prasetyane Gusti Allahira; sadhengah kurbanira iku sira kanthenana sesaosan uyah.,"Dan tiap-tiap persembahanmu yang berupa korban sajian haruslah kaububuhi garam, janganlah kaulalaikan garam perjanjian Allahmu dari korban sajianmu; beserta segala persembahanmu haruslah kaupersembahkan garam."
32,Imamat 2,14,"Anadene manawa wiwitaning pametune bumi kang arep kasaosake dadi kurban dhaharan marang Pangeran Yehuwah, iku kudu arupa wulen gandum, kapanggang ing geni, iya iku emping gandum anyar, minangka kurban dhaharan saka wiwitaning panen gandumira.","Jikalau engkau hendak mempersembahkan korban sajian dari hulu hasil kepada TUHAN, haruslah engkau mempersembahkan bulir gandum yang dipanggang di atas api, emping gandum baru, sebagai korban sajian dari hulu hasil gandummu."
33,Imamat 2,15,"Iku sira kanthenana lenga lan sira tumpangana menyan, iku dadi kurban dhaharan.",Haruslah kaububuh minyak dan kautaruh kemenyan ke atasnya; itulah korban sajian.
34,Imamat 2,16,"Nuli kang arupa emping gandum lan lengane sarta menyane iku salong diobonga dening imam minangka pisungsung pangenget-enget, dadi kurban genenan marang Pangeran Yehuwah.”","Haruslah imam membakar sebagai ingat-ingatannya, sebagian dari emping gandumnya dan minyaknya beserta seluruh kemenyannya sebagai korban api-apian bagi TUHAN."""
35,Imamat 3,0,Bab kurban slametan,Korban keselamatan
36,Imamat 3,1,"“Manawa sesaosane arupa kurban slametan, mangka kang kasaosake iku arupa sapi, dadia lanang utawa wadon, iku kudu kang tanpa cacad kang disaosake ana ing ngarsane Pangeran Yehuwah.","""Jikalau persembahannya merupakan korban keselamatan, maka jikalau yang dipersembahkannya itu dari lembu, seekor jantan atau seekor betina, haruslah ia membawa yang tidak bercela ke hadapan TUHAN."
37,Imamat 3,2,"Wonge banjur numpangna tangane ing endhasing kurbane, sapi iku nuli disembeleha ana ing sangarepe lawanging Tarub Pasewakan, sarta getihe disiramna ing sakubenge misbyah dening para imam anake Harun.","Lalu ia harus meletakkan tangannya di atas kepala persembahannya itu, dan menyembelihnya di depan pintu Kemah Pertemuan, lalu anak-anak Harun, imam-imam itu haruslah menyiramkan darahnya pada mezbah sekelilingnya."
38,Imamat 3,3,"Sawuse mangkono kurbane slametan iku salong dijupuka dadi kurban kang kasaosake marang Sang Yehuwah sarana digeneni, yaiku gajihe kang nasabi jeroan lan sakehe gajih kang tumempel ing jeroan,","Kemudian dari korban keselamatan itu ia harus mempersembahkan lemak yang menyelubungi isi perut, dan segala lemak yang melekat pada isi perut itu sebagai korban api-apian bagi TUHAN,"
39,Imamat 3,4,"karomaneh ginjele loro pisan sagajihe, kang ana ing lempeng lan ing gembelaning atine, dijupuka bareng karo ginjele mau.","dan lagi kedua buah pinggang dan lemak yang melekat padanya, yang ada pada pinggang dan umbai hati yang harus dipisahkannya beserta buah pinggang itu."
