,bab,ayat,jawa,indo
0,Kejadian 1,0,Gusti Allah nitahake langit lan bumi dalah saisine kabeh,Allah menciptakan langit dan bumi serta isinya
1,Kejadian 1,1,Ing jaman kawitan Gusti Allah nitahake langit lan bumi.,Pada mulanya Allah menciptakan langit dan bumi.
2,Kejadian 1,2,"Anadene bumi mau campur-bawur lan suwung, segara kesaput ing pepeteng, dene Rohe Gusti Allah nglayang ing sadhuwure banyu.","Bumi belum berbentuk dan kosong; gelap gulita menutupi samudera raya, dan Roh Allah melayang-layang di atas permukaan air."
3,Kejadian 1,3,Gusti Allah banjur ngandika: “Anaa pepadhang!” Tumuli ana padhang.,"Berfirmanlah Allah: ""Jadilah terang."" Lalu terang itu jadi."
4,Kejadian 1,4,Padhang mau dipirsani wus becik lan Gusti Allah banjur misahake padhang karo peteng.,"Allah melihat bahwa terang itu baik, lalu dipisahkan-Nyalah terang itu dari gelap."
5,Kejadian 1,5,"Kang padhang diparingi aran raina, dene kang peteng: wengi. Mangkono wus dadi sore lan esuk: dina kang kapisan.","Dan Allah menamai terang itu siang, dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama."
6,Kejadian 1,6,"Gusti Allah tumuli ngandika: “Anaa pepenthengan ing antarane banyu, kang misahake banyu karo banyu.”","Berfirmanlah Allah: ""Jadilah cakrawala di tengah segala air untuk memisahkan air dari air."""
7,Kejadian 1,7,Gusti Allah banjur yasa penthengan sarta misahake banyu kang ana ing sangisoring penthengan karo banyu kang ana ing sandhuwure penthengan mau. Lan banjur kelakon.,Maka Allah menjadikan cakrawala dan Ia memisahkan air yang ada di bawah cakrawala itu dari air yang ada di atasnya. Dan jadilah demikian.
8,Kejadian 1,8,"Pepenthengan mau diparingi aran: langit. Mangkono wus dadi sore lan wus dadi esuk, dina kang kapindho.","Lalu Allah menamai cakrawala itu langit. Jadilah petang dan jadilah pagi, itulah hari kedua."
9,Kejadian 1,9,"Gusti Allah banjur ngandika: “Banyu kang ana ing sangisore langit ngumpula dadi saenggon, supaya kang asat katona.” Banjur iya kelakon mangkono.","Berfirmanlah Allah: ""Hendaklah segala air yang di bawah langit berkumpul pada satu tempat, sehingga kelihatan yang kering."" Dan jadilah demikian."
10,Kejadian 1,10,"Kang asat kaparingan aran: bumi, lan kaklumpukane banyu diparingi aran: segara. Kabeh mau dipirsani Gusti Allah wus prayoga.","Lalu Allah menamai yang kering itu darat, dan kumpulan air itu dinamai-Nya laut. Allah melihat bahwa semuanya itu baik."
11,Kejadian 1,11,"Apamaneh pangandikane Gusti Allah: “Bumi metokna thethukulan, tetuwuhan kang ana wijine, wit-witan kang metu wohe warna-warna kang isi wiji ana ing bumi.” Banjur iya kelakon mangkono.","Berfirmanlah Allah: ""Hendaklah tanah menumbuhkan tunas-tunas muda, tumbuh-tumbuhan yang berbiji, segala jenis pohon buah-buahan yang menghasilkan buah yang berbiji, supaya ada tumbuh-tumbuhan di bumi."" Dan jadilah demikian."
12,Kejadian 1,12,"Bumi banjur nuwuhake thethukulan, sawernaning tetuwuhan kang ana wijine lan sakehing wit-witan kang metokake woh kang isi wiji. Lan iku mau dipirsani Gusti Allah wus prayoga.","Tanah itu menumbuhkan tunas-tunas muda, segala jenis tumbuh-tumbuhan yang berbiji dan segala jenis pohon-pohonan yang menghasilkan buah yang berbiji. Allah melihat bahwa semuanya itu baik."
13,Kejadian 1,13,Mangkono wus dadi sore lan wus dadi esuk: dina kang katelu.,"Jadilah petang dan jadilah pagi, itulah hari ketiga."
14,Kejadian 1,14,"Gusti Allah banjur ngandika: “Ing pepenthengan langit anaa pepadhang kanggo merang rina lan wengi, lan padha dadia panengeran sarta titikaning mangsa kang tetep apadene dina lan taun.","Berfirmanlah Allah: ""Jadilah benda-benda penerang pada cakrawala untuk memisahkan siang dari malam. Biarlah benda-benda penerang itu menjadi tanda yang menunjukkan masa-masa yang tetap dan hari-hari dan tahun-tahun,"
15,Kejadian 1,15,Karomaneh padha dadia pepadhang ana ing pepenthengan langit supaya madhangi bumi.” Lan iya kelakon mangkono.,"dan sebagai penerang pada cakrawala biarlah benda-benda itu menerangi bumi."" Dan jadilah demikian."
16,Kejadian 1,16,"Gusti Allah yasa pepadhang gedhe loro, kang gedhe dhewe supaya mengkua ing wayah rina, lan kang kepara cilik supaya mengkua ing wayah bengi, mangkono uga lintang-lintang.","Maka Allah menjadikan kedua benda penerang yang besar itu, yakni yang lebih besar untuk menguasai siang dan yang lebih kecil untuk menguasai malam, dan menjadikan juga bintang-bintang."
17,Kejadian 1,17,"Iku kabeh padha diprenahake dening Gusti Allah ana ing pepenthengan supaya madhangi bumi,","Allah menaruh semuanya itu di cakrawala untuk menerangi bumi,"
18,Kejadian 1,18,"lan supaya mengku wayah awan lan bengi, karomaneh kanggo misahake padhang lan peteng. Iku kabeh dipirsani Gusti Allah wus prayoga.","dan untuk menguasai siang dan malam, dan untuk memisahkan terang dari gelap. Allah melihat bahwa semuanya itu baik."
19,Kejadian 1,19,"Kaya mangkono wus dadi sore lan wus dadi esuk, dina kang kaping papat.","Jadilah petang dan jadilah pagi, itulah hari keempat."
20,Kejadian 1,20,Gusti Allah tumuli ngandika: “Ing banyu anaa makhluk urip kang pating kruwel uyel-uyelan lan bangsa manuk mabura ing sadhuwure bumi ngliwati pepenthengan.”,"Berfirmanlah Allah: ""Hendaklah dalam air berkeriapan makhluk yang hidup, dan hendaklah burung beterbangan di atas bumi melintasi cakrawala."""
21,Kejadian 1,21,"Gusti Allah nuli nitahake kewan segara kang gedhe-gedhe lan sawernaning makhluk urip kang pating krogel ana ing banyu, apadene sawernaning manuk kang mawa suwiwi. Sarta iku dipirsani Gusti Allah wus prayoga.","Maka Allah menciptakan binatang-binatang laut yang besar dan segala jenis makhluk hidup yang bergerak, yang berkeriapan dalam air, dan segala jenis burung yang bersayap. Allah melihat bahwa semuanya itu baik."
22,Kejadian 1,22,"Kabeh banjur padha diberkahi dening Gusti Allah, pangandikane: “Padha bebranahana lan tangkar-tumangkara ngebakana banyu segara, sarta bangsa manuk tangkar-tumangkara ana ing bumi.”","Lalu Allah memberkati semuanya itu, firman-Nya: ""Berkembangbiaklah dan bertambah banyaklah serta penuhilah air dalam laut, dan hendaklah burung-burung di bumi bertambah banyak."""
23,Kejadian 1,23,"Mangkono wus dadi sore lan wus dadi esuk, dina kang kaping lima.","Jadilah petang dan jadilah pagi, itulah hari kelima."
24,Kejadian 1,24,"Gusti Allah tumuli ngandika: “Bumi iki metokna makhluk kang urip warna-warna, kewan ingon-ingon, kewan kang rumangkang, lan gumremet sarta kewan alasan warna-warna.” Banjur iya kelakon kaya mangkono.","Berfirmanlah Allah: ""Hendaklah bumi mengeluarkan segala jenis makhluk yang hidup, ternak dan binatang melata dan segala jenis binatang liar."" Dan jadilah demikian."
25,Kejadian 1,25,"Gusti Allah akarya sato-kewan alasan warna-warna, kewan ingon warna-warna, kewan kang gumremet ana ing bumi warna-warna. Sarta iku dipirsani dening Gusti Allah wus prayoga.",Allah menjadikan segala jenis binatang liar dan segala jenis ternak dan segala jenis binatang melata di muka bumi. Allah melihat bahwa semuanya itu baik.
26,Kejadian 1,26,"Gusti Allah banjur ngandika: “Mara Kita akarya manungsa kang mirib gambar lan pasemon Kita, iku pada nguwasanana iwak ing segara, manuk ing awang-awang, lan kewan ingon tuwin bumi iki kabeh sarta marang sarupane kewan kang gumremet ana ing bumi.”","Berfirmanlah Allah: ""Baiklah Kita menjadikan manusia menurut gambar dan rupa Kita, supaya mereka berkuasa atas ikan-ikan di laut dan burung-burung di udara dan atas ternak dan atas seluruh bumi dan atas segala binatang melata yang merayap di bumi."""
27,Kejadian 1,27,"Gusti Allah tumuli nitahake manungsa miturut gambare, anggone nitahake mirib gambaring Allah, lanang karo wadon anggone nitahake.","Maka Allah menciptakan manusia itu menurut gambar-Nya, menurut gambar Allah diciptakan-Nya dia; laki-laki dan perempuan diciptakan-Nya mereka."
28,Kejadian 1,28,Tumuli padha diberkahi lan dipangandikani: “Padha bebranahana lan tangkar-tumangkara; ngebakana bumi lan telukna. Iwak ing segara lan manuk ing awang-awang sarta sakabehing sato-kewan kang rumangkang ana ing bumi iku padha sira kuwasanana.”,"Allah memberkati mereka, lalu Allah berfirman kepada mereka: ""Beranakcuculah dan bertambah banyak; penuhilah bumi dan taklukkanlah itu, berkuasalah atas ikan-ikan di laut dan burung-burung di udara dan atas segala binatang yang merayap di bumi."""
29,Kejadian 1,29,"Karomaneh pangandikane Gusti Allah: “Lah ta sira iku padha Sunparingi sarupane thethukulan ing salumahing bumi kang mawa wiji lan sarupane wit-witan kang metokake woh mawa wiji, iku dadia panganira.","Berfirmanlah Allah: ""Lihatlah, Aku memberikan kepadamu segala tumbuh-tumbuhan yang berbiji di seluruh bumi dan segala pohon-pohonan yang buahnya berbiji; itulah akan menjadi makananmu."
