,bab,ayat,jawa,indo
0,Keluaran 1,0,Wong Israel dikuya-kuya ana ing tanah Mesir,Orang Israel ditindas di Mesir
1,Keluaran 1,1,"Iki jenenge para putrane Rama Israel kang padha teka ing tanah Mesir, tekane ndherek Rama Yakub; siji-sijine karo brayate:",Inilah nama para anak Israel yang datang ke Mesir bersama-sama dengan Yakub; mereka datang dengan keluarganya masing-masing:
2,Keluaran 1,2,"Ruben, Simeon, Lewi lan Yehuda,","Ruben, Simeon, Lewi dan Yehuda;"
3,Keluaran 1,3,"Isakhar, Zebulon lan Benyamin,","Isakhar, Zebulon dan Benyamin;"
4,Keluaran 1,4,"Dhan lan Naftali, Gad lan Asyer.","Dan serta Naftali, Gad dan Asyer."
5,Keluaran 1,5,"Turune Rama Yakub iku gunggunge kabeh ana pitung puluh, nanging Sang Yusuf wus ana ing tanah Mesir.",Seluruh keturunan yang diperoleh Yakub berjumlah tujuh puluh jiwa. Tetapi Yusuf telah ada di Mesir.
6,Keluaran 1,6,"Sang Yusuf tumuli seda, dalah para sadhereke lan kabeh barakane.","Kemudian matilah Yusuf, serta semua saudara-saudaranya dan semua orang yang seangkatan dengan dia."
7,Keluaran 1,7,"Wong Israel banjur padha bebranahan lan ora kena dietung cacahe; mundhak dadi akeh matikel-tikel, nganti ngebaki nagara.","Orang-orang Israel beranak cucu dan tak terbilang jumlahnya; mereka bertambah banyak dan dengan dahsyat berlipat ganda, sehingga negeri itu dipenuhi mereka."
8,Keluaran 1,8,"Nuli ana raja anyar kang jumeneng mengku tanah Mesir, kang ora mirsa bab Sang Yusuf.","Kemudian bangkitlah seorang raja baru memerintah tanah Mesir, yang tidak mengenal Yusuf."
9,Keluaran 1,9,"Iku banjur ngandika marang para kawulane: “Bangsa Israel iku akeh banget, cacahe nganti ngungkuli kita.","Berkatalah raja itu kepada rakyatnya: ""Bangsa Israel itu sangat banyak dan lebih besar jumlahnya dari pada kita."
10,Keluaran 1,10,"Mulane payo padha golek rekadaya, supaya aja nganti wuwuh akeh maneh lan saupama ana peperangan aja nganti mbiyantu mungsuh kita, sarta merangi kita, banjur minggat saka nagara kene.”","Marilah kita bertindak dengan bijaksana terhadap mereka, supaya mereka jangan bertambah banyak lagi dan--jika terjadi peperangan--jangan bersekutu nanti dengan musuh kita dan memerangi kita, lalu pergi dari negeri ini."""
11,Keluaran 1,11,"Mulane tumuli ngangkat pemimpin-pemimpin wong nyangga karya kang kadhawuhan nglurahi lan nindhes wong Israel kanthi matrapi pagawean peksan, didhawuhi ngedegake kutha Pitom lan Raamses kanggo gedhong patandhone Sang Prabu Pringon.","Sebab itu pengawas-pengawas rodi ditempatkan atas mereka untuk menindas mereka dengan kerja paksa: mereka harus mendirikan bagi Firaun kota-kota perbekalan, yakni Pitom dan Raamses."
12,Keluaran 1,12,"Nanging sanadyan panindhese mundhak dina mundhak abot, ewasamono malah saya wuwuh lan tangkar-tumangkar, temahan wong padha rumangsa wedi marang wong Israel.","Tetapi makin ditindas, makin bertambah banyak dan berkembang mereka, sehingga orang merasa takut kepada orang Israel itu."
13,Keluaran 1,13,"Wong Mesir anggone ngetrapi pagawean marang wong Israel banjur kanthi daksiya,","Lalu dengan kejam orang Mesir memaksa orang Israel bekerja,"
14,Keluaran 1,14,"uripe digawe nandhang pait-getir sarana pagawean kang abot banget, yaiku nggarap lempung lan gawe bata, pagawean warna-warna ana ing ara-ara, ringkese: sarupane pagawean kang ditrapake kanthi peksan dening wong Mesir.","dan memahitkan hidup mereka dengan pekerjaan yang berat, yaitu mengerjakan tanah liat dan batu bata, dan berbagai-bagai pekerjaan di padang, ya segala pekerjaan yang dengan kejam dipaksakan orang Mesir kepada mereka itu."
15,Keluaran 1,15,"Sang Raja ing Mesir uga dhawuh marang bidhan-bidhan kang nulungi wong wadon Ibrani, kang siji jenenge Sifra sijine Pua, pangandikane:","Raja Mesir juga memerintahkan kepada bidan-bidan yang menolong perempuan Ibrani, seorang bernama Sifra dan yang lain bernama Pua, katanya:"
16,Keluaran 1,16,"“Samangsa sira nulungi wong wadon bangsa Ibrani kang nglairake anak, sira kudu namatake, manawa bayine lair lanang, enggal sira patenana, dene yen wadon kena lestari urip.”","""Apabila kamu menolong perempuan Ibrani pada waktu bersalin, kamu harus memperhatikan waktu anak itu lahir: jika anak laki-laki, kamu harus membunuhnya, tetapi jika anak perempuan, bolehlah ia hidup."""
17,Keluaran 1,17,"Nanging bidhan-bidhan mau wedi marang Gusti Allah, mulane ora ngestokake dhawuhe Sang Raja ing Mesir, dadi bayi-bayine kang lanang iya padha diuripi.","Tetapi bidan-bidan itu takut akan Allah dan tidak melakukan seperti yang dikatakan raja Mesir kepada mereka, dan membiarkan bayi-bayi itu hidup."
18,Keluaran 1,18,"Sang Raja ing Mesir banjur nimbali bidhan-bidhan mau sarta padha didangu: “Yagene sira tumindak mangkono, isih nguripi bayi-bayi iku?”","Lalu raja Mesir memanggil bidan-bidan itu dan bertanya kepada mereka: ""Mengapakah kamu berbuat demikian membiarkan hidup bayi-bayi itu?"""
19,Keluaran 1,19,"Unjuke bidhan-bidhan iku marang Sang Prabu Pringon: “Kauningana, tiyang estri Ibrani punika boten sami kaliyan tiyang estri Mesir, sami kiyat-kiyat; saderengipun bidhan dhateng, bayi sampun lair.”","Jawab bidan-bidan itu kepada Firaun: ""Sebab perempuan Ibrani tidak sama dengan perempuan Mesir; melainkan mereka kuat: sebelum bidan datang, mereka telah bersalin."""
20,Keluaran 1,20,"Marga saka iku Gusti Allah banjur paring kamirahan marang bidhan-bidhan mau, dene bangsa iku saya wuwuh akeh maneh nganti tikel-matikel.",Maka Allah berbuat baik kepada bidan-bidan itu; bertambah banyaklah bangsa itu dan sangat berlipat ganda.
21,Keluaran 1,21,"Sarehne bidhan-bidhan iku padha ngabekti marang Gusti Allah, mulane padha dilestarekake turune.","Dan karena bidan-bidan itu takut akan Allah, maka Ia membuat mereka berumah tangga."
22,Keluaran 1,22,"Sang Prabu Pringon tumuli dhawuh marang para kawulane kabeh: “Sakehe anake wong Ibrani kang lair lanang padha cemplungna ing bengawan Nil, dene kang wadon iku uripana.”","Lalu Firaun memberi perintah kepada seluruh rakyatnya: ""Lemparkanlah segala anak laki-laki yang lahir bagi orang Ibrani ke dalam sungai Nil; tetapi segala anak perempuan biarkanlah hidup."""
23,Keluaran 2,0,Miyose Nabi Musa lan anggone kagulawenthah nganti diwasa,Musa lahir dan diselamatkan
24,Keluaran 2,1,Ana wong lanang turune Lewi omah-omah karo wong wadon iya turune Lewi;,Seorang laki-laki dari keluarga Lewi kawin dengan seorang perempuan Lewi;
25,Keluaran 2,2,"wong wadon iku tumuli ngandhut sarta nglairake anak lanang. Bareng weruh yen bayine iku bagus, nuli didhelikake nganti telung sasi lawase.","lalu mengandunglah ia dan melahirkan seorang anak laki-laki. Ketika dilihatnya, bahwa anak itu cantik, disembunyikannya tiga bulan lamanya."
26,Keluaran 2,3,"Nanging sarehne sabanjure wus ora bisa didhelikake maneh, mulane dijupukake pethi pandhan, dipopok nganggo aspal lan tir, bayine banjur diselehake ing jerone, sarta pethi iku mau nuli didokok ing satengahe wlingen ing pinggir bengawan Nil.","Tetapi ia tidak dapat menyembunyikannya lebih lama lagi, sebab itu diambilnya sebuah peti pandan, dipakalnya dengan gala-gala dan ter, diletakkannya bayi itu di dalamnya dan ditaruhnya peti itu di tengah-tengah teberau di tepi sungai Nil;"
27,Keluaran 2,4,Bakyune ngadeg kepara adoh karo ngawat-awati lan arep weruh kapriye bakal kadadeane.,"kakaknya perempuan berdiri di tempat yang agak jauh untuk melihat, apakah yang akan terjadi dengan dia."
28,Keluaran 2,5,"Ing kono putrane putri Sang Prabu Pringon tindak menyang ing bengawan Nil karsa siram, sarta para nyaine padha dolan-dolan ana ing sapinggire bengawan, Sang Putri tumuli mirsa pethi kang ana ing satengahe wlingen, banjur utusan embane njupuk.","Maka datanglah puteri Firaun untuk mandi di sungai Nil, sedang dayang-dayangnya berjalan-jalan di tepi sungai Nil, lalu terlihatlah olehnya peti yang di tengah-tengah teberau itu, maka disuruhnya hambanya perempuan untuk mengambilnya."
29,Keluaran 2,6,"Bareng dibukak, mirsa bayine lagi nangis, temah runtuh welase sarta ngandika: “Bayi iki genah anake wong Ibrani!”","Ketika dibukanya, dilihatnya bayi itu, dan tampaklah anak itu menangis, sehingga belas kasihanlah ia kepadanya dan berkata: ""Tentulah ini bayi orang Ibrani."""
30,Keluaran 2,7,Bakyune banjur matur marang putrine Sang Prabu Pringon: “Punapa kawula kepareng madosaken panjenengan dalem inya tiyang Ibrani ingkang nesepi bayi punika?”,"Lalu bertanyalah kakak anak itu kepada puteri Firaun: ""Akan kupanggilkah bagi tuan puteri seorang inang penyusu dari perempuan Ibrani untuk menyusukan bayi itu bagi tuan puteri?"""
31,Keluaran 2,8,Paring wangsulane putrine Sang Prabu Pringon: “Iya becik!” Prawan mau tumuli lunga ngundang ibune bayi iku.,"Sahut puteri Firaun kepadanya: ""Baiklah."" Lalu pergilah gadis itu memanggil ibu bayi itu."
32,Keluaran 2,9,"Sang Putri banjur ngandika marang wong wadon iku: “Bayi iki gawanen, susonana; kowe bakal dakwenehi pituwas.” Wong wadon mau banjur nggawa bayine disusoni.","Maka berkatalah puteri Firaun kepada ibu itu: ""Bawalah bayi ini dan susukanlah dia bagiku, maka aku akan memberi upah kepadamu."" Kemudian perempuan itu mengambil bayi itu dan menyusuinya."
33,Keluaran 2,10,"Bareng bocahe wus gedhe, banjur diaturake marang putrine Sang Prabu Pringon, dipundhut dadi putra angkat lan diparingi nama Musa, pangandikane: “Marga dakentasake saka ing banyu.”","Ketika anak itu telah besar, dibawanyalah kepada puteri Firaun, yang mengangkatnya menjadi anaknya, dan menamainya Musa, sebab katanya: ""Karena aku telah menariknya dari air."""
34,Keluaran 2,0,Sang Musa mbelani bangsane lan ngungsi menyang ing tanah Midian,Musa membela bangsanya Ia lari ke tanah Midian
35,Keluaran 2,11,"Kacarita bareng Sang Musa wus diwasa, tindak-tindak nuweni para kadange, kepengin nguningani anggone nindakake pagawean peksan; nuli mirsa ana wong Mesir menthung wong Ibrani, panunggalane para kadange.","Pada waktu itu, ketika Musa telah dewasa, ia keluar mendapatkan saudara-saudaranya untuk melihat kerja paksa mereka; lalu dilihatnyalah seorang Mesir memukul seorang Ibrani, seorang dari saudara-saudaranya itu."
36,Keluaran 2,12,"Sawuse ngawasake ngiwa-nengen lan uninga yen ora ana wong, wong Mesir mau banjur dipateni, jisime dipendhem ana ing pawedhen.","Ia menoleh ke sana sini dan ketika dilihatnya tidak ada orang, dibunuhnya orang Mesir itu, dan disembunyikannya mayatnya dalam pasir."
37,Keluaran 2,13,"Bareng esuke tindak maneh, sarta mirsa ana wong Ibrani loro kang lagi padha kerengan, kang salah banjur didangu: “Yagene kowe kok nggitiki kancamu?”","Ketika keesokan harinya ia keluar lagi, didapatinya dua orang Ibrani tengah berkelahi. Ia bertanya kepada yang bersalah itu: ""Mengapa engkau pukul temanmu?"""
38,Keluaran 2,14,"Wangsulane wong iku: “Sinten ingkang ngangkat panjenengan dados pemimpin lan hakim kula? Punapa kula badhe panjenengan pejahi kados anggen panjenengan mejahi tiyang Mesir punika?” Ing kono Sang Musa kuwatos, pangunandikane: “Prakara iki genah wus kaweruhan!”","Tetapi jawabnya: ""Siapakah yang mengangkat engkau menjadi pemimpin dan hakim atas kami? Apakah engkau bermaksud membunuh aku, sama seperti engkau telah membunuh orang Mesir itu?"" Musa menjadi takut, sebab pikirnya: ""Tentulah perkara itu telah ketahuan."""
39,Keluaran 2,15,"Sang Prabu Pringon bareng midhanget prakara mau, nuli golek reka-daya arep nyedani Sang Musa. Nanging Sang Musa lolos saka ngarsane Sang Prabu Pringon, lan rawuh ing tanah Midian, banjur lenggah ana ing sapinggiring belik.","Ketika Firaun mendengar tentang perkara itu, dicarinya ikhtiar untuk membunuh Musa. Tetapi Musa melarikan diri dari hadapan Firaun dan tiba di tanah Midian, lalu ia duduk-duduk di tepi sebuah sumur."
40,Keluaran 2,16,"Anadene imam ing Midian iku kagungan putra estri pitu, iku mbeneri teka ngangsu ngiseni wadhah-wadhah kanggo ngombeni wedhus-wedhuse ramane.",Adapun imam di Midian itu mempunyai tujuh anak perempuan. Mereka datang menimba air dan mengisi palungan-palungan untuk memberi minum kambing domba ayahnya.
41,Keluaran 2,17,"Nuli ana pangon-pangon lanang teka, bocah-bocah wadon mau padha diundurake saka ing kono, nanging Sang Musa banjur jumeneng nulungi sarta ngombeni wedhus-wedhuse.","Maka datanglah gembala-gembala yang mengusir mereka, lalu Musa bangkit menolong mereka dan memberi minum kambing domba mereka."
42,Keluaran 2,18,"Satekane bocah-bocah wadon mau ana ing ngarsane Imam Rehuel, ramane, banjur padha didangu: “Sabab apa dene ing dina iki ulihmu kok enggal temen?”","Ketika mereka sampai kepada Rehuel, ayah mereka, berkatalah ia: ""Mengapa selekas itu kamu pulang hari ini?"""
43,Keluaran 2,19,"Atur wangsulane: “Wonten satunggaling tiyang Mesir ingkang nulungi kula saking tindakipun para pangen, malah kula dipun timbakaken ngantos kathah, saha lajeng ngombeni menda-mendanipun.”","Jawab mereka: ""Seorang Mesir menolong kami terhadap gembala-gembala, bahkan ia menimba air banyak-banyak untuk kami dan memberi minum kambing domba."""
44,Keluaran 2,20,Panjenengane nuli ngandika marang para putrane: “Wonge saiki ana ngendi? Yagene kok koktinggal? Undangen mangan ta!”,"Ia berkata kepada anak-anaknya: ""Di manakah ia? Mengapakah kamu tinggalkan orang itu? Panggillah dia makan."""
