,bab,ayat,jawa,indo
0,Kidung Agung 1,1,Musthikaning Kidung anggitane Sang Prabu Suleman.,Kidung agung dari Salomo.
1,Kidung Agung 1,0,Panganten putri lan para putri ing Yerusalem Aku muga ingarasana kalawan pangarasing lathine!,Mempelai perempuan dan puteri-puteri Yerusalem
2,Kidung Agung 1,2,"Amargi katresnan Paduka punika nikmatipun nglangkungi anggur,","--Kiranya ia mencium aku dengan kecupan! Karena cintamu lebih nikmat dari pada anggur,"
3,Kidung Agung 1,3,"lisah Paduka wangi gandanipun, asma Paduka kadya lisah ingesok, milanipun para kenya sami tresna dhumateng Paduka.","harum bau minyakmu, bagaikan minyak yang tercurah namamu, oleh sebab itu gadis-gadis cinta kepadamu!"
4,Kidung Agung 1,4,"Kawula mugi Paduka gendeng ing pengkeran Paduka, sumangga sami enggal-enggal tindak! Sang Prabu wus mbekta aku menyang ing jero kadhatone. Kawula sami badhe surak-surak lan sukarena margi saking Paduka, kawula sami badhe ngalembana sih Paduka ingkang ngungkuli anggur! Sampun samesthinipun sami tresna dhumateng Paduka!","Tariklah aku di belakangmu, marilah kita cepat-cepat pergi! Sang raja telah membawa aku ke dalam maligai-maligainya. Kami akan bersorak-sorai dan bergembira karena engkau, kami akan memuji cintamu lebih dari pada anggur! Layaklah mereka cinta kepadamu!"
5,Kidung Agung 1,5,"Dhuh para putri ing Yerusalem, pancen pakulitanku ireng, nanging manis, kadi kemahe bangsa Kedar, lir klambu-klambune wong Salma.","Memang hitam aku, tetapi cantik, hai puteri-puteri Yerusalem, seperti kemah orang Kedar, seperti tirai-tirai orang Salma."
6,Kidung Agung 1,6,"Aja kokgatekake anggonku ireng, amarga sumeleting surya nggesengake aku. Putra-putrane ibuku padha muring-muring marang aku, aku didadekake panjaga pakebonan anggur, pakebonane anggurku dhewe ora dakopeni.","Janganlah kamu perhatikan bahwa aku hitam, karena terik matahari membakar aku. Putera-putera ibuku marah kepadaku, aku dijadikan mereka penjaga kebun-kebun anggur; kebun anggurku sendiri tak kujaga."
7,Kidung Agung 1,7,"Dhuh gantilaning nalaningwang, kawula mugi Paduka wartosi, wonten ing pundi anggen Paduka angen menda, wonten ing pundi anggen Paduka mlegungaken pepanthan Paduka ing wanci dalu? Awit punapaa dene kawula ngantos kados tiyang nglembara celak pepanthanipun menda mitra-mitra Paduka?","Ceriterakanlah kepadaku, jantung hatiku, di mana kakanda menggembalakan domba, di mana kakanda membiarkan domba-domba berbaring pada petang hari. Karena mengapa aku akan jadi serupa pengembara dekat kawanan-kawanan domba teman-temanmu?"
8,Kidung Agung 1,8,"Dhuh wanita kang sulistya dhewe ana ing satengahe para wanita, manawa kowe durung sumurup, ngetutna tapak-tapake wedhus lan angona cempe-cempemu ing sacedhaking pakemahane para pangon.","--Jika engkau tak tahu, hai jelita di antara wanita, ikutilah jejak-jejak domba, dan gembalakanlah anak-anak kambingmu dekat perkemahan para gembala."
9,Kidung Agung 1,0,Penganten kakung lan penganten putri alem-ingalem sesauran,Mempelai laki-laki dan mempelai perempuan puji-memuji
10,Kidung Agung 1,9,"-- Dhuh kekasihku, kowe sunupamakake jarane wadon kareta titihane Sang Prabu Pringon.","--Dengan kuda betina dari pada kereta-kereta Firaun kuumpamakan engkau, manisku."
11,Kidung Agung 1,10,"Pipimu katon endah ingapit rerenggan, mangkono uga gulumu kang kinalungan.",Moleklah pipimu di tengah perhiasan-perhiasan dan lehermu di tengah kalung-kalung.
12,Kidung Agung 1,11,Kowe arep dakyasakake rerenggan-rerenggan emas kalawan menuran selaka.,Kami akan membuat bagimu perhiasan-perhiasan emas dengan manik-manik perak.
13,Kidung Agung 1,12,"-- Sasuwene Sang Prabu lenggah dhahar, naredku amrik gandane.","--Sementara sang raja duduk pada mejanya, semerbak bau narwastuku."
14,Kidung Agung 1,13,"Kekasihku iku tumraping aku kaya mur sabuntel, sumelip ing antarane payudaraku.","Bagiku kekasihku bagaikan sebungkus mur, tersisip di antara buah dadaku."
15,Kidung Agung 1,14,"Kekasihku iku tumraping aku kaya kembang pacar sadhompol, ing pakebonan anggur ing En-Gedhi.",Bagiku kekasihku setangkai bunga pacar di kebun-kebun anggur En-Gedi.
16,Kidung Agung 1,15,"-- Lah memanisku, kowe iku sulistya, sanyata endah ing warna kowe iku, mripatira pindha manuk dara.","--Lihatlah, cantik engkau, manisku, sungguh cantik engkau, bagaikan merpati matamu."
17,Kidung Agung 1,16,"-- Dhuh kekasih kawula, Paduka punika bagus, saestu nenarik manah, pasarean kita punika saestu sakeca.","--Lihatlah, tampan engkau, kekasihku, sungguh menarik; sungguh sejuk petiduran kita."
18,Kidung Agung 1,17,"Griya kita punika balok-balokipun kajeng eres, gebyogipun kajeng eru.","Dari kayu aras balok-balok rumah kita, dari kayu eru papan dinding-dinding kita."
19,Kidung Agung 2,1,"-- Kawula punika sekar mawar saking Saron, sekar bakung ing lebak.","Bunga mawar dari Saron aku, bunga bakung di lembah-lembah."
20,Kidung Agung 2,2,-- Memanisku iku ana ing satengahe para kenya pindha kembang bakung ing satengahing eren.,"--Seperti bunga bakung di antara duri-duri, demikianlah manisku di antara gadis-gadis."
21,Kidung Agung 2,3,"-- Kekasihku iku ana ing satengahe para nom-noman kaya wit apel ing satengahing wit-witan ing alas. Aku kepengin lungguh ana ing ayome, wohe legi tumrap ing cethakku.","--Seperti pohon apel di antara pohon-pohon di hutan, demikianlah kekasihku di antara teruna-teruna. Di bawah naungannya aku ingin duduk, buahnya manis bagi langit-langitku."
22,Kidung Agung 2,4,Aku kinanthi lumebu ing papan pahargyan lan tunggul kang ana ing dhuwurku iku tresna.,"Telah dibawanya aku ke rumah pesta, dan panjinya di atasku adalah cinta."
23,Kidung Agung 2,5,"Bok aku kinuwatna srana panganan kismis, sinegerna kalawan woh apel.","Kuatkanlah aku dengan penganan kismis, segarkanlah aku dengan buah apel, sebab sakit asmara aku."
24,Kidung Agung 2,6,"Amarga aku nandhang lara asmara. Astane kiwa ana ing ngisoring sirahku, astane tengen ngrangkul aku.","Tangan kirinya ada di bawah kepalaku, tangan kanannya memeluk aku."
25,Kidung Agung 2,7,"He, para putri ing Yerusalem, kowe padha sunsupatani, demi kidang-kidang utawa menjangan wadon ing ara-ara; kowe aja nggugah lan ngobahake katresnan, sadurunge dikarepake!","Kusumpahi kamu, puteri-puteri Yerusalem, demi kijang-kijang atau demi rusa-rusa betina di padang: jangan kamu membangkitkan dan menggerakkan cinta sebelum diingininya!"
26,Kidung Agung 2,0,Ing korining penganten putri,Di pintu mempelai perempuan
27,Kidung Agung 2,8,"Rungokna! Kekasihku! Sawangen rawuhe, mlumpat-mlumpat ing gunung-gunung, mencolot-mencolot ing tengger-tengger!","Dengarlah! Kekasihku! Lihatlah, ia datang, melompat-lompat di atas gunung-gunung, meloncat-loncat di atas bukit-bukit."
28,Kidung Agung 2,9,"Kekasihku iku kaya kidang, utawa anak menjangan. Delengen, panjenengane jumeneng ing saburining tembok kita, kambi ngungak-ungak liwat cendhela-cendhela lan nginjen ing ruji-ruji.","Kekasihku serupa kijang, atau anak rusa. Lihatlah, ia berdiri di balik dinding kita, sambil menengok-nengok melalui tingkap-tingkap dan melihat dari kisi-kisi."
29,Kidung Agung 2,10,"Kekasihku wiwit ngandika marang aku: “Tangia, memanisku, mrenea, intenku!","Kekasihku mulai berbicara kepadaku: ""Bangunlah manisku, jelitaku, marilah!"
30,Kidung Agung 2,11,"Awitdene delengen, mangsa atis wis kliwat, udane wis terang, lan wis kepungkur.","Karena lihatlah, musim dingin telah lewat, hujan telah berhenti dan sudah lalu."
31,Kidung Agung 2,12,"Ing pategalan wis katon kembang-kembang, wis mangsane methik; anggunge perkutut wis keprungu ana ing tanah kita.","Di ladang telah nampak bunga-bunga, tibalah musim memangkas; bunyi tekukur terdengar di tanah kita."
32,Kidung Agung 2,13,"Wit anjir wiwit awoh, lan kembanging wit anggur ngambar gandane. Tangia, memanisku, mrenea, intenku!","Pohon ara mulai berbuah, dan bunga pohon anggur semerbak baunya. Bangunlah, manisku, jelitaku, marilah!"
33,Kidung Agung 2,14,"Manukku dara ana ing lowahan-lowahaning parang, ana ing pandhelikan ing ereng-erenging gunung, pamerna paraupanmu, wetokna suwaramu; amarga arum suwaramu, lan endah warnamu!”","Merpatiku di celah-celah batu, di persembunyian lereng-lereng gunung, perlihatkanlah wajahmu, perdengarkanlah suaramu! Sebab merdu suaramu dan elok wajahmu!"""
34,Kidung Agung 2,15,"Aku padha cekelna asu wawar iku, asu wawar kang cilik, kang ngrusak pakebonan anggur, pakebonan anggurku kang nedhenge kembang!","Tangkaplah bagi kami rubah-rubah itu, rubah-rubah yang kecil, yang merusak kebun-kebun anggur, kebun-kebun anggur kami yang sedang berbunga!"
35,Kidung Agung 2,16,Kekasihku iku darbekku lan aku iki kagungane kang ngengen wedhus ana ing satengahing kembang bakung.,"Kekasihku kepunyaanku, dan aku kepunyaan dia yang menggembalakan domba di tengah-tengah bunga bakung."
36,Kidung Agung 2,17,"Sadurunge angin sore midid lan ayang-ayang ilang dhuh kekasih kawula, Paduka mugi kersaa wangsul, saha karsaa tumindak kados kidang utawi kados anak sangsam ingkang wonten ing redi-redi taneman anggi-anggi!","Sebelum angin senja berembus dan bayang-bayang menghilang, kembalilah, kekasihku, berlakulah seperti kijang, atau seperti anak rusa di atas gunung-gunung tanaman rempah-rempah!"
37,Kidung Agung 3,0,Kang diimpi-impi penganten putri,Impian mempelai perempuan
38,Kidung Agung 3,1,"Nuju ing wayah bengi aku nggoleki gantilaning atiku ana ing paturonku. Dakgoleki, nanging ora ketemu.","Di atas ranjangku pada malam hari kucari jantung hatiku. Kucari, tetapi tak kutemui dia."
39,Kidung Agung 3,2,"Aku arep tangi lan mubeng-mubeng ing kutha ing lurung-lurung lan ing alun-alun Panjenengane dakgoleki, gantilaning atiku iku. Dakgoleki, nanging ora tinemu.","Aku hendak bangun dan berkeliling di kota; di jalan-jalan dan di lapangan-lapangan kucari dia, jantung hatiku. Kucari, tetapi tak kutemui dia."
40,Kidung Agung 3,3,Aku kepethuk para wong rondha ing kutha. “Punapa sampeyan sumerep ingkang dados gantilaning manah kula?”,"Aku ditemui peronda-peronda kota. ""Apakah kamu melihat jantung hatiku?"""
41,Kidung Agung 3,4,"Lagi bae aku padha ungkur-ungkuran karo para wong rondha mau, aku ketemu karo gantilaning atiku; banjur dakcandhak lan ora dakculculake, nganti dakkanthi menyang ing daleme ibuku, ing kamare kang nglairake aku.","Baru saja aku meninggalkan mereka, kutemui jantung hatiku; kupegang dan tak kulepaskan dia, sampai kubawa dia ke rumah ibuku, ke kamar orang yang melahirkan aku."
42,Kidung Agung 3,5,"He, para putri ing Yerusalem, kowe padha daksupatani; demi kidang-kidang lan menjangan-menjangan ing ara-ara: Kowe aja padha nggugah lan ngobahake katresnan sadurunge dikarepake.","Kusumpahi kamu, puteri-puteri Yerusalem, demi kijang-kijang atau demi rusa-rusa betina di padang: jangan kamu membangkitkan dan menggerakkan cinta sebelum diingininya!"
43,Kidung Agung 3,0,Arak-arakan penganten,Iring-iringan mempelai
44,Kidung Agung 3,6,Lah apa ta iku kang kumelun saka ing ara-ara samun kaya kumebuling kukus kasaput ing wangining mur lan menyan lan uwur wangi warna-warna saka wong dagang?,Apakah itu yang membubung dari padang gurun seperti gumpalan-gumpalan asap tersaput dengan harum mur dan kemenyan dan bau segala macam serbuk wangi dari pedagang?
45,Kidung Agung 3,7,"Lah iku joli titihane Sang Prabu Suleman, ginarebeg ing prawira sawidak, saka panunggalane para prawira ing Israel.","Lihat, itulah joli Salomo, dikelilingi oleh enam puluh pahlawan dari antara pahlawan-pahlawan Israel."
46,Kidung Agung 3,8,"Kabeh padha asikep pedhang, lanteh ing perang, kabeh padha nyengkelit pedhang, marga saka pagirising wayah bengi.","Semua membawa pedang, terlatih dalam perang, masing-masing dengan pedang pada pinggang karena kedahsyatan malam."
47,Kidung Agung 3,9,Sang Prabu Suleman wus yasa tandhu kayu ing Libanon.,Raja Salomo membuat bagi dirinya suatu tandu dari kayu Libanon.
48,Kidung Agung 3,10,"Saka-sakane kang ginawe selaka, sendhenane emas, palenggahane warnane wungu, ing jerone rinengga ing kayu areng. He para putri ing Yerusalem,","Tiang-tiangnya dibuatnya dari perak, sandarannya dari emas, tempat duduknya berwarna ungu, bagian dalamnya dihiasi dengan kayu arang. Hai puteri-puteri Yerusalem,"
49,Kidung Agung 3,11,"para putri ing Sion, padha metua, lan nyawanga marang Sang Prabu Suleman, ngagem makutha, kang diagemake dening kang ibu nalika dina pikramane, ing dina sukarenane galihe.","puteri-puteri Sion, keluarlah dan tengoklah raja Salomo dengan mahkota yang dikenakan kepadanya oleh ibunya pada hari pernikahannya, pada hari kesukaan hatinya."
50,Kidung Agung 4,0,Penganten kakung ngalembana penganten putri,Mempelai laki-laki memuji mempelai perempuan
51,Kidung Agung 4,1,"Dhuh, memanisku, kowe iku sulistya, sanyata endah warnamu iku! Mripatmu katon lir manuk dara, ana ing sangisoring kudhungmu. Rambutmu pindha pepanthan wedhus kang katon ngombak-ombak mudhun saka ing pagunungan Gilead.","Lihatlah, cantik engkau, manisku, sungguh cantik engkau! Bagaikan merpati matamu di balik telekungmu. Rambutmu bagaikan kawanan kambing yang bergelombang turun dari pegunungan Gilead."
52,Kidung Agung 4,2,"Untumu kadi pepanthan wedhus gembel kang lagi bae kacukuran, lan metu saka ing pangguyangan, kang kabeh manak kembar sarta ora ana kang ora duwe anak.","Gigimu bagaikan kawanan domba yang baru saja dicukur, yang keluar dari tempat pembasuhan, yang beranak kembar semuanya, yang tak beranak tak ada."
53,Kidung Agung 4,3,"Lambemu lir pita jingga, tutukmu endah. Pilinganmu katon lir woh delima sinigar ana ing sangisoring kudhungira.","Bagaikan seutas pita kirmizi bibirmu, dan elok mulutmu. Bagaikan belahan buah delima pelipismu di balik telekungmu."
54,Kidung Agung 4,4,"Gulumu kadi menarane Sang Prabu Dawud, kang binangun kanggo nyimpen gegaman, tameng sewu cumanthel ana ing kono sarta gadane para prawira kabeh.","Lehermu seperti menara Daud, dibangun untuk menyimpan senjata. Seribu perisai tergantung padanya dan gada para pahlawan semuanya."
55,Kidung Agung 4,5,Payudaramu pindha anak menjangan loro utawa anak kidang kembar kang lagi nyenggut ana ing satengahing kembang bakung.,"Seperti dua anak rusa buah dadamu, seperti anak kembar kijang yang tengah makan rumput di tengah-tengah bunga bakung."
56,Kidung Agung 4,6,"Sadurunge angin sore midid lan ayang-ayang ngilang, aku kepengin munggah menyang ing gunung mur lan ing pagunungan menyan.","Sebelum angin senja berembus dan bayang-bayang menghilang, aku ingin pergi ke gunung mur dan ke bukit kemenyan."
57,Kidung Agung 4,7,"Kowe iku sulistya banget, dhuh memanisku, awakmu ora kadunungan cacad.","Engkau cantik sekali, manisku, tak ada cacat cela padamu."
58,Kidung Agung 4,8,"Mara tumuruna mrene saka ing gunung Libanon, dhuh pengantenku, mudhuna mrene saka ing gunung Libanon; mudhuna saka ing pucake gunung Amana, saka pucake gunung Senir lan gunung Hermon, saka guwa-guwaning singa, lan pagunungan panggonaning macan tutul!","Turunlah kepadaku dari gunung Libanon, pengantinku, datanglah kepadaku dari gunung Libanon, turunlah dari puncak Amana, dari puncak Senir dan Hermon, dari liang-liang singa, dari pegunungan tempat macan tutul!"
59,Kidung Agung 4,9,"Kowe gawe dheg-dhegane atiku, yayi, pengantenku, kalawan sakedhepaning mripatmu kowe gawe dheg-dheganing atiku sarta kalawan kalung ing gulumu saoncen.","Engkau mendebarkan hatiku, dinda, pengantinku, engkau mendebarkan hati dengan satu kejapan mata, dengan seuntai kalung dari perhiasan lehermu."
60,Kidung Agung 4,10,"Pancen nyata nikmat tresnamu, dhuh yayi, pengantenku. Tresnamu iku nikmate ngluwihi anggur, lan aruming lengamu ngluwihi sawarnaning anggi-anggi.","Betapa nikmat kasihmu, dinda, pengantinku! Jauh lebih nikmat cintamu dari pada anggur, dan lebih harum bau minyakmu dari pada segala macam rempah."
61,Kidung Agung 4,11,"Madu murni tumetes saka ing lambemu, pengantenku, madu lan susu ana ing sangisoring ilatmu, lan gandaning sandhanganmu iku pindha gandaning gunung Libanon.","Bibirmu meneteskan madu murni, pengantinku, madu dan susu ada di bawah lidahmu, dan bau pakaianmu seperti bau gunung Libanon."
