,bab,ayat,jawa,indo
0,Maleakhi 1,0,Irah-irahan,Judul
1,Maleakhi 1,1,Wangsiting Pangeran. Pangandikane Sang Yehuwah marang Israel lumantar Nabi Maleakhi.,Ucapan ilahi. Firman TUHAN kepada Israel dengan perantaraan Maleakhi.
2,Maleakhi 1,0,Pangeran Yehuwah ngasihi Israel,TUHAN mengasihi Israel
3,Maleakhi 1,2,"“Ingsun ngasihi marang sira,” -- mangkono pangandikane Sang Yehuwah --. Nanging sira munjuk: “Anggen Paduka ngasihi kawula caranipun kadospundi?” “Esap iku rak kamase Yakub,” -- mangkono pangandikane Pangeran Yehuwah --, “ewasamono Yakub Sunkasihi,","""Aku mengasihi kamu,"" firman TUHAN. Tetapi kamu berkata: ""Dengan cara bagaimanakah Engkau mengasihi kami?"" ""Bukankah Esau itu kakak Yakub?"" demikianlah firman TUHAN. ""Namun Aku mengasihi Yakub,"
4,Maleakhi 1,3,"sarta Esap Sunsengiti, mulane pagunungane Sundamel sepi mamring, sarta bumi pusakane Sundadekake panggonane asu ing ara-ara samun.”","tetapi membenci Esau. Sebab itu Aku membuat pegunungannya menjadi sunyi sepi dan tanah pusakanya Kujadikan padang gurun."""
5,Maleakhi 1,4,"Saupama Edom duwe pangucap: “Aku wus padha rusak, nanging jugrugane bakal padha dakbangun maneh,” nuli pangandikane Sang Yehuwah Gustine sarwa dumadi mangkene: “Wong iku kena padha mbangun, nanging iku bakal Sunbubrah, sarta jenenge bakal kasebut: wewengkoning kadursilan, sarta bangsa kang dibendoni dening Pangeran Yehuwah ing salawas-lawase.”","Apabila Edom berkata: ""Kami telah hancur, tetapi kami akan membangun kembali reruntuhan itu,"" maka beginilah firman TUHAN semesta alam: ""Mereka boleh membangun, tetapi Aku akan merobohkannya; dan orang akan menyebutkannya daerah kefasikan dan bangsa yang kepadanya TUHAN murka sampai selama-lamanya."""
6,Maleakhi 1,5,"Mripatira bakal nyipati, lan sira dhewe bakal padha ngucap mangkene: “Pangeran Yehuwah iku mahaluhur nganti tekan ing sajabaning tlatah Israel.”","Matamu akan melihat dan kamu sendiri akan berkata: ""TUHAN maha besar sampai di luar daerah Israel."""
7,Maleakhi 1,0,Bab najisake kurban-kurban,Pencemaran korban-korban
8,Maleakhi 1,6,"Anak iku ngajeni bapakne, lan abdi iku ngajeni bendarane. Manawa Ingsun iku jumeneng Rama, endi pakurmatan kang marang Ingsun iku? Sarta manawa Ingsun iki dadi bendara, endi rasa wedi kang marang Ingsun iku? -- mangkono pangandikane Pangeran Yehuwah Gustine sarwa dumadi marang kowe kabeh, -- he, para imam kang ngremehake asmaningSun? Nanging sira padha munjuk pitakon: “Kanthi patrap kadospundi anggen kawula ngremehaken asma Paduka?”","Seorang anak menghormati bapanya dan seorang hamba menghormati tuannya. Jika Aku ini bapa, di manakah hormat yang kepada-Ku itu? Jika Aku ini tuan, di manakah takut yang kepada-Ku itu? firman TUHAN semesta alam kepada kamu, hai para imam yang menghina nama-Ku. Tetapi kamu berkata: ""Dengan cara bagaimanakah kami menghina nama-Mu?"""
9,Maleakhi 1,7,"Sira padha nyaosake roti kang najis ana ing misbyahingSun, nanging padha munjuk: “Kanthi patrap kadospundi anggen kawula najisaken?” Kanthi anggonira ngira: “Mejane Pangeran Yehuwah iku kena disepelekake.”","Kamu membawa roti cemar ke atas mezbah-Ku, tetapi berkata: ""Dengan cara bagaimanakah kami mencemarkannya?"" Dengan cara menyangka: ""Meja TUHAN boleh dihinakan!"""
