,bab,ayat,jawa,indo
0,Mikha 1,0,Bebuka,Judul
1,Mikha 1,1,"Iki pangandikane Pangeran Yehuwah kang kadhawuhake marang Nabi Mikha wong Moresyet, nalika jamane Sang Prabu Yotam, Akhas lan Hizkia, para ratu ing Yehuda, yaiku gegayutan karo anggone kaparingan wahyu ing ngatase Samaria lan Yerusalem.","Firman TUHAN yang datang kepada Mikha, orang Moresyet, pada zaman Yotam, Ahas dan Hizkia, raja-raja Yehuda, yakni berkenaan dengan yang dilihatnya tentang Samaria dan Yerusalem."
2,Mikha 1,0,Pawarta bab paukumane Samaria,Pemberitahuan hukuman atas Samaria
3,Mikha 1,2,"He, sakehe para bangsa, padha ngrungokna! He, bumi dalah isine, padha nitenana, Pangeran Yehuwah kareben dadi seksi ing ngatase sira kabeh, iya Pangeran, saka ing padalemane kang suci.","Dengarlah, hai bangsa-bangsa sekalian! Perhatikanlah, hai bumi serta isinya! Biarlah Tuhan ALLAH menjadi saksi terhadap kamu, yakni Tuhan dari bait-Nya yang kudus."
4,Mikha 1,3,"Dene lah Pangeran Yehuwah miyos saka ing padalemane, lan tumedhak ana ing gunung-gununging bumi.","Sebab sesungguhnya, TUHAN keluar dari tempat-Nya dan turun berjejak di atas bukit-bukit bumi."
5,Mikha 1,4,"Gunung-gunung padha ajer ana ing sangisore sampeyane lan lebak-lebak padha bengkah kaya malam cedhak geni, kaya banyu nggrojog ana ing udhun-udhunan.","Luluhlah gunung-gunung di bawah kaki-Nya, dan lembah-lembah terbelah seperti lilin di depan api, seperti air tercurah di penurunan."
6,Mikha 1,5,"Iku kabeh kelakon marga saka panerake Yakub, lan saka dosane turune Israel. Apa ta panerake Yakub iku? Iku rak Samaria? Dosane turune Yehuda iku apa ta? Iku rak Yerusalem?","Semuanya ini terjadi karena pelanggaran Yakub, dan karena dosa kaum Israel. Pelanggaran Yakub itu apa? Bukankah itu Samaria? Dosa kaum Yehuda itu apa? Bukankah itu Yerusalem?"
7,Mikha 1,6,"Mulane Samaria bakal Sundadekake jugrugan ana ing ara-ara, dadi pakebonan anggur, watu-watune bakal Sunbuwangi ing lebak lan dhasar-dhasare bakal Suneler.","Sebab itu Aku akan membuat Samaria menjadi timbunan puing di padang, menjadi tempat penanaman pohon anggur. Aku akan menggulingkan batu-batunya ke dalam lembah dan akan menyingkapkan dasar-dasarnya."
8,Mikha 1,7,"Reca-recane bakal padha diremuk lan sakehe pituwase laku bedhang bakal padha kaobong, lan sakehe brahalane bakal Sunsirnakake; awitdene kabeh mau kaklumpukake srana opahane laku bedhang, mulane bakal bali dadi opahaning bedhang maneh.","Segala patungnya akan diremukkan, segala upah sundalnya akan dibakar, dan segala berhalanya akan Kuhancurkan; sebab dari upah sundal dikumpulkan semuanya itu, dan akan kembali menjadi upah sundal."
9,Mikha 1,0,Sang Nabi ngadhuh-adhuh marga saka kaanane Yehuda lan Yerusalem,Nabi meratapi nasib Yehuda dan Yerusalem
