,bab,ayat,jawa,indo
0,Mazmur 1,0,Jilid I: (MASMUR 1--41); Bab uripe wong mursid lan uripe wong duraka,Jalan orang benar dan jalan orang fasik
1,Mazmur 1,1,"Rahayu wong kang lakune ora manut pangangen-angene wong duraka, lan ora ngambah dalane wong dosa sarta ora awor lungguh ing pajagongane wong memoyok,","Berbahagialah orang yang tidak berjalan menurut nasihat orang fasik, yang tidak berdiri di jalan orang berdosa, dan yang tidak duduk dalam kumpulan pencemooh,"
2,Mazmur 1,2,"nanging kang karem marang angger-anggere Sang Yehuwah, lan digilut-gilut rina wengi.","tetapi yang kesukaannya ialah Taurat TUHAN, dan yang merenungkan Taurat itu siang dan malam."
3,Mazmur 1,3,"Wong iku kaya wit kang tinandur ana ing sapinggiring kali, kang metokake woh ing kalamangsane, lan ora alum godhonge, apa bae kang ditandangi mesthi lestari.","Ia seperti pohon, yang ditanam di tepi aliran air, yang menghasilkan buahnya pada musimnya, dan yang tidak layu daunnya; apa saja yang diperbuatnya berhasil."
4,Mazmur 1,4,"Ora mangkono mungguh wong duraka, nanging prasasat mrambut kang kabur ing angin.",Bukan demikian orang fasik: mereka seperti sekam yang ditiupkan angin.
5,Mazmur 1,5,"Mulane wong duraka iku ora tulus ana ing ngarsane pangadilan, mangkono wong dosa ana ing pakumpulane para wong mursid;","Sebab itu orang fasik tidak akan tahan dalam penghakiman, begitu pula orang berdosa dalam perkumpulan orang benar;"
6,Mazmur 1,6,"amarga Sang Yehuwah mirsa lakune wong mursid, nanging lakune wong duraka iku ngener marang karusakan.","sebab TUHAN mengenal jalan orang benar, tetapi jalan orang fasik menuju kebinasaan."
7,Mazmur 2,0,MASMUR 2; Ratu kang jinebadan dening Sang Yehuwah,Raja yang diurapi TUHAN
8,Mazmur 2,1,"Geneya para bangsa padha mampang-mampang wringuten, lan para suku bangsa padha ngangen-angen kang tanpa guna?","Mengapa rusuh bangsa-bangsa, mengapa suku-suku bangsa mereka-reka perkara yang sia-sia?"
9,Mazmur 2,2,"Para raja ing bumi padha siyaga ing perang lan para panggedhe sakuthon arep ngayoni Sang Yehuwah lan Sang Jebadane, pangucape:",Raja-raja dunia bersiap-siap dan para pembesar bermufakat bersama-sama melawan TUHAN dan yang diurapi-Nya:
10,Mazmur 2,3,“Payo padha medhot dhadhunge lan mbuwang kendharate.”,"""Marilah kita memutuskan belenggu-belenggu mereka dan membuang tali-tali mereka dari pada kita!"""
11,Mazmur 2,4,"Panjenengane kang lenggah ana ing swarga iku gumujeng, Sang Yehuwah moyoki wong-wong mau.","Dia, yang bersemayam di sorga, tertawa; Tuhan mengolok-olok mereka."
12,Mazmur 2,5,Nuli padha didhawuhi kalawan bendu lan digirisake kalawan bramantyane:,Maka berkatalah Ia kepada mereka dalam murka-Nya dan mengejutkan mereka dalam kehangatan amarah-Nya:
13,Mazmur 2,6,"“Ingsun kang wus ngadegake ratuningSun ana ing Sion, gunungingSun kang suci.”","""Akulah yang telah melantik raja-Ku di Sion, gunung-Ku yang kudus!"""
14,Mazmur 2,7,Aku arep ngandhakake kekancingane Sang Yehuwah; pangandikane marang aku: “Sira iku putraningSun! Ingsun kang mutrakake Sira ing dina iki.,"Aku mau menceritakan tentang ketetapan TUHAN; Ia berkata kepadaku: ""Anak-Ku engkau! Engkau telah Kuperanakkan pada hari ini."
15,Mazmur 2,8,"Sira nyenyuwuna marang Ingsun, mesthi Sira Sunparingi para bangsa dadi pusakanira, lan pungkasaning bumi dadi darbekira.","Mintalah kepada-Ku, maka bangsa-bangsa akan Kuberikan kepadamu menjadi milik pusakamu, dan ujung bumi menjadi kepunyaanmu."
