,bab,ayat,jawa,indo
0,Nahum 1,0,Bebuka,Judul
1,Nahum 1,1,"Wangsit tumrap Niniwe. Kitab bab wahyune Nabi Nahum, wong Elkosy.","Ucapan ilahi tentang Niniwe. Kitab penglihatan Nahum, orang Elkosh."
2,Nahum 1,0,Bebendune Pangeran Yehuwah,Murka TUHAN
3,Nahum 1,2,"Pangeran Yehuwah iku Allah kang butajengan lan pemales, Pangeran Yehuwah iku pemales sarta kebak bebendu kang mulad-mulad, Pangeran Yehuwah paring piwales marang para satrune, sarta terus bae dukane marang para mengsahe.","TUHAN itu Allah yang cemburu dan pembalas, TUHAN itu pembalas dan penuh kehangatan amarah. TUHAN itu pembalas kepada para lawan-Nya dan pendendam kepada para musuh-Nya."
4,Nahum 1,3,"Pangeran Yehuwah iku gedhe sabare lan pinunjul pangwaose, nanging ora pisan-pisan wong kang salah linuputake saka ing paukuman. Panjenengane tindak ana ing sajroning lesus lan prahara, sarta mendhung iku lebuning sampeyane.","TUHAN itu panjang sabar dan besar kuasa, tetapi Ia tidak sekali-kali membebaskan dari hukuman orang yang bersalah. Ia berjalan dalam puting beliung dan badai, dan awan adalah debu kaki-Nya."
5,Nahum 1,4,"Sagara didukani temah dadi asat, lan sakehe kali padha kadadekake garing, Basyan lan Karmel padha dadi nglayung tetuwuhan ing Libanon padha alum.","Ia menghardik laut dan mengeringkannya, dan segala sungai dijadikan-Nya kering. Basan dan Karmel menjadi merana dan kembang Libanon menjadi layu."
6,Nahum 1,5,"Gunung-gunung padha gumeter ana ing ngarsane, lan tengger-tengger padha leleh. Bumi dadi sepi mamring ana ing ngarsane dalah jagad lan kang padha ngenggoni kabeh.","Gunung-gunung gemetar terhadap Dia, dan bukit-bukit mencair. Bumi menjadi sunyi sepi di hadapan-Nya, dunia serta seluruh penduduknya."
7,Nahum 1,6,"Sapa kang kuwat nadhahi bebendune? Sarta sapa kang bisa tetep ngadeg jejeg samangsa mulad-mulad bebendune? Bramatyane kaesokake kaya geni, tuwin gunung parang nganti padha jugrug.","Siapakah yang tahan berdiri menghadapi geram-Nya? Dan siapakah yang tahan tegak terhadap murka-Nya yang bernyala-nyala? Kehangatan amarah-Nya tercurah seperti api, dan gunung-gunung batu menjadi roboh di hadapan-Nya."
8,Nahum 1,7,"Pangeran Yehuwah iku asih-darma, dadi papan pangungsen ing dina karubedan; Panjenengane uninga marang para wong kang ngungsi marang Panjenengane",TUHAN itu baik; Ia adalah tempat pengungsian pada waktu kesusahan; Ia mengenal orang-orang yang berlindung kepada-Nya
9,Nahum 1,8,"sarta nyabrangake wong-wong iku nalika pinuju banjir gedhe. Nanging numpes nganti tapis wong kang padha nglawan Panjenengane, tuwin para mungsuhe padha kagiring kaparakake marang pepeteng.","dan menyeberangkan mereka pada waktu banjir. Ia menghabisi sama sekali orang-orang yang bangkit melawan Dia, dan musuh-Nya dihalau-Nya ke dalam gelap."
