,bab,ayat,jawa,indo
0,Nehemia 1,0,Pandongane Sang Nehemya tumrap wong Israel,Doa Nehemia bagi orang Israel
1,Nehemia 1,1,"Riwayate Sang Nehemya bin Hakhalya. Nalika panuju sasi Kislew, ing taun kang kaping rong puluh, nalika aku ana ing kadhaton Susan,","Riwayat Nehemia bin Hakhalya. Pada bulan Kislew tahun kedua puluh, ketika aku ada di puri Susan,"
2,Nehemia 1,2,"Hanani salah sawijine sadulurku nuli teka karo wong sawatara saka ing tanah Yehuda, banjur padha daktakoni bab kaanane wong Yahudi, yaiku kang ora padha katut katawan, kang bisa sumingkir saka ing panawaning mungsuh sarta kaanane Yerusalem.","datanglah Hanani, salah seorang dari saudara-saudaraku dengan beberapa orang dari Yehuda. Aku menanyakan mereka tentang orang-orang Yahudi yang terluput, yang terhindar dari penawanan dan tentang Yerusalem."
3,Nehemia 1,3,Tembunge marang aku: “Tiyang-tiyang ingkang taksih manggen wonten ing ngriku lan boten katut katawan punika sami sanget ngrekaos gesangipun sarta dados cacadan. Balowartinipun Yerusalem sampun kabibrah tuwin gapuranipun sampun sami kabesmi.”,"Kata mereka kepadaku: ""Orang-orang yang masih tinggal di daerah sana, yang terhindar dari penawanan, ada dalam kesukaran besar dan dalam keadaan tercela. Tembok Yerusalem telah terbongkar dan pintu-pintu gerbangnya telah terbakar."""
4,Nehemia 1,4,"Bareng aku krungu pawarta mangkono iku, aku tumuli lungguh sarta nangis lan susah atiku nganti sawatara dina, karodene aku puwasa lan ndedongan ana ing ngarsane Gusti Allahe saindenging langit.","Ketika kudengar berita ini, duduklah aku menangis dan berkabung selama beberapa hari. Aku berpuasa dan berdoa ke hadirat Allah semesta langit,"
5,Nehemia 1,5,"Unjukku: “Dhuh Sang Yehuwah, Gusti Allahipun saindenging langit, Paduka punika Gusti Allah ingkang Mahaagung sarta nggegirisi, ingkang ngantepi ing prasetyan saha ing sih-kadarmanipun tumrap ing tetiyang ingkang sami nresnani Panjenenganipun sarta netepi ing pepakenipun,","kataku: ""Ya, TUHAN, Allah semesta langit, Allah yang maha besar dan dahsyat, yang berpegang pada perjanjian dan kasih setia-Nya terhadap orang yang kasih kepada-Nya dan tetap mengikuti perintah-perintah-Nya,"
6,Nehemia 1,6,"mugi talingan Paduka tumilinga saha paningal Paduka mugi nguninganana, supados miyarsakaken ing pandonganipun abdi Paduka, ingkang kawula unjukaken wonten ing ngarsa Paduka rinten lan dalu kangge para kawula Paduka, tiyang Israel, kalayan ngakeni dosa, ingkang sampun sami kawula lampahi dhumateng Paduka. Ugi kawula dalah kulawarga kawula inggih sampun sami damel dosa.","berilah telinga-Mu dan bukalah mata-Mu dan dengarkanlah doa hamba-Mu yang sekarang kupanjatkan ke hadirat-Mu siang dan malam bagi orang Israel, hamba-hamba-Mu itu, dengan mengaku segala dosa yang kami orang Israel telah lakukan terhadap-Mu. Juga aku dan kaum keluargaku telah berbuat dosa."
7,Nehemia 1,7,"Kawula sami sampun kalepatan sanget dhumateng Paduka sarta sami boten netepi ing pepaken, pranatan tuwin tatanan ingkang sampun Paduka dhawuhaken dhateng abdi Paduka Musa.","Kami telah sangat bersalah terhadap-Mu dan tidak mengikuti perintah-perintah, ketetapan-ketetapan dan peraturan-peraturan yang telah Kauperintahkan kepada Musa, hamba-Mu itu."
8,Nehemia 1,8,"Paduka mugi ngengetana ing sabda Paduka ingkang sampun Paduka dhawuhaken dhumateng abdi Paduka Musa wau, inggih punika: “Manawa sira padha laku nasar, sira bakal padha Sunsebar ana ing antarane para bangsa.","Ingatlah akan firman yang Kaupesan kepada Musa, hamba-Mu itu, yakni: Bila kamu berubah setia, kamu akan Kucerai-beraikan di antara bangsa-bangsa."
9,Nehemia 1,9,"Nanging manawa padha mratobat marang Ingsun sarta netepi lan nglakoni ing pepakeningSun, sanadyan wong panunggalanira iku padha anaa ing poncoting langit, mesthi padha Sunklumpukake saka ing kono lan Sungawa menyang ing panggonan kang wus Sunpiji kanggo padununganing asmaningSun.","Tetapi, bila kamu berbalik kepada-Ku dan tetap mengikuti perintah-perintah-Ku serta melakukannya, maka sekalipun orang-orang buanganmu ada di ujung langit, akan Kukumpulkan mereka kembali dan Kubawa ke tempat yang telah Kupilih untuk membuat nama-Ku diam di sana."
10,Nehemia 1,10,"Punika rak sami dados para kawula Paduka, inggih umat Paduka ingkang sampun Paduka luwari srana kasekten Paduka ingkang ageng saha asta Paduka ingkang rosa.",Bukankah mereka ini hamba-hamba-Mu dan umat-Mu yang telah Kaubebaskan dengan kekuatan-Mu yang besar dan dengan tangan-Mu yang kuat?
11,Nehemia 1,11,"Dhuh Gusti Allah, talingan Paduka mugi nilingna dhateng pandonganipun abdi Paduka saha pandonganipun para kawula Paduka ingkang kanthi eklasing manah ngabekti dhateng asma Paduka, saha abdi Paduka mugi Paduka angsalna damel ing dinten punika saha manggiha sihpiwelasipun tiyang punika.” Ing wektu samana aku dadi juru pangunjukane Sang Prabu.","Ya, Tuhan, berilah telinga kepada doa hamba-Mu ini dan kepada doa hamba-hamba-Mu yang rela takut akan nama-Mu, dan biarlah hamba-Mu berhasil hari ini dan mendapat belas kasihan dari orang ini."" Ketika itu aku ini juru minuman raja."
12,Nehemia 2,0,Sang Nehemya kautus menyang Yerusalem,Nehemia diutus ke Yerusalem
13,Nehemia 2,1,"Ing sasi Nisan, ing taun kang kaping rong puluhe paprentahane Sang Prabu Artahsasta, nalika aku nindakake kawajibanku nyawisake anggur, aku njupuk anggur daksaosake marang Sang Nata. Sarehne aku katon sedhih, kang pancen durung tau kelakon ana ing ngarsane Sang Prabu,","Pada bulan Nisan tahun kedua puluh pemerintahan raja Artahsasta, ketika menjadi tugasku untuk menyediakan anggur, aku mengangkat anggur dan menyampaikannya kepada raja. Karena aku kelihatan sedih, yang memang belum pernah terjadi di hadapan raja,"
14,Nehemia 2,2,"Sang Prabu banjur ndangu marang aku: “Yagene sira kok katon sedhih, sanadyan sira ora lara. Sira mesthi nandhang prihatin.” Dadine banget anggonku banjur wedi.","bertanyalah ia kepadaku: ""Mengapa mukamu muram, walaupun engkau tidak sakit? Engkau tentu sedih hati."" Lalu aku menjadi sangat takut."
15,Nehemia 2,3,"Unjukku marang Sang Prabu: “Sang Nata mugi sugenga ing salaminipun! Kadospundi anggen kawula boten sedhih, manawi kitha, pakuburanipun para leluhur kawula punika dados gempuran saha gapuranipun sami kabesmi?”","Jawabku kepada raja: ""Hiduplah raja untuk selamanya! Bagaimana mukaku tidak akan muram, kalau kota, tempat pekuburan nenek moyangku, telah menjadi reruntuhan dan pintu-pintu gerbangnya habis dimakan api?"""
16,Nehemia 2,4,"Pangandikane Sang Prabu marang aku: “Yen mangkono apa kang dadi panyuwunira?” Ing kono aku ndedonga marang Gusti Allahe saindenging langit,","Lalu kata raja kepadaku: ""Jadi, apa yang kauinginkan?"" Maka aku berdoa kepada Allah semesta langit,"
17,Nehemia 2,5,"sarta banjur munjuk marang Sang Prabu: “Manawi ndadosaken keparenging karsa dalem, dhuh Sang Prabu, saha manawi abdi dalem manggih sih wonten ing ngarsa dalem, mugi karsaa ngutus kawula dhateng tanah Yehuda, dhateng kitha pakuburanipun para leluhur kawula, kalilana punika kawula bangun malih.”","kemudian jawabku kepada raja: ""Jika raja menganggap baik dan berkenan kepada hambamu ini, utuslah aku ke Yehuda, ke kota pekuburan nenek moyangku, supaya aku membangunnya kembali."""
18,Nehemia 2,6,"Ing kono pangandikane Sang Prabu marang aku, -- nalika iku Sang Prameswari lenggah ana ing sandhing dalem --: “Anggonira lelungan iku bakal sapira suwene lan besuk apa anggonira bakal bali?” Lan Sang Prabu banjur karsa ngutus aku, sawuse aku matur bab wektune marang panjenengane.","Lalu bertanyalah raja kepadaku, sedang permaisuri duduk di sampingnya: ""Berapa lama engkau dalam perjalanan, dan bilakah engkau kembali?"" Dan raja berkenan mengutus aku, sesudah aku menyebut suatu jangka waktu kepadanya."
19,Nehemia 2,7,"Aku nuli munjuk maneh marang Sang Prabu: “Manawi Sang Prabu manggalih prayogi, kawula mugi panjenengan dalem paringi serat-serat dhumateng para bupati ing sabranging benawi Efrat, supados sami nglilani lampahipun dalem ngantos dumugi ing tanah Yehuda.","Berkatalah aku kepada raja: ""Jika raja menganggap baik, berikanlah aku surat-surat bagi bupati-bupati di daerah seberang sungai Efrat, supaya mereka memperbolehkan aku lalu sampai aku tiba di Yehuda."
20,Nehemia 2,8,"Punapa dene serat dhateng Asaf, ingkang rumeksa kagungan dalem wana, supados nyukani kajeng dhateng kawula kangge dlurunging gapura-gapuraning betengipun Padaleman Suci, kangge balowartinipun kitha tuwin kangge griya ingkang badhe kawula enggeni.” Sang Prabu nuli iya njurungi panyuwunku, amarga astane Allahku kang mahamirah ngayomi aku.","Pula sepucuk surat bagi Asaf, pengawas taman raja, supaya dia memberikan aku kayu untuk memasang balok-balok pada pintu-pintu gerbang di benteng bait suci, untuk tembok kota dan untuk rumah yang akan kudiami."" Dan raja mengabulkan permintaanku itu, karena tangan Allahku yang murah melindungi aku."
