,bab,ayat,jawa,indo
0,Pengkhotbah 1,0,Samubarang kabeh iku ora ana paedahe,Segala sesuatu sia-sia
1,Pengkhotbah 1,1,"Iki pangandikane Sang Kohelet, putrane Sang Prabu Dawud, ratu ing Yerusalem.","Inilah perkataan Pengkhotbah, anak Daud, raja di Yerusalem."
2,Pengkhotbah 1,2,"Banget anggone tanpa guna, mangkono pangandikane Sang Kohelet, banget anggone tanpa guna, samubarang kabeh iku tanpa guna.","Kesia-siaan belaka, kata Pengkhotbah, kesia-siaan belaka, segala sesuatu adalah sia-sia."
3,Pengkhotbah 1,3,Apa gunane manungsa iku banget-banget anggone nglakoni kangelan ana ing sangisoring langit.,Apakah gunanya manusia berusaha dengan jerih payah di bawah matahari?
4,Pengkhotbah 1,4,"Turun kang siji sirna, turun sijine teka, nanging bumi iki tetep ana.","Keturunan yang satu pergi dan keturunan yang lain datang, tetapi bumi tetap ada."
5,Pengkhotbah 1,5,"Srengenge mlethek, srengenge surup, banjur enggal-enggal marani panggonan bakal mletheke maneh.","Matahari terbit, matahari terbenam, lalu terburu-buru menuju tempat ia terbit kembali."
6,Pengkhotbah 1,6,"Angin midid mangidul, banjur mbalik mangalor terus-terusan anggone mubeng-mubeng, lan sajrone mubang-mubeng iku angin mau tumuli bali.","Angin bertiup ke selatan, lalu berputar ke utara, terus-menerus ia berputar, dan dalam putarannya angin itu kembali."
7,Pengkhotbah 1,7,"Sakehing kali iku padha mili menyang ing sagara, ewasamono sagara ora banjur dadi kebak, panggonan anjoge ilining kali iku tetep dadi dhoking iline kali.","Semua sungai mengalir ke laut, tetapi laut tidak juga menjadi penuh; ke mana sungai mengalir, ke situ sungai mengalir selalu."
8,Pengkhotbah 1,8,"Samubarang kabeh iku anggone gawe sayah nganti ora kena kacaritakake dening manungsa; mripat ora wareg-wareg anggone ndeleng, kuping ora wareg-wareg anggone ngrungokake.","Segala sesuatu menjemukan, sehingga tak terkatakan oleh manusia; mata tidak kenyang melihat, telinga tidak puas mendengar."
9,Pengkhotbah 1,9,"Apa kang tau ana bakal ana maneh, lan apa kang tau dilakoni, bakal dilakoni maneh; ora ana barang kang anyar ing sangisoring langit.","Apa yang pernah ada akan ada lagi, dan apa yang pernah dibuat akan dibuat lagi; tak ada sesuatu yang baru di bawah matahari."
10,Pengkhotbah 1,10,"Apa ana barang kang kena dikandhakake: “Delengen, iki anyar?” Awit iku dhek biyen wis ana, wis suwe banget sadurunge kita ana.","Adakah sesuatu yang dapat dikatakan: ""Lihatlah, ini baru!""? Tetapi itu sudah ada dulu, lama sebelum kita ada."
11,Pengkhotbah 1,11,"Ora ana kang kelingan marang bab-bab kang kelakon dhek jaman kapungkur, lan ing jaman kang bakal kelakon iya ora bakal ana kang kelingan marang bab-bab kang kelakon ing jaman kang wus diungkurake dening para wong kang bakal ana ing saburine.","Kenang-kenangan dari masa lampau tidak ada, dan dari masa depan yang masih akan datangpun tidak akan ada kenang-kenangan pada mereka yang hidup sesudahnya."
