,bab,ayat,jawa,indo
0,Ratapan 1,0,Gempure lan sepine Yerusalem,Keruntuhan dan kesunyian Yerusalem
1,Ratapan 1,1,"Adhuh lae, kutha iku kok sepi temen, kang dhek biyen reja banget! Wus dadi kaya randha kang maune linuwih ana ing satengahe para bangsa. Kang biyen dadi ratune kutha-kutha, saiki dadi jajahan.","Ah, betapa terpencilnya kota itu, yang dahulu ramai! Laksana seorang jandalah ia, yang dahulu agung di antara bangsa-bangsa. Yang dahulu ratu di antara kota-kota, sekarang menjadi jajahan."
2,Ratapan 1,2,"Ing wayah bengi nangis kelara-lara, pipine adus luh; ing antarane para kang nresnani, ora ana siji bae kang aweh panglipur. Mitrane kabeh wus padha nyidrani, wus malih dadi satrune.","Pada malam hari tersedu-sedu ia menangis, air matanya bercucuran di pipi; dari semua kekasihnya, tak ada seorangpun yang menghibur dia. Semua temannya mengkhianatinya, mereka menjadi seterunya."
3,Ratapan 1,3,"Yehuda wus ditinggal dening kang padha ngenggoni, marga saka sangsara lan saka abote anggone dikawulakake; saiki dumunung ing antarane para bangsa, ewadene ora bisa oleh katentreman; sapa bae kang nempuh bisa ngejegi ing mangsa nemahi karubedan.","Yehuda telah ditinggalkan penduduknya karena sengsara dan karena perbudakan yang berat; ia tinggal di tengah-tengah bangsa-bangsa, namun tidak mendapat ketenteraman; siapa saja yang menyerang dapat memasukinya pada saat ia terdesak."
4,Ratapan 1,4,"Dalan-dalan kang anjog ing Sion kebak prihatin, marga ora ana kang padha nekani riyaya, gapurane sepi nyenyet kabeh, para imame padha ngesah, para prawane padha sedhih, dene Sion dhewe pepes atine.","Jalan-jalan ke Sion diliputi dukacita, karena pengunjung-pengunjung perayaan tiada; sunyi senyaplah segala pintu gerbangnya, berkeluh kesahlah imam-imamnya; bersedih pedih dara-daranya; dan dia sendiri pilu hatinya."
5,Ratapan 1,5,"Para mungsuhe padha nguwasani, lan satrune padha seneng-seneng. Pranyata Sion diganjar kasusahan dening Pangeran Yehuwah, marga akeh panerake; anak-anake padha lumaku ana ing ngarepe satrune kayadene tawanan.","Lawan-lawan menguasainya, seteru-seterunya berbahagia. Sungguh, TUHAN membuatnya merana, karena banyak pelanggarannya; kanak-kanaknya berjalan di depan lawan sebagai tawanan."
6,Ratapan 1,6,"Putri ing Sion wus koncatan kamulyane kabeh, para pemimpine padha kaya menjangan kang ora nemu panggonan kanggo nyenggut; nglentroh anggone lumaku, ana ing ngarepe kang ngoyak-oyak.",Lenyaplah dari puteri Sion segala kemuliaannya; pemimpin-pemimpinnya bagaikan rusa yang tidak menemukan padang rumput; mereka berjalan tanpa daya di depan yang mengejarnya.
7,Ratapan 1,7,"Ing dinane kasangsaran lan kasusahan Yerusalem kelingan marang sakehing raja-brana kang dadi duweke dhek biyen; nalika wonge katelukake dening mungsuh, lan ora ana kang mitulungi, para satrune padha nyawang lan padha gumuyu, marga saka karusakane.","Terkenanglah Yerusalem, pada hari-hari sengsara dan penderitaannya, akan segala harta benda yang dimilikinya dahulu kala; tatkala penduduknya jatuh ke tangan lawan, dan tak ada penolong baginya, para lawan memandangnya, dan tertawa karena keruntuhannya."
8,Ratapan 1,8,"Yerusalem banget anggone gawe dosa, satemah kaanane najis; kabeh kang biyen padha ngajeni, saiki padha ngremehake, marga weruh anggone kawudan; Yerusalem dhewe sambat-sambat kambi mungkur.","Yerusalem sangat berdosa, sehingga najis adanya; semua yang dahulu menghormatinya, sekarang menghinanya, karena melihat telanjangnya; dan dia sendiri berkeluh kesah, dan memalingkan mukanya."
9,Ratapan 1,9,"Kanajisane kelet ing poncoting jubahe, wus ora mikir bab bakal wekasane, anggone tiba kanteb banget, ora ana wong kang nglipur. “Dhuh Yehuwah, mugi karsaa mirsani kasangsaran kawula, margi pun mengsah ngegungaken badanipun piyambak.”","Kenajisannya melekat pada ujung kainnya; ia tak berpikir akan akhirnya, sangatlah dalam ia jatuh, tiada orang yang menghiburnya. ""Ya, TUHAN, lihatlah sengsaraku, karena si seteru membesarkan dirinya!"""
