,bab,ayat,jawa,indo
0,Rut 1,0,Rut lan Naomi,Rut dan Naomi
1,Rut 1,1,Nalika jumenenge para hakim tanah Israel nuju kambah ing pailan. Banjur ana sawijining wong ing Betlehem- Yehuda kang lunga neneka ana ing ngarene tanah Moab karo somahe lan anake lanang loro.,Pada zaman para hakim memerintah ada kelaparan di tanah Israel. Lalu pergilah seorang dari Betlehem-Yehuda beserta isterinya dan kedua anaknya laki-laki ke daerah Moab untuk menetap di sana sebagai orang asing.
2,Rut 1,2,"Wong mau jenenge Elimelekh, somahe jenenge Naomi lan anake loro jenenge Makhlon lan Khilyon, padha wong Efrata, saka ing Betlehem -- Yehuda; satekane ing tlatah Moab, banjur padha manggon ana ing kono.","Nama orang itu ialah Elimelekh, nama isterinya Naomi dan nama kedua anaknya Mahlon dan Kilyon, semuanya orang-orang Efrata dari Betlehem-Yehuda; dan setelah sampai ke daerah Moab, diamlah mereka di sana."
3,Rut 1,3,"Wasana Elimelekh, somahe Naomi tinggal donya, dadi Naomi kari karo anake loro.","Kemudian matilah Elimelekh, suami Naomi, sehingga perempuan itu tertinggal dengan kedua anaknya."
4,Rut 1,4,"Anake loro mau padha omah-omah oleh wong Moab, jenenge kang siji Orpa, sijine Rut; pamanggone ana ing kono suwene watara sepuluh taun.","Keduanya mengambil perempuan Moab: yang pertama bernama Orpa, yang kedua bernama Rut; dan mereka diam di situ kira-kira sepuluh tahun lamanya."
5,Rut 1,5,"Makhlon lan Khilyon sakarone uga padha tinggal donya, dadine wong wadon iku kelangan anake loro lan bojone.","Lalu matilah juga keduanya, yakni Mahlon dan Kilyon, sehingga perempuan itu kehilangan kedua anaknya dan suaminya."
6,Rut 1,6,"Naomi nuli mangkat kanthi mantune arep mulih saka ing tanah Moab, amarga ing tanah Moab kono dheweke oleh warta, yen Sang Yehuwah wus nuweni umate kalawan diparingi pangan.","Kemudian berkemaslah ia dengan kedua menantunya dan ia pulang dari daerah Moab, sebab di daerah Moab ia mendengar bahwa TUHAN telah memperhatikan umat-Nya dan memberikan makanan kepada mereka."
7,Rut 1,7,"Naomi banjur budhal saka papan padunungane, kairingake mantune karo pisan. Bareng ana ing dedalan arep mulih menyang tanah Yehuda,","Maka berangkatlah ia dari tempat tinggalnya itu, bersama-sama dengan kedua menantunya. Ketika mereka sedang di jalan untuk pulang ke tanah Yehuda,"
8,Rut 1,8,"Naomi nuli kandha marang mantune karo mau: “Wis padha balia mulih menyang omahe mbokmu dhewe-dhewe, Sang Yehuwah muga maringana kadarman marang kowe dikaya kang wis dadi panggawemu marang kang wis padha tinggal donya lan marang aku;","berkatalah Naomi kepada kedua menantunya itu: ""Pergilah, pulanglah masing-masing ke rumah ibunya; TUHAN kiranya menunjukkan kasih-Nya kepadamu, seperti yang kamu tunjukkan kepada orang-orang yang telah mati itu dan kepadaku;"
9,Rut 1,9,"Sang Yehuwah muga maringana sih-kamurahan, kowe padha oleh pangayoman siji-sijimu ana ing pamengkuning somah.” Mantune nuli padha diambungi, nanging banjur padha nangis sora","kiranya atas karunia TUHAN kamu mendapat tempat perlindungan, masing-masing di rumah suaminya."" Lalu diciumnyalah mereka, tetapi mereka menangis dengan suara keras"
10,Rut 1,10,"karo matur: “Boten, kula sami badhe ndherek panjenengan kondur murugi bangsa panjenengan.”","dan berkata kepadanya: ""Tidak, kami ikut dengan engkau pulang kepada bangsamu."""
11,Rut 1,11,"Nanging Naomi calathu: “Padha muliha bae, dhuh anak-anakku, perlune apa kowe padha melu aku? Aku rak wis ora bakal duwe anak lanang maneh, kang lair saka guwa-garbaku lan banjur dadi bojomu?","Tetapi Naomi berkata: ""Pulanglah, anak-anakku, mengapakah kamu turut dengan aku? Bukankah tidak akan ada lagi anak laki-laki yang kulahirkan untuk dijadikan suamimu nanti?"
12,Rut 1,12,"Padha muliha bae, dhuh anak-anakku, wis padha mangkata, aku rak wis ketuwan kanggo omah-omah. Saupama aku mosika: aku isih duwe pangarep-arep, malah sanadyan mengko bengi aku duwe bojo,","Pulanglah, anak-anakku, pergilah, sebab sudah terlalu tua aku untuk bersuami. Seandainya pikirku: Ada harapan bagiku, dan sekalipun malam ini aku bersuami, bahkan sekalipun aku masih melahirkan anak laki-laki,"
13,Rut 1,13,"lan nganti nglairake anak lanang pisan, apa iya kena kok enteni nganti tumeka ing diwasane? Apa iya marga saka iku kowe nahan-nahanake padha ora omah-omah? Aja kaya mangkono ta, dhuh anak-anakku! Kang dakrasakake iki rak luwih pait banget katimbang karo kowe, dene astane Sang Yehuwah nganti tumempuh marang aku kaya mangkene.”","masakan kamu menanti sampai mereka dewasa? Masakan karena itu kamu harus menahan diri dan tidak bersuami? Janganlah kiranya demikian, anak-anakku, bukankah jauh lebih pahit yang aku alami dari pada kamu, sebab tangan TUHAN teracung terhadap aku?"""
14,Rut 1,14,"Mantune tumuli padha nangis maneh kalawan swara sora, Orpa banjur ngambung maratuwane lan pamitan, nanging Rut kang isih nggondheli dheweke.","Menangis pula mereka dengan suara keras, lalu Orpa mencium mertuanya itu minta diri, tetapi Rut tetap berpaut padanya."
15,Rut 1,15,"Naomi tumuli calathu: “Lah kuwi pripeanmu wis bali ngulihi bangsane lan para allahe, bok kowe iya bali melu pripeanmu!”","Berkatalah Naomi: ""Telah pulang iparmu kepada bangsanya dan kepada para allahnya; pulanglah mengikuti iparmu itu."""
16,Rut 1,16,"Nanging ature Rut: “Kula sampun panjenengan peksa nilar panjenengan lajeng mantuk, boten ndherek panjenengan, awit dhatenga pundi kemawon purug panjenengan, kula inggih badhe ndherekaken, sarta wontena ing pundi kemawon anggen panjenengan nyare, kula inggih badhe ndherek sipeng. Bangsa panjenengan inggih bangsa kula, sarta Gusti Allah panjenengan inggih Gusti Allah kula;","Tetapi kata Rut: ""Janganlah desak aku meninggalkan engkau dan pulang dengan tidak mengikuti engkau; sebab ke mana engkau pergi, ke situ jugalah aku pergi, dan di mana engkau bermalam, di situ jugalah aku bermalam: bangsamulah bangsaku dan Allahmulah Allahku;"
17,Rut 1,17,"wontena pundi kemawon anggen panjenengan seda, kula inggih badhe ndherek pejah wonten ing ngriku, sarta wonten ing ngriku anggen kula kakubur. Pangeran Yehuwah mugi maringana paukuman dhateng kula, malah langkung saking punika, saupami kula ngantosa pisah kaliyan panjenengan, kejawi manawi pejah.”","di mana engkau mati, akupun mati di sana, dan di sanalah aku dikuburkan. Beginilah kiranya TUHAN menghukum aku, bahkan lebih lagi dari pada itu, jikalau sesuatu apapun memisahkan aku dari engkau, selain dari pada maut!"""
18,Rut 1,18,"Bareng Naomi weruh yen wis kenceng niyate Rut nedya arep melu, banjur kandheg anggone ngandhani.","Ketika Naomi melihat, bahwa Rut berkeras untuk ikut bersama-sama dengan dia, berhentilah ia berkata-kata kepadanya."
19,Rut 1,19,"Lan sakarone nuli padha mbanjurake lakune nganti tekan ing Betlehem. Bareng padha lumebu ing Betlehem, wong sakutha kabeh padha gumeder rame marga saka wong loro iku lan para wong wadon padha ngucap: “Apa iku Naomi?”","Dan berjalanlah keduanya sampai mereka tiba di Betlehem. Ketika mereka masuk ke Betlehem, gemparlah seluruh kota itu karena mereka, dan perempuan-perempuan berkata: ""Naomikah itu?"""
20,Rut 1,20,"Nanging calathune Naomi marang wong-wong mau: “aku bok aja kokarani Naomi, aranana Mara, amarga kang Mahakuwasa ngganjar pait-getir marang aku.","Tetapi ia berkata kepada mereka: ""Janganlah sebutkan aku Naomi; sebutkanlah aku Mara, sebab Yang Mahakuasa telah melakukan banyak yang pahit kepadaku."
21,Rut 1,21,"Lungaku kalawan mubra-mubru, nanging baliku wus didamel legeh dening Sang Yehuwah. Yagene aku kokarani Naomi, dene Sang Yehuwah wus dadi seksi nglawan aku lan kang Mahakuwasa wus ndhatengake cilaka marang aku.”","Dengan tangan yang penuh aku pergi, tetapi dengan tangan yang kosong TUHAN memulangkan aku. Mengapakah kamu menyebutkan aku Naomi, karena TUHAN telah naik saksi menentang aku dan Yang Mahakuasa telah mendatangkan malapetaka kepadaku."""
22,Rut 1,22,"Kaya mangkono ulihe Naomi karo Rut wong Moab, mantune, kang melu bali saka ing tanah Moab. Lan tekane ig Betlehem pinuju ing mangsa wiwitane panen sair.","Demikianlah Naomi pulang bersama-sama dengan Rut, perempuan Moab itu, menantunya, yang turut pulang dari daerah Moab. Dan sampailah mereka ke Betlehem pada permulaan musim menuai jelai."
23,Rut 2,0,Rut ketemu karo Boas,Rut bertemu dengan Boas
24,Rut 2,1,"Naomi mau duwe sanak saka bojone, kang sugih brewu, panunggalaning kulawangsane Elimelekh, jenenge Boas.","Naomi itu mempunyai seorang sanak dari pihak suaminya, seorang yang kaya raya dari kaum Elimelekh, namanya Boas."
