,bab,ayat,jawa,indo
0,Ulangan 1,0,Nabi Musa nggelarake lelakone wong Israel ana ing gunung Horeb,Musa meriwayatkan pengalaman di gunung Horeb
1,Ulangan 1,1,"Iki pangandikane kang didhawuhake dening Nabi Musa marang wong Israel kabeh ana ing sabrange bengawan Yarden, ing pasamunan, ing tanah rata Araba-Yordan, penere Suf, ing antarane Paran karo Tofel, Laban, Hazerot lan Di-Zahab.","Inilah perkataan-perkataan yang diucapkan Musa kepada seluruh orang Israel di seberang sungai Yordan, di padang gurun, di Araba-Yordan, di tentangan Suf, antara Paran dengan Tofel, Laban, Hazerot dan Di-Zahab."
2,Ulangan 1,2,Saka ing gunung Horeb metu pagunungan Seir tekan Kadesy-Barnea iku lakon sawelas dina.,"Sebelas hari perjalanan jauhnya dari Horeb sampai Kadesh-Barnea, melalui jalan pegunungan Seir."
3,Ulangan 1,3,Nalika taun kang kaping patang puluh sasi sawelas tanggal sapisan Nabi Musa ngandikani wong Israel miturut dhawuh timbalane Pangeran Yehuwah tumrap wong Israel;,"Pada tanggal satu bulan sebelas tahun keempat puluh berbicaralah Musa kepada orang Israel sesuai dengan segala yang diperintahkan TUHAN kepadanya demi mereka,"
4,Ulangan 1,4,"sawuse nggecak marang Prabu Sihon, ratune bangsa Amori, kang akedhaton ana ing Hesybon, lan marang Prabu Og, ratu ing Basan, kang akedhaton ana ing Asytarot, ing sacedhake Edrei.","setelah ia memukul kalah Sihon, raja orang Amori, yang diam di Hesybon, dan Og, raja negeri Basan, yang diam di Asytarot, dekat Edrei."
5,Ulangan 1,5,"Ana ing sabrange bengawan Yarden ing tanah Moab, Nabi Musa wiwit nggelarake angger-anggering Toret iki, pangandikane:","Di seberang sungai Yordan, di tanah Moab, mulailah Musa menguraikan hukum Taurat ini, katanya:"
6,Ulangan 1,6,"“Pangeran Yehuwah, Gusti Allah kita ndhawuhi kita ana ing gunung Horeb, sabdane: Wus cukup anggonira padha nginep ana ing gunung kene;","""TUHAN, Allah kita, telah berfirman kepada kita di Horeb, demikian: Telah cukup lama kamu tinggal di gunung ini."
7,Ulangan 1,7,"padha mbacutna laku, budhala lan paranana pagunungane wong Amori lan sakehe tanggane ing Araba-Yordan, ing pagunungan, ing Dhaerah Pagunungan, ing Tanah Negeb lan ing pasisir, yaiku nagarane wong Kanaan lan ing gunung Libanon nganti tekan ing bengawan gedhe Efrat.","Majulah, berangkatlah, pergilah ke pegunungan orang Amori dan kepada semua tetangga mereka di Araba-Yordan, di Pegunungan, di Daerah Bukit, di Tanah Negeb dan di tepi pantai laut, yakni negeri orang Kanaan, dan ke gunung Libanon sampai Efrat, sungai besar itu."
8,Ulangan 1,8,"Wruhanira, nagara iku wus Sunulungake marang sira; padha lumebua, manggona ing tanah kang wus diprasetyakake dening Sang Yehuwah kalawan supaos marang leluhurira Abraham, Iskak lan Yakub, yen bakal kaparingake marang dheweke kabeh lan turun-turune.”","Ketahuilah, Aku telah menyerahkan negeri itu kepadamu; masukilah, dudukilah negeri yang dijanjikan TUHAN dengan sumpah kepada nenek moyangmu, yakni Abraham, Ishak dan Yakub, untuk memberikannya kepada mereka dan kepada keturunannya."""
9,Ulangan 1,0,Riwayat jumenenge para hakim,Riwayat pengangkatan hakim-hakim
10,Ulangan 1,9,“Nalika samana aku pitutur marang kowe mangkene: Manawa ijen aku ora kuwat nyangga tanggung-jawab marang kowe.,"""Pada waktu itu aku berkata kepadamu, demikian: Seorang diri aku tidak dapat memikul tanggung jawab atas kamu."
11,Ulangan 1,10,"Pangeran Yehuwah, Gusti Allahe para leluhurmu wus ndadekake kowe padha bebranahan, ing dina iki cacahmu wus kaya lintang ing langit.","TUHAN, Allahmu, telah membuat kamu banyak dan sesungguhnya, sekarang kamu sudah seperti bintang-bintang di langit banyaknya."
12,Ulangan 1,11,"Pangeran Yehuwah, Gusti Allahe para leluhurmu muga-muga ngundhakana cacahmu nganti tikel sewu, lan kowe muga padha diberkahana, kaya kang wus dadi prasetyane marang kowe.","TUHAN, Allah nenek moyangmu, kiranya menambahi kamu seribu kali lagi dari jumlahmu sekarang dan memberkati kamu seperti yang dijanjikan-Nya kepadamu."
13,Ulangan 1,12,"Nanging manawa ijen aku mangsa kelara mikul tanggung-jawab bab kasusahanmu, bab karepotanmu lan prakaramu.","Tetapi bagaimana seorang diri aku dapat memikul tanggung jawab atas kesusahanmu, atas bebanmu dan perkaramu?"
14,Ulangan 1,13,"Kowe padha miliha wong kang wicaksana lan limpad ing budi apadene kang akeh pangalamane saka siji-sijine talermu, bakal daktetepake dadi pemimpinmu.","Kemukakanlah dari suku-sukumu orang-orang yang bijaksana, berakal budi dan berpengalaman, maka aku akan mengangkat mereka menjadi kepala atas kamu."
15,Ulangan 1,14,Ing kono atur wangsulanmu: Prakawis ingkang panjenengan karsakaken punika pancen prayogi dipun lampahi.,Lalu kamu menjawab aku: Memang baik apa yang kauanjurkan untuk dilakukan itu.
