,bab,ayat,jawa,indo
0,Yehezkiel 1,0,BAB 1--24 PAMECA-PAMECA NGLAWAN ISRAEL; Nabi Yeheskiel mirsani kamulyane Sang Yehuwah,Nabi melihat kemuliaan TUHAN
1,Yehezkiel 1,1,"Ing taun kang kaping telung puluh, tanggal kaping lima sasi papat, nalika aku ana ing pinggir kali Kebar bebarengan karo para wong buwangan, nuli langit piyak lan aku sumurup wahyu saka ing Allah.","Pada tahun ketiga puluh, dalam bulan yang keempat, pada tanggal lima bulan itu, ketika aku bersama-sama dengan para buangan berada di tepi sungai Kebar, terbukalah langit dan aku melihat penglihatan-penglihatan tentang Allah."
2,Yehezkiel 1,2,"Ing tanggal kaping lima sasi iku, yaiku ing taun kalimane sawuse Sang Prabu Yoyakhin kakendhangake,","Pada tanggal lima bulan itu, yaitu tahun kelima sesudah raja Yoyakhin dibuang,"
3,Yehezkiel 1,3,"ana pangandikane Pangeran Yehuwah tumuju marang Imam Yeheskiel, putrane Sang Busi, ana ing nagarane wong Kasdim ing pinggir kali Kebar, sarta ana ing kono panjenengane kalimputan ing pangwaose Sang Yehuwah.","datanglah firman TUHAN kepada imam Yehezkiel, anak Busi, di negeri orang Kasdim di tepi sungai Kebar, dan di sana kekuasaan TUHAN meliputi dia."
4,Yehezkiel 1,4,"Aku banjur ndeleng, lah ana prahara saka ing lor, kang nggawa mendhung kandel lan geni mulad-mulad; mendhung mau kinubengan ing pepadhang kang sumorot; ing jerone kaprenah ing satengahing geni iku ana kang kaya swasa mencorong.","Lalu aku melihat, sungguh, angin badai bertiup dari utara, dan membawa segumpal awan yang besar dengan api yang berkilat-kilat dan awan itu dikelilingi oleh sinar; di dalam, di tengah-tengah api itu kelihatan seperti suasa mengkilat."
5,Yehezkiel 1,5,"Ing tengah-tengahe kono uga ana kang rupane kaya makhluk papat kang urip, lan iku katone mangkene: rupane kaya manungsa,","Dan di tengah-tengah itu juga ada yang menyerupai empat makhluk hidup dan beginilah kelihatannya mereka: mereka menyerupai manusia,"
6,Yehezkiel 1,6,nanging siji-sijine raine papat lan ana swiwine papat.,tetapi masing-masing mempunyai empat muka dan pada masing-masing ada pula empat sayap.
7,Yehezkiel 1,7,"Sikile lenceng-lenceng, sarta tlapakane kaya tracak pedhet, mencorong kaya swasa kang mentas kagebeg.",Kaki mereka adalah lurus dan telapak kaki mereka seperti kuku anak lembu; kaki-kaki ini mengkilap seperti tembaga yang baru digosok.
8,Yehezkiel 1,8,Ing sangisoring swiwi ana tangan manungsa kaprenah ing sisih papate pisan. Dene rai lan swiwine mau mangkene:,Pada keempat sisi mereka di bawah sayap-sayapnya tampak tangan manusia. Mengenai muka dan sayap mereka berempat adalah begini:
9,Yehezkiel 1,9,"swiwine padha gathuk; manawa lumaku ora nganggo mingar-minger, nanging ing sapenering adhepe.","mereka saling menyentuh dengan sayapnya; mereka tidak berbalik kalau berjalan, masing-masing berjalan lurus ke depan."
