,bab,ayat,jawa,indo
0,Yeremia 1,0,Bebuka,Judul
1,Yeremia 1,1,"Iki pangandikane Nabi Yeremia bin Hilkia, tedhak turune para imam ing Anatot ing tanah Benyamin.","Inilah perkataan-perkataan Yeremia bin Hilkia, dari keturunan imam yang ada di Anatot di tanah Benyamin."
2,Yeremia 1,2,"Nalika jamane Sang Prabu Yosia bin Amon, ratu ing Yehuda, ing taun kang kaping telulase anggone ngasta paprentahan, ana pangandikane Sang Yehuwah, kang kadhawuhake marang Nabi Yeremia.","Dalam zaman Yosia bin Amon, raja Yehuda, dalam tahun yang ketiga belas dari pemerintahannya datanglah firman TUHAN kepada Yeremia."
3,Yeremia 1,3,"Pangandikane iku uga kadhawuhake nalika jamane Sang Prabu Yoyakim bin Yosia ratu ing Yehuda, nganti tumeka ing wekasane taun kang kaping sawelase jumenenge Sang Prabu Zedhekia bin Yosia ratu ing Yehuda, nganti tumeka para wong kang manggon ing Yerusalem padha kaangkatake menyang ing pambuwangan, ing sajroning sasi kalima.","Firman itu datang juga dalam zaman Yoyakim bin Yosia, raja Yehuda, sampai akhir tahun yang kesebelas zaman Zedekia bin Yosia, raja Yehuda, hingga penduduk Yerusalem diangkut ke dalam pembuangan dalam bulan yang kelima."
4,Yeremia 1,0,Nabi Yeremia katimbalan lan diutus,Yeremia dipanggil dan diutus
5,Yeremia 1,4,"Pangandikane Pangeran Yehuwah kadhawuhake marang aku, mangkene:","Firman TUHAN datang kepadaku, bunyinya:"
6,Yeremia 1,5,"“Sadurunge Ingsun nggatra sira ana ing guwa-garbane biyungira, Ingsun wus nguningani sira, lan sadurunge sira metu saka ing wetengan, Ingsun wus nyengker sira, Ingsun wus netepake sira dadi nabine sakehing bangsa.”","""Sebelum Aku membentuk engkau dalam rahim ibumu, Aku telah mengenal engkau, dan sebelum engkau keluar dari kandungan, Aku telah menguduskan engkau, Aku telah menetapkan engkau menjadi nabi bagi bangsa-bangsa."""
7,Yeremia 1,6,"Dene unjuk wangsulanku: “Dhuh Pangeran Yehuwah! Sajatosipun kawula punika boten saged wicanten, awit kawula taksih nem.”","Maka aku menjawab: ""Ah, Tuhan ALLAH! Sesungguhnya aku tidak pandai berbicara, sebab aku ini masih muda."""
8,Yeremia 1,7,"Ewadene Sang Yehuwah ngandika marang aku: “Sira aja matur: Kawula punika taksih enem, nanging menyanga enggone sapa bae sira Sunutus, sira kudu mangkat, lan apaa bae kang Sundhawuhake marang sira, kudu sira tekakake.","Tetapi TUHAN berfirman kepadaku: ""Janganlah katakan: Aku ini masih muda, tetapi kepada siapapun engkau Kuutus, haruslah engkau pergi, dan apapun yang Kuperintahkan kepadamu, haruslah kausampaikan."
9,Yeremia 1,8,"Aja sira wedi marang wong-wong iku, amarga Ingsun nganthi sira supaya ngluwari sira, mangkono dhawuh pangandikane Sang Yehuwah.”","Janganlah takut kepada mereka, sebab Aku menyertai engkau untuk melepaskan engkau, demikianlah firman TUHAN."""
10,Yeremia 1,9,Sang Yehuwah tumuli mulung astane lan ndumuk cangkemku; Sang Yehuwah ngandika marang aku: “Lah Ingsun maringake dhawuhingSun ana ing cangkemira.,"Lalu TUHAN mengulurkan tangan-Nya dan menjamah mulutku; TUHAN berfirman kepadaku: ""Sesungguhnya, Aku menaruh perkataan-perkataan-Ku ke dalam mulutmu."
11,Yeremia 1,10,"Wruhanira, ing dina iki Ingsun njujung sira dadi ana ing sadhuwuring bangsa-bangsa lan karajan-karajan, supaya mbedhol lan ngrubuhake, ngrusak lan nggempuri, apadene mbangun lan nandur.”","Ketahuilah, pada hari ini Aku mengangkat engkau atas bangsa-bangsa dan atas kerajaan-kerajaan untuk mencabut dan merobohkan, untuk membinasakan dan meruntuhkan, untuk membangun dan menanam."""
12,Yeremia 1,11,"Sawise iku ana pangandikane Sang Yehuwah marang aku mangkene: “He Yeremia, apa sing sira deleng?” Unjukku: “Kawula ningali wit saked.”","Sesudah itu firman TUHAN datang kepadaku, bunyinya: ""Apakah yang kaulihat, hai Yeremia?"" Jawabku: ""Aku melihat sebatang dahan pohon badam."""
