,bab,ayat,jawa,indo
0,Yesaya 1,0,BAB 1-39: PERANGAN KAPISAN; BAB 1-12 PAMEDHAR WANGSIT; BAB YEHUDA LAN YERUSALEM; Wosing isine,Judul
1,Yesaya 1,1,"Wahyu kang tiningalan dening Nabi Yesaya putrane Sang Amos bab Yehuda lan Yerusalem nalika jamane Sang Prabu Uzia, Yotam, Akhas lan Sang Prabu Hizkia, para ratu ing Yehuda.","Penglihatan yang telah dilihat Yesaya bin Amos tentang Yehuda dan Yerusalem dalam zaman Uzia, Yotam, Ahas dan Hizkia, raja-raja Yehuda."
2,Yesaya 1,0,Pangresula bab bangsa kang ora setya iku,Pengaduan tentang bangsa yang tidak setia itu
3,Yesaya 1,2,"Rungokna, he langit, lan gatekna, he bumi, sabab Pangeran Yehuwah ngandika: “Ingsun wus ngagengake putra-putra lan iku wus Sungulawenthah nanging padha mbalela marang Ingsun.","Dengarlah, hai langit, dan perhatikanlah, hai bumi, sebab TUHAN berfirman: ""Aku membesarkan anak-anak dan mengasuhnya, tetapi mereka memberontak terhadap Aku."
4,Yesaya 1,3,"Sapi wanuh marang kang duwe nanging Israel ora; kuldi sumurup marang pamakanan kang kasedhiyakake dening bendarane, nanging umatingSun ora mangreti.”","Lembu mengenal pemiliknya, tetapi Israel tidak; keledai mengenal palungan yang disediakan tuannya, tetapi umat-Ku tidak memahaminya."""
5,Yesaya 1,4,"Bilai bangsa kang dosa, golongan kang kabotan duraka turune wong ala, bocah-bocah kang tumindak ora becik! Iku padha ninggal Sang Yehuwah, padha ngala-ala marang kang Mahasuci, Gusti Allahe Israel, tuwin ngungkurake Panjenengane.","Celakalah bangsa yang berdosa, kaum yang sarat dengan kesalahan, keturunan yang jahat-jahat, anak-anak yang berlaku buruk! Mereka meninggalkan TUHAN, menista Yang Mahakudus, Allah Israel, dan berpaling membelakangi Dia."
6,Yesaya 1,5,"Kowe kepengin digitiki maneh ing ngendi, kowe kang padha mbangetake pamurtadmu? Sirahe wus lara kabeh, lan atine wus lungkrah lesu kabeh.","Di mana kamu mau dipukul lagi, kamu yang bertambah murtad? Seluruh kepala sakit dan seluruh hati lemah lesu."
7,Yesaya 1,6,"Wiwit ing tlapakan tumeka ing sirah ora ana kang waras, abuh lan babak-belur sarta tatu anyar, ora diplothoti lan ora diblebedi, tuwin ora dilengani.","Dari telapak kaki sampai kepala tidak ada yang sehat: bengkak dan bilur dan luka baru, tidak dipijit dan tidak dibalut dan tidak ditaruh minyak."
8,Yesaya 1,7,"Nagaramu dani sepi mamring, kutha-kuthamu padha kobong nganti entek; pametuning bumimu diapngan ing bangsa liya ana ing ngarepmu. Sepi mamring nagara iku kayadene dibosah-basihake dening bangsa liya.","Negerimu menjadi sunyi sepi, kota-kotamu habis terbakar; di depan matamu orang-orang asing memakan hasil dari tanahmu. Sunyi sepi negeri itu seolah-olah ditunggangbalikkan orang asing."
9,Yesaya 1,8,"Putri ing Sion kari ijen, kayadene gubug ing pakebonan anggur kaya cakruk ing kebon timun lan kaya kutha kang kinepung.","Puteri Sion tertinggal sendirian seperti pondok di kebun anggur, seperti gubuk di kebun mentimun dan seperti kota yang terkepung."
10,Yesaya 1,9,"Saupama Pangeran Yehuwah Gustining sarwa tumitah ora ngarekake sathithik kanggo kita wong kang padha oncat, kita wus padha kaya Sodom lan padha kaya Gomora.","Seandainya TUHAN semesta alam tidak meninggalkan pada kita sedikit orang yang terlepas, kita sudah menjadi seperti Sodom, dan sama seperti Gomora."
11,Yesaya 1,0,Mratobat iku luwih becik katimbang karo caos kurban,Bertobat lebih baik dari mempersembahkan korban
12,Yesaya 1,10,"Rungokna pangandikane Sang Yehuwah, he para panggedhene Sodom! Gatekna piwulange Allah kita, he rakyat Gomora!","Dengarlah firman TUHAN, hai pemimpin-pemimpin, manusia Sodom! Perhatikanlah pengajaran Allah kita, hai rakyat, manusia Gomora!"
13,Yesaya 1,11,"“Kanggo apa kurbanira kang akeh iku?” mangkono pangandikane Sang Yehuwah, “Ingsun wus jeleh marng kurban obaran kang awujud wedhus gembel lanang lan marang gajihe pedhet lemon; getihe sapi lanang lan wedhus gembel sarta wedhus lanang ora Sunrenani.","""Untuk apa itu korbanmu yang banyak-banyak?"" firman TUHAN; ""Aku sudah jemu akan korban-korban bakaran berupa domba jantan dan akan lemak dari anak lembu gemukan; darah lembu jantan dan domba-domba dan kambing jantan tidak Kusukai."
14,Yesaya 1,12,"Manawa sira padha sowan marang ing ngarsaningSun sapa kang ngudokake sira mangkono, dene sira padha ngidak-idak platarane Padaleman SuciningSun?","Apabila kamu datang untuk menghadap di hadirat-Ku, siapakah yang menuntut itu dari padamu, bahwa kamu menginjak-injak pelataran Bait Suci-Ku?"
15,Yesaya 1,13,"Sira aja padha nyaosake maneh pisungsungira kang lamis amarga gandane gawe enegingSun. Manawa sira padha mahargya tanggal sapisan lan sabat utawa nganakake kumpulan-kumpulan, Ingsun ora tahan mirsani, awit pahargyanira iku kebak piala.","Jangan lagi membawa persembahanmu yang tidak sungguh, sebab baunya adalah kejijikan bagi-Ku. Kalau kamu merayakan bulan baru dan sabat atau mengadakan pertemuan-pertemuan, Aku tidak tahan melihatnya, karena perayaanmu itu penuh kejahatan."
