,bab,ayat,jawa,indo
0,Yoel 1,0,Bebuka,Judul
1,Yoel 1,1,Iki pangandikane Pangeran Yehuwah kang kadhawuhake marang Nabi Yoel bin Petuel.,Firman TUHAN yang datang kepada Yoel bin Petuel.
2,Yoel 1,0,Wewelak walang minangka paukuman,Tulah belalang sebagai hukuman TUHAN
3,Yoel 1,2,"He, para tuwa-tuwa, padha ngrungokna, he, para wong isine nagara, padha nilingna! Sajegmu urip utawa ing jamane para leluhurmu apa tau ana lelakon kang kaya mangkene iki?","Dengarlah ini, hai para tua-tua, pasanglah telinga, hai seluruh penduduk negeri! Pernahkah terjadi seperti ini dalam zamanmu, atau dalam zaman nenek moyangmu?"
4,Yoel 1,3,"Anak-anakmu padha critanana lelakon iku, nuli anak-anakmu genten konen nyritakake marang anak-anake, lan putumu iya nyritanana marang turune","Ceritakanlah tentang itu kepada anak-anakmu, dan biarlah anak-anakmu menceritakannya kepada anak-anak mereka, dan anak-anak mereka kepada angkatan yang kemudian."
5,Yoel 1,4,"Sisane walang kang ngrikiti kapangan dening walang alihan, lan sisane walang alihan kapangan dening walang mlumpat, sarta sisane walang mlumpat kapangan dening walang kethaha.","Apa yang ditinggalkan belalang pengerip telah dimakan belalang pindahan, apa yang ditinggalkan belalang pindahan telah dimakan belalang pelompat, dan apa yang ditinggalkan belalang pelompat telah dimakan belalang pelahap."
6,Yoel 1,5,"He, para wong mendem, tangia lan nangisa! He, para wong kang karem anggur, marga saka anggur anyar, padha ngadhuh-adhuha, amarga anggur iku wus dirampas saka ing cangkemmu.","Bangunlah, hai pemabuk, dan menangislah! Merataplah, hai semua peminum anggur karena anggur baru, sebab sudah dirampas dari mulutmu anggur itu!"
7,Yoel 1,6,"Dene ana bangsa kang nglurugi nagaraku, bangsa kang kuwat lan tanpa wilangan cacahe, untune kaya untu singa, lan siyunge kaya siyung singa wadon.","Sebab maju menyerang negeriku suatu bangsa yang kuat dan tidak terbilang banyaknya; giginya bagaikan gigi singa, dan taringnya bagaikan taring singa betina."
8,Yoel 1,7,"Witku anggur padha karusak, lan witku anjir padha dikethoki, dikletheki lan dirubuhake, sarta pang-pange padha dadi putih.","Telah dibuatnya pohon anggurku menjadi musnah, dan pohon araku menjadi buntung; dikelupasnya kulitnya sama sekali dan dilemparkannya, sehingga carang-carangnya menjadi putih."
9,Yoel 1,8,"Ngadhuh-adhuha kayadene prawan kang manganggo bagor, marga saka pacangane, kekasihe nalika isih enom.","Merataplah seperti anak dara yang berlilitkan kain kabung karena mempelai, kekasih masa mudanya."
10,Yoel 1,9,"Kurban dhaharan lan kurban unjukan wus ilang saka ing padalemane Sang Yehuwah; para abdine Pangeran Yehuwah, yaiku para imam, padha susah.","Korban sajian dan korban curahan sudah lenyap dari rumah TUHAN; dan berkabunglah para imam, yakni pelayan-pelayan TUHAN."
11,Yoel 1,10,"Pategalan wus rusak, bumi ngenes, awit gandume wus sirna anggure wus garing, lengane wus nipis.","Ladang sudah musnah, tanah berkabung, sebab gandum sudah musnah, buah anggur sudah kering, minyak sudah menipis."
12,Yoel 1,11,"Para wong tani padha kisinan, para tukang kebon anggur padha ngadhuh-adhuh, marga saka gandum lan sair, awitdene panenaning pategalan wus lebur kabeh.","Para petani menjadi malu, tukang-tukang kebun anggur meratap karena gandum dan karena jelai, sebab sudah musnah panen ladang."
13,Yoel 1,12,"Wite anggur wus garing lan wite anjir wus alum, mangkono uga wite delima, wite kurma lan wite apel, sarupane wit ing ara-ara wus padha garing. Sanyata, kabungahan sirna oncat saka para anaking manungsa.","Pohon anggur sudah kering dan pohon ara sudah merana; pohon delima, juga pohon korma dan pohon apel, segala pohon di padang sudah mengering. Sungguh, kegirangan melayu dari antara anak-anak manusia."
14,Yoel 1,13,"He, para imam, padha manganggoa bagor lan sambat-sambata, he, para kang ngladeni misybah, padha ngadhuh-adhuha, he, para Gusti Allahku, pada lumebua, padha nginepa kalawan manganggo bagor, dene padalemane Gusti Allahmu wus koncatan kurban dhaharan lan kurban unjukan.","Lilitkanlah kain kabung dan mengeluhlah, hai para imam; merataplah, hai para pelayan mezbah; masuklah, bermalamlah dengan memakai kain kabung, hai para pelayan Allahku, sebab sudah ditahan dari rumah Allahmu, korban sajian dan korban curahan."
15,Yoel 1,14,"Padha ngundhangna puwasa kang suci, nganakna parepatan agung, nglumpukna para tuwa-tuwa, dalah sakehe wong isine nagara ana ing padalemane Pangeran Yehuwah Allahmu lan padha sambat-sambata marang Sang Yehuwah.","Adakanlah puasa yang kudus, maklumkanlah perkumpulan raya; kumpulkanlah para tua-tua dan seluruh penduduk negeri ke rumah TUHAN, Allahmu, dan berteriaklah kepada TUHAN."
16,Yoel 1,15,"Adhuh bilai dina iku, dene nyata wus chedak dinane Pangeran Yahuwah, tekane awujud karusakan saka Kang Mahakwasa.","Wahai, hari itu! Sungguh, hari TUHAN sudah dekat, datangnya sebagai pemusnahan dari Yang Mahakuasa."
