,bab,ayat,jawa,indo
0,Yosua 1,0,Sang Senapati Yusak kadhawuhan dening Pangeran Yehuwah supaya ngrebut tanah Kanaan,Perintah TUHAN kepada Yosua untuk merebut tanah Kanaan
1,Yosua 1,1,"Sawuse Nabi Musa, abdine Sang Yehuwah seda, tumuli ana dhawuhe Sang Yehuwah marang Senapati Yusak, bin Nun, abdine Nabi Musa","Sesudah Musa hamba TUHAN itu mati, berfirmanlah TUHAN kepada Yosua bin Nun, abdi Musa itu, demikian:"
2,Yosua 1,2,"mangkene: “AbdiningSun Musa wus mati, mulane ing samengko sira mangkata nyabrang ing kali Yarden iki, sira dalah sabangsa iki kabeh, menyanga ing tanah kang bakal Sunparingake marang wong-wong iku, yaiku marang wong Israel.","""Hamba-Ku Musa telah mati; sebab itu bersiaplah sekarang, seberangilah sungai Yordan ini, engkau dan seluruh bangsa ini, menuju negeri yang akan Kuberikan kepada mereka, kepada orang Israel itu."
3,Yosua 1,3,"Saben panggonan kang bakal kaencikan ing tlapakanira iku wus Sunparingake marang sira kabeh, kaya kang dadi pangandikaningSun marang Musa.","Setiap tempat yang akan diinjak oleh telapak kakimu Kuberikan kepada kamu, seperti yang telah Kujanjikan kepada Musa."
4,Yosua 1,4,"Wiwit ing ara-ara samun lan ing gunung Libanon ing sisih kana tutug ing bengawan gedhe, yaiku bengawan Efrat, satlatahe wong Het kabeh lan tutug ing Segara Gedhe ing panggonan suruping srengenge, kabeh iku bakal dadi wewengkonira.","Dari padang gurun dan gunung Libanon yang sebelah sana itu sampai ke sungai besar, yakni sungai Efrat, seluruh tanah orang Het, sampai ke Laut Besar di sebelah matahari terbenam, semuanya itu akan menjadi daerahmu."
5,Yosua 1,5,"Sajegira urip bakal ora ana wong, kang bisa lestari ana ing ngarepira; kaya anggoningSun nunggil karo Musa, iya kaya mangkono anggoningSun bakal nunggil karo sira. Sira ora bakal Suntegakake lan Suntilar.","Seorangpun tidak akan dapat bertahan menghadapi engkau seumur hidupmu; seperti Aku menyertai Musa, demikianlah Aku akan menyertai engkau; Aku tidak akan membiarkan engkau dan tidak akan meninggalkan engkau."
6,Yosua 1,6,"Sira disantosa lan diteguh atinira, amarga sira kang bakal nuntun bangsa iki supaya bisa ndarbeni nagara kang Sunjanjekake kalawan supaos marang para leluhure, menawa bakal kaparingake marang dheweke kabeh.","Kuatkan dan teguhkanlah hatimu, sebab engkaulah yang akan memimpin bangsa ini memiliki negeri yang Kujanjikan dengan bersumpah kepada nenek moyang mereka untuk diberikan kepada mereka."
7,Yosua 1,7,"Mung bae sira disantosa lan diteguh, tumindaka kalawan ngati-ati condhong karo angger-angger kang wus diprentahake abdiningSun Musa marang sira, aja nyleweng ngiwa utawa nengen saka iku, supaya sira oleh kabegjan menyanga ngendi bae paranira.","Hanya, kuatkan dan teguhkanlah hatimu dengan sungguh-sungguh, bertindaklah hati-hati sesuai dengan seluruh hukum yang telah diperintahkan kepadamu oleh hamba-Ku Musa; janganlah menyimpang ke kanan atau ke kiri, supaya engkau beruntung, ke manapun engkau pergi."
8,Yosua 1,8,"Sira aja lali ngrembug kitab Toret iki, sira gilut-giluta rina wengi, supaya tumindakira ngati-ati condhong karo kang tinulis ing kitab iku, amarga kanthi patrap mangkono lakunira mesthi bakal lestari sarta sira bakal oleh kabegjan.","Janganlah engkau lupa memperkatakan kitab Taurat ini, tetapi renungkanlah itu siang dan malam, supaya engkau bertindak hati-hati sesuai dengan segala yang tertulis di dalamnya, sebab dengan demikian perjalananmu akan berhasil dan engkau akan beruntung."
9,Yosua 1,9,"Ingsun rak wus dhawuh marang sira: disantosa lan diteguh? Aja giris lan semplah, amarga Pangeran Yehuwah, Allahira nunggil karo sira ing saparanparanira.”","Bukankah telah Kuperintahkan kepadamu: kuatkan dan teguhkanlah hatimu? Janganlah kecut dan tawar hati, sebab TUHAN, Allahmu, menyertai engkau, ke manapun engkau pergi."""
10,Yosua 1,10,"Senapati Yusak banjur prentah marang para tetindhihing bala, dhawuhe:","Lalu Yosua memberi perintah kepada pengatur-pengatur pasukan bangsa itu, katanya:"
11,Yosua 1,11,"“Kowe padha midera ing pakemahan lan wong-wong padha prentahana mangkene: Padha cawisna sangumu, amarga ing sajroning telung dina kowe bakal padha nyabrang ing bengawan Yarden iki, lan banjur ngejegi nagara kang bakal kaparingake dening Sang Yehuwah Gusti Allahmu marang kowe dadi darbekmu!”","""Jalanilah seluruh perkemahan dan perintahkanlah kepada bangsa itu, demikian: Sediakanlah bekalmu, sebab dalam tiga hari kamu akan menyeberangi sungai Yordan ini untuk pergi menduduki negeri yang akan diberikan TUHAN, Allahmu, kepadamu untuk diduduki."""
12,Yosua 1,12,"Wong trahe Ruben lan wong trahe Gad tuwin separone taler Manasye tumuli padha didhawuhi Senapati Yusak, mangkene:","Kepada orang Ruben, kepada orang Gad dan kepada suku Manasye yang setengah itu berkatalah Yosua, demikian:"
13,Yosua 1,13,"“Kowe padha ngelingana marang dhawuh piwelinge Nabi Musa, abdine Pangeran Yehuwah marang kowe yaiku: Pangeran Yehuwah Gusti Allahmu wus ngganjar katentreman marang kowe lan maringi tanah iki:","""Ingatlah kepada perkataan yang dipesankan Musa, hamba TUHAN itu, kepadamu, yakni: TUHAN, Allahmu, mengaruniakan keamanan kepadamu dan memberikan kepadamu negeri ini;"
