,bab,ayat,jawa,indo
0,Yunus 1,0,Nabi Yunus mbalela marang timbalane Pangeran Yehuwah,Yunus mengingkari panggilan TUHAN
1,Yunus 1,1,"Ana dhawuhe Pangeran Yehuwah marang Nabi Yunus bin Amitai, mangkene:","Datanglah firman TUHAN kepada Yunus bin Amitai, demikian:"
2,Yunus 1,2,"“Sira mangkata, paranana kutha gedhe Niniwe lan ngundhangna pameleh marang nagara iku, awit durakane wus sumengka tekan ing ngarsaningSun.”","""Bangunlah, pergilah ke Niniwe, kota yang besar itu, berserulah terhadap mereka, karena kejahatannya telah sampai kepada-Ku."""
3,Yunus 1,3,"Nanging Nabi Yunus banjur tata-tata arep mlajeng menyang Tarsis adoh saka ing pangayunane Pangeran Yehuwah; nuli tindak menyang ing Yafo; ing kono ana kapal, kang arep mangkat menyang Tarsis; sawuse mbayar wragadinng laku, banjur minggah ing prau, bebarengan karo wong-wong kang menyang Tarsis, adoh saka ing pangayunane Sang Yehuwah.","Tetapi Yunus bersiap untuk melarikan diri ke Tarsis, jauh dari hadapan TUHAN; ia pergi ke Yafo dan mendapat di sana sebuah kapal, yang akan berangkat ke Tarsis. Ia membayar biaya perjalanannya, lalu naik kapal itu untuk berlayar bersama-sama dengan mereka ke Tarsis, jauh dari hadapan TUHAN."
4,Yunus 1,4,"Nanging Pangeran Yehuwah ndhatengake prahara ana ing sagara, temah ing sagara kono banjur ana prahara gedhe, praune nganti meh-meh bae pecah ambyar.","Tetapi TUHAN menurunkan angin ribut ke laut, lalu terjadilah badai besar, sehingga kapal itu hampir-hampir terpukul hancur."
5,Yunus 1,5,"Para awak-awaking prau padha kataman giris, kabeh padha sesambat marang allahe dhewe-dhewe, sarta momotan kang ana ing prau padha dibuwangi ing sagara supaya praune dadi entheng. Nanging Nabi Yunus iku wus mandhap menyang ing peranganing prau kang ngisor dhewe lan banjur sarean, wasana sare kepatos.","Awak kapal menjadi takut, masing-masing berteriak-teriak kepada allahnya, dan mereka membuang ke dalam laut segala muatan kapal itu untuk meringankannya. Tetapi Yunus telah turun ke dalam ruang kapal yang paling bawah dan berbaring di situ, lalu tertidur dengan nyenyak."
6,Yunus 1,6,"Panggedhening prau tumuli marani Nabi Yunus, pangucape: “Kadospundi sampeyan punika, dene kok saged tilem kepatos makaten? Sumangga sampeyan tangi, lajeng nyebut dhateng Allah sampeyan, bokmanawi Allah punika karsa ngengeti dhateng kita, temah boten ngantos manggih bilai.”","Datanglah nakhoda mendapatkannya sambil berkata: ""Bagaimana mungkin engkau tidur begitu nyenyak? Bangunlah, berserulah kepada Allahmu, barangkali Allah itu akan mengindahkan kita, sehingga kita tidak binasa."""
7,Yunus 1,7,"Para wong isine prau banjur padha sapocapan mangkene: “Payo padha mbuwang undhi, supaya tetelaa sapa kang njalari kita katempuh ing bilai mangkene iki.” Tumuli iya kelakon mbuwang undhi, lan Nabi Yunus kang kena.","Lalu berkatalah mereka satu sama lain: ""Marilah kita buang undi, supaya kita mengetahui, karena siapa kita ditimpa oleh malapetaka ini."" Mereka membuang undi dan Yunuslah yang kena undi."
8,Yunus 1,8,"Ing kono pangucape wong akeh marang Nabi Yunus: “Sumangga kula sampeyan sukani sumerep, sinten ingkang njalari kula sami kadhatengan bilai makaten punika? Padamelan sampeyan punapa lan asal sampeyan saking pundi, ing pundi nagari sampeyan, sarta bangsa punapa sampeyan punika?”","Berkatalah mereka kepadanya: ""Beritahukan kepada kami, karena siapa kita ditimpa oleh malapetaka ini. Apa pekerjaanmu dan dari mana engkau datang, apa negerimu dan dari bangsa manakah engkau?"""
9,Yunus 1,9,"Wangsulane Nabi Yunus: “Kula tiyang Ibrani, kula ngabekti dhateng Pangeran Yehuwah, Gusti Allah ingkag kagungan langit, ingkang sampun nitahaken saganten lan dharatan.”","Sahutnya kepada mereka: ""Aku seorang Ibrani; aku takut akan TUHAN, Allah yang empunya langit, yang telah menjadikan lautan dan daratan."""
