,bab,ayat,jawa,indo
0,Zakharia 1,0,WAHYU-WAHYU; Timbalan supaya mratobat,Seruan untuk bertobat
1,Zakharia 1,1,"Ing sasi kang kawolu ing taun kang kapindhone jamane Sang Prabu Dharius, ana pangandikane Pangeran Yehuwah marang Nabi Zakharia bin Berekhya bin Idho, mangkene:","Dalam bulan yang kedelapan pada tahun kedua zaman Darius datanglah firman TUHAN kepada nabi Zakharia bin Berekhya bin Ido, bunyinya:"
2,Zakharia 1,2,“Banget dukane Pangeran Yehuwah marang para leluhurira.,"""Sangat murka TUHAN atas nenek moyangmu."
3,Zakharia 1,3,"Mulane sira kandhaa marang wong-wong iku: Pangandikane Sang Yehuwah Gustine sarwa dumadi: Sira padha mratobata marang Ingsun, -- mangkono pangandikane Sang Yehuwah Gustining sarwa dumadi, -- Ingsun banjur bakal mbaleni sira. -- Mangkono pangandikane Pangeran Yehuwah Gustine sarwa dumadi --.","Sebab itu katakanlah kepada mereka: Beginilah firman TUHAN semesta alam: Kembalilah kepada-Ku, demikianlah firman TUHAN semesta alam, maka Akupun akan kembali kepadamu, firman TUHAN semesta alam."
4,Zakharia 1,4,"Sira aja padha kaya para leluhurira, kang wus padha dipituturi dening para nabi ing maune mangkene: Pangandikane Sang Yehuwah Gustine sarwa dumadi: Sira padha ngundurana lakunira kang ala lan pokalira kang duraka! Nanging padha ora gelem ngrungokake sarta padha ora mreduli marang Ingsun. -- Mangkono pangandikane Pangeran Yehuwah. --","Janganlah kamu seperti nenek moyangmu yang kepadanya para nabi yang dahulu telah menyerukan, demikian: Beginilah firman TUHAN semesta alam: Berbaliklah dari tingkah lakumu yang buruk dan dari perbuatanmu yang jahat! Tetapi mereka tidak mau mendengarkan dan tidak mau menghiraukan Aku, demikianlah firman TUHAN."
5,Zakharia 1,5,Para leluhurira iku padha ana ing ngendi? Lan para nabi iku apa padha urip ing salawase?,"Nenek moyangmu, di mana mereka? Dan para nabi, apakah mereka hidup untuk selama-lamanya?"
6,Zakharia 1,6,"Nanging sakehe pangandika lan putusaningSun kang wus Sundhawuhake marang abdiningSun para nabi, iku rak wus tumeka ing para leluhurira? Wong-wong iku nuli padha mratobat sarta duwe pangucap mangkene: Kaya kang wus dadi karsane Sang Yehuwah Gustine sarwa dumadi anggone nanduki marang aku, miturut laku lan pokalku, iya kaya mangkono Panjenengane anggone nanduki marang kita!”","Tetapi segala firman dan ketetapan-Ku yang telah Kuperintahkan kepada hamba-hamba-Ku, para nabi, bukankah itu telah sampai kepada nenek moyangmu? Maka bertobatlah mereka serta berkata: Sebagaimana TUHAN semesta alam bermaksud mengambil tindakan terhadap kita sesuai dengan tingkah laku kita dan perbuatan kita, demikianlah Ia mengambil tindakan terhadap kita!"""
7,Zakharia 1,0,Wahyu kang kapisan: Priya kang nunggang jaran,Penglihatan pertama: para penunggang kuda
8,Zakharia 1,7,"Ing taun kang kapindhone jamane Sang Prabu Dharius, pinuju sasi kang kaping sawelas, iya sasi Syebat, tanggal kaping patlikur, ana pangandikane Pangeran Yehuwah marang Nabi Zakharia bin Berekhya bin Idho, mangkene:","Pada hari yang kedua puluh empat dari bulan yang kesebelas--itulah bulan Syebat--pada tahun yang kedua zaman Darius datanglah firman TUHAN kepada nabi Zakharia bin Berekhya bin Ido, bunyinya:"
9,Zakharia 1,8,"“Dhek mau bengi aku tampa wahyu: aku ndeleng ana priya nitih jaran abang, jumeneng ana ing antarane wit jambu keling kang ana ing jurang; lan ing burine ana jaran-jaran kang ulese abang, abang nom lan putih.","""Tadi malam aku mendapat suatu penglihatan: tampak seorang yang menunggang kuda merah! Dia sedang berdiri di antara pohon-pohon murad yang di dalam jurang; dan di belakangnya ada kuda-kuda yang merah, yang merah jambu dan yang putih."
