,bab,ayat,jawa,indo
0,Zefanya 1,0,Bebuka,Judul
1,Zefanya 1,1,"Iki pangandikane Pangeran Yehuwah kang kadhawuhake marang Nabi Zefanya bin Kusyi bin Gedalya bin Amarya bin Hizkia, nalika jamane Sang Prabu Yosia putrane Sang Prabu Amon, nata ing Yehuda.","Firman TUHAN yang datang kepada Zefanya bin Kusyi bin Gedalya bin Amarya bin Hizkia dalam zaman Yosia bin Amon, raja Yehuda."
2,Zefanya 1,0,Paukuman ing dinane Pangeran Yehuwah,Penghukuman pada hari TUHAN
3,Zefanya 1,2,"“Ingsun bakal nyirnakake nganti resik samubarang kabeh saka ing salumahe bumi, mangkono pangandikane Sang Yehuwah.","""Aku akan menyapu bersih segala-galanya dari atas muka bumi, demikianlah firman TUHAN."
4,Zefanya 1,3,"Manungsa lan kewan bakal Suntumpes, manuk ing awang-awang lan iwak ing sagara samono uga. Ingsun bakal ngrubuhake wong duraka, sarta numpes manungsa saka ing salumahe bumi, mangkono pangandikane Sang Yehuwah.","Aku akan menyapu manusia dan hewan; Aku akan menyapu burung-burung di udara dan ikan-ikan di laut. Aku akan merebahkan orang-orang fasik dan akan melenyapkan manusia dari atas muka bumi, demikianlah firman TUHAN."
5,Zefanya 1,4,Ingsun bakal ngagagake astaningSun marang Yehuda sarta sakehe wong isine Yerusalem. Kekarene Baal bakal Suntumpes saka ing panggonan iki dalah jenenge para imaming brahala.,"Aku akan mengacungkan tangan-Ku terhadap Yehuda dan terhadap segenap penduduk Yerusalem. Aku akan melenyapkan dari tempat ini sisa-sisa Baal dan nama para imam berhala,"
6,Zefanya 1,5,"Mangkono uga para wong kang memuja marang wadya-bala ing langit lan kang nyembah kalawan sumpah setya demi Sang Yehuwah lan iya demi Dewa Milkom,","juga mereka yang sujud menyembah di atas sotoh kepada tentara langit dan mereka yang menyembah dengan bersumpah setia kepada TUHAN, namun di samping itu bersumpah demi Dewa Milkom,"
7,Zefanya 1,6,karomaneh wong kang padha nyingkur marang Sang Yehuwah sarta ora ngupaya Pangeran Yehuwah lan ora neges marang Panjenengane.”,"serta mereka yang berbalik dari pada TUHAN, yang tidak mencari TUHAN dan tidak menanyakan petunjuk-Nya."""
8,Zefanya 1,7,"Padha menenga ana ing ngarsane Pangeran Yehuwah, awit wus cedhak dinane Sang Yehuwah. Lah Pangeran Yehuwah wus nyawisake pista kurban, para kang ditimbali wus padha disucekake.",Berdiam dirilah di hadapan Tuhan ALLAH! Sebab hari TUHAN sudah dekat. Sungguh TUHAN telah menyediakan perjamuan korban dan telah menguduskan para undangan-Nya.
9,Zefanya 1,8,"“Ing dina pista kurbane Pangeran Yehuwah iku Ingsun bakal ngukum para pangarep, lan para anaking ratu sarta sakehe wong kang manganggo sandhangan ngamanca.","""Pada hari perjamuan korban TUHAN itu Aku akan menghukum para pemuka, para anak-anak raja dan semua orang yang memakai pakaian asing."
