,text,label
0,Yen dikongkon milih mesti mahasiswa saiki mending milih ngekos tinimbang numpang ning keluwarga sing omahe ana ning cedhak kampus.,"Jika disuruh memilih, pasti mahasiswa sekarang lebih memilih indekos daripada tinggal bersama keluarga yang rumahnya dekat kampus."
1,Pengalaman iki wis akeh buktine amarga akeh mahasiswa sing ora betah amarga rasane aneh lan ngerasa yen dibedakake ning keluwarga kuwi.,Pengalaman ini sudah banyak buktinya karena banyak mahasiswa yang tidak betah karena merasa aneh dan merasa dibedakan di keluarga itu.
2,Kadhang perasaan iki uga ngaruh ning proses adaptasi mahasiswa anyar.,Kadang perasaan ini juga memengaruhi proses adaptasi mahasiswa baru.
3,Omah sing ora nyaman kuwi marai pergaulan uga terbatas lan rasa ora adil kuwi marai bocah mangkel lan ora bisa nyuwarakake.,"Rumah yang tidak nyaman itu membuat pergaulan juga terbatas, dan rasa tidak adil itu membuat anak marah dan tidak bisa mengungkapkan."
4,Numpang ning keluwarga iki sajane uga ana positife nanging ya uga dadi masalah yen keluwarga iki ora bisa nerima anggotane lan uga kebiasaan saka wong anyar iki uga sak walike.,"Tinggal bersama keluarga ini sebenarnya juga ada positifnya, tetapi juga menjadi masalah jika keluarga tersebut tidak bisa menerima anggotanya dan kebiasaan orang baru ini, begitu pula sebaliknya."
5,Gawe klambi kembar ambek wong sing ora dikenal iku ancene rosone koyok piye ngunu.,Memakai pakaian kembar dengan orang yang tidak dikenal itu rasanya memang aneh.
6,Yo isin se tapi piye maneh mosok langsung ganti klambi kan yo aneh.,"Ya malu sih, tetapi bagaimana lagi, masak langsung ganti baju kan juga aneh."
7,Yo tapi ngunuku ancene saiki gelek kedaden nang endi-endi tapi kabeh yo karek wonge sing nanggepi ambek sing gawe klambi kembar maeng.,"Tapi ya begitu, sekarang sering terjadi di mana-mana, tapi semua tergantung orang yang menganggapnya dan orang yang memakai pakaian kembar tadi."
8,Nag wong e ora nguru ambek biasane gampangan yo ora masalah.,"Kalau orangnya tidak peduli dan biasanya santai, ya tidak masalah."
9,Lah wong saiki pabrik gawe barang iku ora mok siji tok kok tapi sak pirang-pirang.,"Toh sekarang pabrik membuat barang tidak hanya satu macam, tetapi banyak."
10,Dadi yo wes lumrah ambek biasa nag perkoro iku kedaden.,Jadi ya sudah wajar saja kalau itu terjadi.
11,Yo nag jarene koncoku se ora lapo-lapo se toh barang iku yo podo-podo tukune ora nyilah ambek nemok barange owng liyo.,"Ya, menurut temanku juga tidak apa-apa, toh barang itu sama-sama dibeli, tidak meminjam atau menemukan barang orang lain."
12,Salah siji hal sing sakjane dilarang nang agama Islam tapi dinormalno nang jaman saiki iku misuh.,Salah satu hal yang sebenarnya dilarang dalam agama Islam tetapi dinormalisasi pada zaman sekarang adalah berkata kasar.
13,Jare wong-wong lek gak misuh iku rasane gak lego.,"Kata orang-orang, kalau tidak berkata kasar itu rasanya tidak lega."
14,Padahal awak dewe pemeluk agama Islam iku dikongkon gawe jogo ucapan termasuk gak oleh ngomong sing elek koyok misuh.,"Padahal, sebagai umat Islam, kita dianjurkan menjaga ucapan termasuk tidak boleh berkata yang buruk seperti berkata kasar."
15,Ancen angel gawe ngelatih cek gak misuhan iku opo maneh sing wes kadung kulino.,"Memang sulit melatih diri agar tidak berkata kasar, apalagi kalau sudah terbiasa."
16,Tapi nek nduwe niatan pasti isok.,"Tapi jika memiliki niat, pasti bisa."
17,Carane iku ngganti reaksimu nganggo ucapan-ucapan sing apik.,Caranya adalah mengganti reaksimu dengan ucapan-ucapan yang baik.
18,Semisal nek seneng ngucapo.,"Misalnya, saat merasa senang, ucapkanlah kata-kata yang baik."
19,Nek lagi ndelok sesuatu sing apik ngucapo.,"Jika melihat sesuatu yang indah, ucapkanlah kata-kata yang baik."
20,Nek ndelok sesuatu sing gak sesuai ambek atimu ngucapo.,"Jika melihat sesuatu yang tidak sesuai dengan hatimu, ucapkanlah kata-kata yang baik."
21,Nek lagi ditimpo masalah ngucapo.,"Ketika sedang ditimpa masalah, ucapkanlah kata-kata yang baik."
22,Dan sek akeh maneh ucapan-ucapan apik sing isok dipraktekno nang keseharian.,Masih banyak lagi ucapan-ucapan baik yang bisa dipraktikkan dalam kehidupan sehari-hari.
23,Koncoku wingi iku cerito nag penggaweane sing kudune dilakoni ambek dek saiki disrobot wong mergane deke loro.,Temanku kemarin bercerita tentang pekerjaannya yang seharusnya dia kerjakan tetapi sekarang diambil alih orang lain karena dia sedang sakit.
24,Terus keadaan sing ngunuku tibake dimanfaatno ambek koncone maeng.,"Lalu, situasi tersebut ternyata dimanfaatkan oleh temannya tadi."
25,Akhire bocae muring-muring polahe perkoro maeng.,"Akhirnya, dia marah-marah karena kejadian tadi."
26,Terus tak wara ojo sampek srengen iku dadekno awakmu geting ambek uwong opo maneh sampek dasmu loro.,Lalu aku bilang jangan sampai amarah itu membuatmu benci pada orang lain apalagi sampai hatimu sakit.
27,Soale akeh dokter sing nganjurno nag uwong iku ojo seneng utowo gampang ngamukan soale iso dadekno wong iku maeng gampang stroke mag ambek endase loro.,"Sebab banyak dokter yang menganjurkan agar orang jangan suka marah atau mudah emosi karena itu bisa membuat orang mudah terkena stroke, maag, dan sakit kepala."
28,Anjuran maeng iku ora kanggo wong tuo tok tapik kanggo wong enom barang yo kudu iso ngendalekno roso srengen maeng.,"Anjuran tadi bukan hanya untuk orang tua, tapi untuk anak muda juga harus bisa mengendalikan rasa marahnya."
29,Ben ora dadekno pirang-pirang penyakit sing mrawasno.,Agar tidak menimbulkan berbagai penyakit yang berbahaya.
30,Aku entuk piala pertamaku kui pas SMP.,Aku mendapatkan piala pertamaku saat SMP.
31,Piala kui penghargaan mergo aku entuk biji 10 neng mata pelajaran matematika pas Ujuan Nasional.,Piala itu penghargaan karena aku mendapat nilai 10 pada mata pelajaran matematika saat Ujian Nasional.
