,dualisme,usedword
,utowo,utawa
,uwong,wong
,anak-anake,bocah-bocah
,duna,donya
,dina,dina
,dee,dekne
,ono,ana
,kui,iku
,manungsa,manungsa
,Mosok,Mosok
,biayane,regane
,maca,maca
,Tuladha ne,Tuladha ne
,kanca,konco
,elmu,elmu
,karyawane,karyawane
,Dheweke,Dheweke
,Ancene,sebenarne
,panunggale,liyane
,munikno,dolen
,Neng,ning
,panggonan,panggonan
,perkoro,perkoro
,ambek,karo
,ing,ing
,ate,arep
,khewan,khewan
,yoiki,yaiku
,wis,wis
,jijik,jijik
,gateke,perhatekke
,kudu,kudu
,dolan,dolan
,utawa,utawa
,wong,wong
,bocah-bocah,bocah-bocah
,dunyo,donya
,dino,dina
,dekne,dekne
,onok,ana
,iku,iku
,menungso,manungsa
,Masa,Mosok
,regane,regane
,moco,maca
,Contoh ne,Tuladha ne
,konco,konco
,ilmu,elmu
,pegawene,karyawane
,mereka,Dheweke
,Sak jane,sebenarne
,liyane,liyane
,dolen,dolen
,ning,ning
,panggononan,panggonan
,masalah,perkoro
,karo,karo
,sing,ing
,arep,arep
,binatang,khewan
,yaiku,yaiku
,wes,wis
,jijikan,jijik
,perhatekke,perhatekke
,mesti,kudu
,mampir,dolan
,arek-arek,bocah-bocah
,dunya,donya
,ana,ana
,kuwi,iku
,menungsa,manungsa
,hargane,regane
,dia,Dheweke
,sebenarne,sebenarne
,biyasane,biasa ne
