,label,text
0,pernikahan vaya dan suaminya masih terbilang baru,pernikahan vaya lan suamine masih tergolong anyar
1,tapi tetap saja bukannya saat seorang laki-laki sudah menikah,nanging tetap saja dudu nalika seorang laki laki sudah nikah
2,dirinya harus bisa menjaga dirinya dari wanita lain,dheweke harus bisa njaga dheweke saka wanita liya
3,vaya yang sedang mengaduk sup untuk makan malam dapat mendengar keduanya tertawa,vaya sing lagi ngaduk sup untuk mangan bengi bisa dengar loro-lorone ngguyu
4,setelah makan malam itu saat vaya ingin tidur,sawise mangan bengi itu nalika vaya ingin turu
5,dirinya merasa memiliki perasaan yang tidak enak,dheweke krasa nduwe rasa sing tidak enak
6,kamu kenapa vay,kamu kenapa vay
7,tidak lagi masuk angin,ora lagi mlebu angin
8,kamu bohong,kamu ngapusi
9,tidak kok,tidak kok
10,sudahlah coba kamu jujur sama aku,sudahlah coba kamu jujur marang aku
11,ya jujur setiap aku lihat dia kesini,ya jujur saben aku lihat dheweke mrana
12,vay kamu tenang saja dia itu sahabatku lagian dia juga bilang,vay kamu tenang wae dheweke itu sahabatku lagian dheweke juga ngendika
13,masakan kamu enak makannya aku bawa dia kesini,masakanmu enak makanya aku nggawa dheweke mrana
14,vaya merasa aneh mendengar jawaban seperti itu dari mulut suaminya sendiri,vaya krasa aneh dengar jawaban kayak begitu saka mulut suamine dheweke
15,di supermarket vaya yang sedang berbelanja sendiri terkejut,ing supermarket vaya sing lagi blanja dhewe kaget
16,saat dirinya dihampiri jora sahabat suaminya,nalika dheweke dihampiri jora sahabat suamine
17,jora menyapanya yang dijawab oleh vaya,jora menyapa dheweke sing dijawab dening vaya
18,membuat vaya bertanya kepada jora kenapa jora selalu ke rumahnya untuk makan malam,nglakoni vaya takon marang jora kenapa jora tansah menyang omahe untuk mangan bengi
19,jora menjawabnya dengan pertanyaan jika dirinya tidak boleh,jora njawab nganggo pitakonan yen dheweke tidak oleh
20,ke rumahnya lagi,menyang omahe maneh
21,mendengar itu tentu saja vaya ingin menjawab bahwa,dengar itu mesthi saja vaya kepengin njawab manawa
22,iya seorang wanita yang masih lajang tidak boleh berkunjung sendirian,ya seorang wanita sing masih lajang tidak oleh ngunjungi dhewe
23,untuk menemui suami orang meski itu adalah sahabatnya sendiri,untuk nemoni suami orang sanes sanajan itu sahabate dheweke dhewe
24,namun tentu saja bukan itu yang vaya keluarkan dari mulutnya melainkan,nanging mesthi saja dudu itu sing vaya keluar saka mulute nanging
25,tentu saja kamu boleh datang,tentu saja kamu bisa teka
26,mendengar itu jora merasa senang,dengar itu jora krasa senang
27,sedangkan vaya merasa menyesal menjawab pertanyaan tersebut,dene vaya krasa menyesal njawab pitakonan kuwi
28,tentu saja setelah pertemuan dan pembicaraan jora,mesthi saja sawise pertemuan lan obrolan jora
29,selalu mengunjungi rumah mereka untuk makan malam,tansah ngunjungi omahe untuk mangan bengi
30,hingga dalam beberapa bulan kemudian saat vaya berulang tahun,ganti ing sawetara wulan sabanjure nalika vaya ulang tahun
31,jora memberikan sebuah gelang untuk vaya,jora menehi sawijining gelang untuk vaya
32,yang jelas vaya tidak akan memakai gelang itu,sing jelas vaya tidak bakal nganggo gelang kuwi
33,vaya sempat berpikir untuk menjual gelang itu,vaya sempat pikir untuk adol gelang itu
34,namun jika ketahuan suaminya bisa-bisa akan terjadi,nanging yen ketahuan suamine bisa-bisa bakal kedadeyan
35,pertikaian karena hal sepele seperti ini,pertikaian amarga perkara sepele kayak ngene
36,vaya merasa senang saat dirinya hamil anak pertama,vaya krasa senang nalika dheweke hamil anak pertama
37,karena kehamilannya jora tidak sering bahkan berhenti,amarga kehamilane jora tidak asring malah mandheg
38,mengunjungi rumah mereka untuk makan malam,ngunjungi omahe untuk mangan bengi
39,namun jora selalu berusaha untuk mengajak vaya ikut,nanging jora tansah usaha untuk mengajak vaya ikut
40,berjalan-jalan dengan jora yang sudah jelas vaya selalu menolak ajakannya,mlaku-mlaku sama jora sing sudah jelas vaya tansah menolak ajakane
41,saat anak pertamanya sudah lahir vaya yang sedang membereskan rumah,nalika anak pertamane sudah lahir vaya sing lagi mbenerake omah
42,mendengar suara bel rumah yang menandakan ada seorang tamu,dengar swara bel omah sing nandhakake saya sawijining tamu
43,saat vaya membukakan pintu itu adalah jora,nalika vaya mbukak lawang itu yaiku jora
44,vaya mempersilahkannya masuk lalu menyajikan minuman untuknya,vaya maringi dheweke mlebu banjur nyajikake omben-omben untuk dheweke
45,jora menceritakan bahwa kedatangannya kemari adalah untuk,jora nyritakake manawa kedatangane mrana yaiku untuk
46,mengundang vaya mengunjungi pernikahanya jora,mengundang vaya ngunjungi pernikahane jora
47,mendengar itu vaya senang untuk jora dan untuk dirinya,dengar itu vaya senang untuk jora lan untuk dheweke
48,saat vaya dan jora ingin berpamitan,nalika vaya lan jora kepengin pamitan
49,jora membuat pengakuan kepada vaya dimana dirinya dulu mengaku,jora nggawe pangakuan marang vaya ing ngendi dheweke biyen mengakui
50,memiliki rasa cinta untuk vaya,nduwe rasa cinta untuk vaya
51,mendengar itu vaya terkejut menanggapi sebuah pengakuan,dengar itu vaya kaget nanggapi sawijining pangakuan
52,seorang sesama jenisnya wanita bisa menyukainya,seorang sesama jenise wanita bisa nyukani dheweke
53,namun vaya berusaha untuk tenang,nanging vaya usaha untuk tenang
54,jora sendiri mengaku perasaannya kini sudah hilang,jora dhewe mengakui rasa-rasane sekarang sudah ilang
55,aku pernah mencintaimu vaya,aku tau mencintaimu vaya
56,aku mencintaimu jora sebagai seorang teman,aku mencintaimu jora minangka seorang kanca
57,jora tersenyum terima kasih dan jangan lupa datang ke pernikahan kami ya,jora mesem matur nuwun lan saja lali teka ing pernikahan kami ya
58,aku harap kamu berbahagia jora,aku mengharap kamu bahagia jora
59,lalu mobilnya pergi meninggalkan vaya yang masih bingung menanggapinya,banjur mobile lunga ninggalake vaya sing masih bingung nanggapi
