Indonesia,Javanese
akibatnya  perlakuan mengenai hak atas bunga tabungan tersebut berbedabeda antardaerah,akibat  perawatan hak kanggo kapentingan tabungan bedabeda ing antarane wilayah
namun  tidak semua pelaksana bos mengetahui tentang aturan ini karena tidak disosialisasikan dengan baik,nanging ora kabeh implementasi bos ngerti babagan aturan kasebut amarga ora nduweni sosialisasi
karena kekurangpahaman sekolah  pembayaran pajak yang dilakukan sekolah berbedabeda,amarga kekurangan pangerten sekolah pembayaran pajak sing digawe dening sekolah bedabeda
hal ini terjadi karena hampir semua sekolah belum mengetahui aturan dan tata cara pembayaran pajak,iki kedadeyan amarga meh kabeh sekolah ora ngerti aturan lan prosedur kanggo mbayar pajak
di samping itu  banyak juga sekolah yang berupaya menghindari pembayaran pajak dengan menyiasati nilai atau kuitansi pembayaran,kajaba iku akeh sekolah uga nyoba supaya ora mbayar pajeg kanthi ngurusi nilai utawa kuitansi pembayaran
upaya tersebut memang cukup menguntungkan bagi sekolah,upaya kuwi memang cukup kanggo sekolah
dari setiap rp juta sekolah bisa menyimpan rp,saka saben rp yuta sekolah bisa nyimpen rp
di samping itu  sekolah juga dapat menghemat waktu  tenaga  dan biaya transportasi penyetoran pajak,kajaba iku sekolah uga bisa ngirit wektu energi lan biaya transportasi kanggo simpane pajak
halhal yang harus dilaporkan oleh pelaksana di tiap tingkatan adalah sebagai berikut,babbab sing kudu dilapurake dening eksekutor ing saben tingkat kaya ing ngisor iki
laporan penanganan dan pengaduan masyarakat  serta laporan monitoring dan evaluasi akan didiskusikan di subbab ,laporan ing penanganan masyarakat lan keluhan uga laporan pemantau lan evaluasi bakal dibahas ing bagean 
subbab ini hanya membahas laporan penggunaanpemanfaatan dana bos,bab iki mung mbahas laporan babagan pemanfaatan  pemanfaatan dana bos
laporan yang dibuat sekolah dikirim ke satker kabupatenkota,laporan sing digawe dening sekolah dikirim menyang satker kabupaten  kota
selanjutnya  satker kabupatenkota membuat laporan pelaksanaan program untuk diserahkan ke satker provinsi,salajengipun laporan satker kabupaten  kota babagan implementasine program kasebut bakal dikirim menyang satria provinsi
akhirnya  satker provinsi menyampaikan laporan ke satker pusat,pungkasan satria provinsi ngirimake laporan menyang satker pusat
alur pelaporan di daerahdaerah sampel kajian ini agak bervariasi  dan secara umum disajikan di gambar ,aliran pelaporan ing area sampel saka panliten iki bedabeda lan sacara umum ditampilake ing gambar 
namun bentuk laporan yang diperoleh dari lembaga penyalur bervariasi antarprovinsi,nanging wujud laporan saka lembaga penyaluran bedabeda antarane propinsi
berkaitan dengan laporan penggunaan dana bos  sekolah menyerahkan laporan ke satker kabupatenkota,ing babagan laporan babagan panggunaan dana bos sekolah ngirim laporan menyang satker kabupaten  kota
di provinsi banten  selain uptd  kantor pos kecamatan juga dapat berfungsi sebagai perantara penyampaian laporan tersebut,ing provinsi banten saliyane uptd kantor pos subdistrik uga bisa dianggo minangka perantara kanggo ngirim laporan
satker kabupatenkota seharusnya mengirimkan laporanlaporan ke satker provinsi,satker kabupaten  kota ngirim ngirim laporan menyang satria provinsi
selanjutnya satker provinsi menyusun laporan pelaksanaan program untuk dikirimkan ke satker pusat,banjur satker provinsi nyiapake laporan babagan implementasine program sing dikirim menyang satker pusat
kanwil depag juga menyusun laporan untuk diserahkan ke departemen agama  dan salinannya diserahkan ke satker provinsi,kantor wilayah kementerian agama uga nyiapake laporan sing kudu diajukake menyang kementerian agama lan salinan kasebut dikirim menyang satker provinsi
laporan tersebut harus dilengkapi rapbs  fotokopi rekening  laporan buku kas  serta buktibukti pengeluaran yang sah,laporan kasebut kudu rampung karo rapbs fotokopi akun laporan buku awis lan bukti sah saka pengeluaran
untuk mempermudah sekolah membuat laporan  di dalam juklak tersedia contohcontoh format laporan,kanggo nggawe luwih gampang sekolah nggawe laporan ana conto format laporan ing pedoman operasional
dengan adanya contohcontoh tersebut diharapkan sekolah tidak mengalami kesulitan dalam menyusun laporan,kanthi conto kasebut dikarepake sekolah ora bakal nandhang kesulitan kanggo nyusun laporan
di jawa timur  ntb  dan banten  satker provinsi menetapkan bahwa sekolah harus membuat laporan triwulanan,ing jawa w tan ntb lan banten satker provinsi nemtokake sekolah kudu nglaporake saben wulan
oleh karena itu  di jawa timur misalnya  laporan dalam bentuk spj harus dibuat setiap bulan,mulane ing jawa timur contone laporan ing wangun spj kudu digawe saben sasi
kebijakan tentang waktu penyusunan laporan ini terkait dengan keterlambatan pengucuran dana di kedua provinsi tersebut,kawicaksanan babagan wekdal nyepakak  laporan iki ana hubungane karo ditundha dana sing disbursing ing rong propinsi kasebut
menurut sebagian besar sekolah  membuat laporan rincian penggunaan dana per jenis anggaran cukup rumit dan menyita waktu,miturut pirapira sekolah nglaporake babagan pemanfaatan dana saben jinis anggaran cukup rumit lan akeh wektu
beberapa sekolah mengambil inisiatif meminta satker kabupatenkota untuk mengadakan pelatihan pembuatan laporan,sawetara sekolah njupuk inisiatif kanggo nyuwun satker kabupaten  kota kanggo nyelenggara latihan nggawe laporan
di jawa timur  dinas pendidikan kota pasuruan mengadakan pelatihan pembuatan spj yang dilaksanakan selama tiga hari,ing jawa timur kantor pendidikan kutha pasuruan nindakak  latihan babagan nggaw  spj sing dianakak  telung dina
selain itu  satker kota setempat juga menyediakan waktu konsultasi bagi sekolah antara pukul ,kajaba iku satker kutha lokal uga menehi wektu konsultasi kanggo sekolah antara jam 
di daerah lain  satker kabupatenkota menyatakan bahwa konsultasi dapat dilakukan kapan saja,ing wilayah liyane satker kabupaten  kota nyatakake yen konsultasi bisa wae ditindakake
