jawa,indo
Yen dikongkon milih mesti mahasiswa saiki mending milih ngekos tinimbang numpang ning keluwarga sing omahe ana ning cedhak kampus.,"Jika disuruh memilih, pasti mahasiswa sekarang lebih memilih indekos daripada tinggal bersama keluarga yang rumahnya dekat kampus."
Pengalaman iki wis akeh buktine amarga akeh mahasiswa sing ora betah amarga rasane aneh lan ngerasa yen dibedakake ning keluwarga kuwi.,Pengalaman ini sudah banyak buktinya karena banyak mahasiswa yang tidak betah karena merasa aneh dan merasa dibedakan di keluarga itu.
Kadhang perasaan iki uga ngaruh ning proses adaptasi mahasiswa anyar.,Kadang perasaan ini juga memengaruhi proses adaptasi mahasiswa baru.
Omah sing ora nyaman kuwi marai pergaulan uga terbatas lan rasa ora adil kuwi marai bocah mangkel lan ora bisa nyuwarakake.,"Rumah yang tidak nyaman itu membuat pergaulan juga terbatas, dan rasa tidak adil itu membuat anak marah dan tidak bisa mengungkapkan."
Numpang ning keluwarga iki sajane uga ana positife nanging ya uga dadi masalah yen keluwarga iki ora bisa nerima anggotane lan uga kebiasaan saka wong anyar iki uga sak walike.,"Tinggal bersama keluarga ini sebenarnya juga ada positifnya, tetapi juga menjadi masalah jika keluarga tersebut tidak bisa menerima anggotanya dan kebiasaan orang baru ini, begitu pula sebaliknya."
Gawe klambi kembar ambek wong sing ora dikenal iku ancene rosone koyok piye ngunu.,Memakai pakaian kembar dengan orang yang tidak dikenal itu rasanya memang aneh.
Yo isin se tapi piye maneh mosok langsung ganti klambi kan yo aneh.,"Ya malu sih, tetapi bagaimana lagi, masak langsung ganti baju kan juga aneh."
Yo tapi ngunuku ancene saiki gelek kedaden nang endi-endi tapi kabeh yo karek wonge sing nanggepi ambek sing gawe klambi kembar maeng.,"Tapi ya begitu, sekarang sering terjadi di mana-mana, tapi semua tergantung orang yang menganggapnya dan orang yang memakai pakaian kembar tadi."
Nag wong e ora nguru ambek biasane gampangan yo ora masalah.,"Kalau orangnya tidak peduli dan biasanya santai, ya tidak masalah."
Lah wong saiki pabrik gawe barang iku ora mok siji tok kok tapi sak pirang-pirang.,"Toh sekarang pabrik membuat barang tidak hanya satu macam, tetapi banyak."
Dadi yo wes lumrah ambek biasa nag perkoro iku kedaden.,Jadi ya sudah wajar saja kalau itu terjadi.
Yo nag jarene koncoku se ora lapo-lapo se toh barang iku yo podo-podo tukune ora nyilah ambek nemok barange owng liyo.,"Ya, menurut temanku juga tidak apa-apa, toh barang itu sama-sama dibeli, tidak meminjam atau menemukan barang orang lain."
Salah siji hal sing sakjane dilarang nang agama Islam tapi dinormalno nang jaman saiki iku misuh.,Salah satu hal yang sebenarnya dilarang dalam agama Islam tetapi dinormalisasi pada zaman sekarang adalah berkata kasar.
Jare wong-wong lek gak misuh iku rasane gak lego.,"Kata orang-orang, kalau tidak berkata kasar itu rasanya tidak lega."
Padahal awak dewe pemeluk agama Islam iku dikongkon gawe jogo ucapan termasuk gak oleh ngomong sing elek koyok misuh.,"Padahal, sebagai umat Islam, kita dianjurkan menjaga ucapan termasuk tidak boleh berkata yang buruk seperti berkata kasar."
Ancen angel gawe ngelatih cek gak misuhan iku opo maneh sing wes kadung kulino.,"Memang sulit melatih diri agar tidak berkata kasar, apalagi kalau sudah terbiasa."
Tapi nek nduwe niatan pasti isok.,"Tapi jika memiliki niat, pasti bisa."
Carane iku ngganti reaksimu nganggo ucapan-ucapan sing apik.,Caranya adalah mengganti reaksimu dengan ucapan-ucapan yang baik.
Semisal nek seneng ngucapo.,"Misalnya, saat merasa senang, ucapkanlah kata-kata yang baik."
Nek lagi ndelok sesuatu sing apik ngucapo.,"Jika melihat sesuatu yang indah, ucapkanlah kata-kata yang baik."
