Unnamed: 0,indonesian,javanese
0,nikmati cicilan 0 hingga 12 bulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni,nikmatono cicilan 0 sampek 12 sasi dinggo pesen tiket kapal air asia nganggo kertu kredit bni
1,kuekue yang disajikan bikin saya bernostalgia semuanya tipikal kue zaman dulu baik dari penampilan maupun rasa kuenya enak dan harganya juga murah,rotiroti sing disajekne nggarai aku nostalgianan kabeh model roti jaman biyen saka tampilane utawa rasa rotine enak lan regane uga mirah
2,ibu pernah bekerja di grab indonesia,ibu uwis tahu kerja ing grab indonesia
3,paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat rasa ayamnya meresap sampai ketulangnya es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas pelayannya sigap dan ramah yang aku suka di tempat kasir ada tulisan 10 disumbangkan untuk beramal buat makan jadi lebih enak ke perut,paling seneng banget mangan awan ing kene pithik karo sambele enak banget regane luwar biasa hemat rasa pithike ngeresep nganti tekan balunge es lidah buayane uga seger marakna adem wetenge sakbanjure mangan sambel sing pedes pelayanane sigap lan grapyak sing aku seneng ing panggon kasir ana tulisan 10 disumbangake kanggo amal kanggo mangan dadi luwih enak ing weteng
4,pelayanan bus damri sangat baik,pelayanane bis damri apik banget
5,mau bikin postingan yang isinya mengedukasi customers gojek,arep nggawe postingan sing isine ngedukasi pelanggan gojek
6,ratusan rumah di medan terendam banjir,atusan omah ing medan kebanjiran
7,barangnya lumayan cuma yang saya heran xiaomi redmi note 2 ini tombol onnya memang agak rusak terus baterai memang cepat low bat juragan,barange lumayan mung sung aku gumun xiaomi redmi note 2 iki tombol uripe tenan rada rusak banjur bateraine tenan cepet entek juragan
8,sulit sekali mempercayai orang yang sudah pernah berkhianat,angel banget mercoyoi wong sing wis tau khianat
9,lokasi di gombel dengan pemandangan semarang datanglah malam karena lampu kota akan terlihat makanan enak steak dan teh hangat menu wajib di sini ambil spot di luar karena udara dingin dan sejuk,panggonan di gombel karo pemandangan semarang tekao bengi merga lampu kutha bakale ketok panganane enak steak lan teh anget menu wajib ning kene njupuk spot ning jaba merga udara anyep lan sejuk
